wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
5,1,0,10,27,0,5,6,5,0.25,112,1.0,1,0.0,0.44,0,0,21.2,3,1.2,0
2,3,0,3,7,1,0,3,1,2.0,24,0.0,0,0.833333333,0.666666667,1,1,11.0,1,0.5,0
5,2,1,5,8,8,3,2,4,0.75,29,1.0,0,0.7692307690000001,0.583333333,0,0,4.6,1,0.6,0
8,3,0,6,13,14,2,6,8,0.666666667,70,1.0,0,0.909090909,0.35,1,1,7.375,1,0.875,0
13,2,0,18,112,76,3,17,1,0.875,1000,1.0,1,0.4,0.272727273,1,1,75.76923077,10,5.2308,0
2,1,0,1,2,1,1,0,2,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
4,1,0,7,17,0,1,6,4,0.333333333,74,1.0,0,0.0,0.4166666670000001,0,0,17.25,1,0.5,0
2,5,0,2,6,0,1,1,2,1.0,22,1.0,0,0.944444444,0.666666667,0,0,9.0,1,0.5,0
7,2,0,7,25,0,1,6,5,0.166666667,153,1.0,1,0.538461538,0.35714285700000004,1,1,20.57142857,4,1.2857,0
1,4,3,4,2,0,4,0,1,2.0,7,1.0,0,1.0,1.0,0,0,5.0,0,0.0,0
6,1,0,2,25,5,2,0,5,0.7,166,1.0,0,0.0,0.5,0,0,25.66666667,1,0.5,0
3,1,0,4,12,3,1,3,3,2.0,60,0.0,0,0.0,0.666666667,0,0,19.0,6,2.3333,0
7,2,0,11,21,17,6,5,6,0.666666667,90,1.0,0,0.375,0.375,0,0,11.57142857,2,1.0,0
4,3,0,8,12,6,4,4,3,2.0,62,0.0,0,0.8636363640000001,0.5625,0,0,14.5,2,1.0,1
8,4,0,4,15,6,1,3,8,0.5,89,1.0,1,0.967567568,0.34375,1,1,9.875,3,1.25,0
3,3,0,5,8,3,1,5,2,2.0,28,0.0,0,0.941176471,0.5,1,1,8.333333332999999,1,0.3333,0
13,3,0,8,29,36,1,8,11,0.5,158,1.0,0,0.65625,0.326923077,2,7,11.07692308,4,1.3077,0
30,4,0,16,87,297,3,16,17,0.880636605,793,1.0,1,0.5555555560000001,0.166144201,1,1,25.0,17,2.7333,11
6,1,0,14,28,7,2,12,3,0.666666667,213,1.0,0,0.5,0.4,1,1,34.0,1,0.6667,0
4,1,0,5,5,0,5,0,4,0.666666667,28,1.0,0,0.0,0.4375,0,0,5.25,1,0.75,0
