wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
14,1,0,9,45,61,3,6,11,0.7692307690000001,425,1.0,1,0.0,0.294871795,0,0,29.14285714,8,2.4286,0
6,1,0,3,11,9,1,3,5,0.6,113,1.0,3,0.0,0.333333333,0,0,16.33333333,5,1.5,0
6,2,0,16,14,3,8,8,5,0.666666667,92,1.0,0,0.7826086959999999,0.444444444,0,0,13.83333333,1,0.8333,0
8,2,0,6,19,0,2,4,6,0.28571428600000004,157,1.0,0,0.695652174,0.40625,1,2,18.5,2,1.375,0
5,1,0,5,5,10,4,1,5,2.0,5,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
4,2,0,1,11,6,1,1,0,2.0,93,0.0,0,0.7857142859999999,0.571428571,1,2,22.25,5,1.75,0
5,2,0,14,27,10,2,12,1,1.071428571,182,0.0,0,0.818181818,0.72,0,0,34.0,1,0.8,0
54,5,0,41,175,1183,21,27,25,0.930333817,1425,0.846153846,5,0.926241135,0.122895623,3,12,24.90740741,11,2.1296,18
5,6,0,6,51,6,2,5,3,0.75,260,1.0,1,0.993993994,1.0,2,4,50.0,3,1.4,1
11,2,0,7,30,25,3,6,9,0.833333333,198,1.0,0,0.615384615,0.386363636,1,2,16.72727273,4,1.8182,0
51,1,0,58,132,925,44,21,42,0.776470588,1458,0.117647059,5,0.0,0.14400000000000002,0,0,27.25490196,33,1.6667,0
18,6,0,21,124,117,7,20,6,0.77124183,762,1.0,0,0.975794251,0.1875,3,6,40.83333333,7,1.5556,5
7,2,0,6,15,9,2,4,7,0.7222222220000001,64,1.0,1,0.454545455,0.35714285700000004,1,1,7.714285714,1,0.8571,0
3,6,0,4,23,1,1,3,1,0.5,330,1.0,0,0.996987952,1.0,2,4,105.3333333,3,1.3333,3
1,1,0,31,1,0,31,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
12,7,0,7,57,52,1,7,10,0.709090909,279,1.0,2,0.983433735,0.27777777800000003,0,0,21.83333333,3,1.3333,1
14,7,0,7,54,65,3,7,4,0.846153846,313,1.0,1,0.98048048,0.28571428600000004,0,0,20.85714286,3,1.0714,3
5,2,0,7,22,4,1,6,3,0.625,93,1.0,0,0.636363636,0.6,0,0,17.2,4,1.4,0
1,1,0,10,2,0,9,1,1,2.0,12,0.0,0,0.0,1.0,0,0,9.0,0,0.0,0
5,6,0,6,39,0,3,5,2,0.8,210,1.0,1,0.99389313,0.32,0,0,40.0,2,1.0,0
5,7,0,8,52,2,1,8,4,0.5,364,1.0,1,0.99391172,0.466666667,0,0,70.8,3,1.6,0
2,2,0,10,9,1,1,9,2,2.0,106,0.0,0,0.947368421,0.625,2,2,52.0,1,0.5,0
10,2,0,5,28,13,3,4,9,0.7222222220000001,230,0.75,1,0.7241379309999999,0.472222222,1,3,21.6,3,1.2,2
3,6,0,4,34,1,1,3,1,0.5,370,1.0,0,0.996987952,1.0,2,4,118.0,5,2.6667,0
8,5,0,4,33,28,2,2,7,2.0,143,0.0,0,0.992974239,0.5,1,1,16.875,3,1.125,0
7,1,0,36,7,21,36,0,7,2.0,7,0.0,0,0.0,0.523809524,0,0,0.0,1,1.0,0
8,6,0,5,31,20,2,4,1,0.761904762,123,0.666666667,1,0.991017964,0.5,4,12,14.0,2,0.875,2
30,4,0,10,73,337,7,7,25,0.927203065,628,1.0,3,0.957037037,0.127777778,3,18,19.33333333,20,1.9,8
11,1,2,14,30,15,9,8,7,0.566666667,182,0.0,3,0.0,0.236363636,0,0,15.27272727,3,1.0909,0
2,2,0,1,5,1,0,1,2,2.0,14,0.0,0,0.923076923,0.75,0,0,6.0,1,0.5,0
5,6,0,5,33,2,2,3,3,0.458333333,191,1.0,1,0.996240602,0.4375,2,11,36.0,8,2.6,2
2,1,0,4,2,1,3,2,2,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
45,1,0,41,77,898,36,5,28,0.795454545,1472,0.25,2,0.0,0.083333333,0,0,31.62222222,12,2.0222,0
1,1,0,1,2,0,1,0,0,2.0,6,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0
