wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
2,1,0,8,2,1,7,1,2,2.0,2,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,0
23,1,0,7,52,171,2,5,20,0.837662338,420,1.0,2,0.0,0.25,0,0,16.95652174,4,1.4348,3
4,1,0,10,4,6,9,1,4,2.0,4,0.0,0,0.0,0.55,0,0,0.0,1,1.0,1
13,4,2,17,57,22,2,15,9,0.25,346,1.0,1,0.85,0.192307692,3,7,25.53846154,6,1.6154,6
15,4,0,8,51,47,1,8,15,0.7857142859999999,255,1.0,0,0.7777777779999999,0.3666666670000001,2,4,15.6,1,0.9333,2
6,1,0,13,6,15,11,3,6,2.0,6,0.0,0,0.0,1.0,0,0,0.0,1,1.0,1
4,1,2,4,25,6,2,2,4,2.0,126,0.0,0,0.0,0.625,1,1,30.5,8,2.75,0
8,2,0,7,15,0,4,3,8,0.571428571,83,0.0,1,0.3,0.34375,1,4,9.125,1,0.875,2
1,1,0,4,1,0,4,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
2,5,0,3,5,1,0,3,2,2.0,12,0.0,0,0.987654321,1.0,1,1,5.0,1,0.5,0
19,1,0,6,25,135,4,2,12,0.944444444,167,0.5625,2,0.0,0.256578947,0,0,6.947368421,4,1.0,0
5,1,0,3,17,0,1,2,4,0.4166666670000001,74,1.0,0,0.0,0.5,0,0,13.2,4,1.2,3
15,4,0,9,44,63,0,9,15,0.833333333,230,1.0,0,0.7777777779999999,0.3666666670000001,2,4,13.93333333,1,0.9333,4
7,1,0,7,12,0,5,3,7,0.5,40,1.0,1,0.0,0.428571429,0,0,4.428571429,1,0.8571,0
7,1,0,28,7,21,26,2,7,2.0,7,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
6,1,0,27,13,0,27,0,6,0.2,87,1.0,0,0.0,0.444444444,1,1,13.16666667,4,1.3333,2
34,4,0,13,88,433,0,13,32,0.925252525,531,1.0,0,0.597560976,0.375,2,4,14.17647059,1,0.9706,5
9,2,0,10,36,14,1,10,8,0.5625,159,1.0,1,0.454545455,0.377777778,0,0,16.44444444,4,1.3333,1
11,1,0,42,27,31,41,1,11,0.3,164,1.0,1,0.0,0.340909091,1,1,13.72727273,6,2.0,3
5,1,0,6,33,10,2,4,5,2.0,229,0.0,0,0.0,0.48,0,0,44.8,7,2.0,2
3,1,0,2,4,1,2,0,3,0.5,14,1.0,0,0.0,0.666666667,0,0,3.333333333,1,0.6667,0
9,1,0,4,19,20,1,3,9,0.1875,82,1.0,1,0.0,0.317460317,0,0,7.888888888999999,2,1.0,1
13,1,0,2,59,0,1,1,11,0.611111111,682,1.0,0,0.0,0.4375,0,0,51.23076923,16,2.9231,0
9,1,0,6,14,24,5,1,9,0.65625,105,1.0,1,0.0,0.311111111,1,1,10.22222222,2,0.8889,1
5,1,0,18,52,10,0,18,2,2.0,489,0.0,0,0.0,0.25,0,0,96.8,1,0.8,4
14,3,11,16,49,69,11,7,3,0.807692308,255,1.0,0,0.7551020409999999,0.28571428600000004,0,0,17.07142857,4,1.9286,6
13,2,0,11,34,0,2,11,13,0.333333333,184,1.0,2,0.571428571,0.240384615,1,1,13.0,3,1.2308,2
6,1,0,8,6,15,7,2,6,2.0,6,0.0,0,0.0,1.0,0,0,0.0,1,1.0,1
15,1,0,33,32,13,31,2,13,0.875,211,0.375,1,0.0,0.16071428599999998,0,0,12.53333333,2,1.4667,4
10,1,0,10,31,0,6,5,10,0.5555555560000001,182,1.0,1,0.0,0.266666667,0,0,17.0,3,1.5,2
3,1,0,14,3,3,13,1,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
2,2,0,3,4,1,1,2,2,2.0,10,0.0,0,0.833333333,0.666666667,0,0,4.0,1,0.5,0
5,2,0,6,63,0,1,6,5,0.541666667,435,1.0,2,0.80952381,0.4,1,1,84.8,1,0.8,4
6,1,0,12,32,15,8,4,6,1.2,152,1.0,0,0.0,0.30952381,0,0,24.16666667,1,0.8333,3
11,1,0,7,26,29,4,3,11,0.3,119,1.0,2,0.0,0.272727273,1,1,9.636363636,4,1.1818,0
20,1,0,30,20,190,23,7,20,1.052631579,21,0.0,0,0.0,0.225,0,0,0.0,1,1.0,2
12,6,0,5,24,32,0,5,10,0.818181818,140,0.5,0,0.880434783,0.25,1,1,10.33333333,5,1.5,0
2,2,0,3,6,1,1,2,2,2.0,48,0.0,0,0.833333333,0.666666667,0,0,23.0,6,3.0,0
4,1,0,2,8,4,0,2,4,0.666666667,24,1.0,1,0.0,0.5,0,0,4.75,1,0.75,0
12,1,0,11,17,18,9,4,12,0.681818182,103,1.0,2,0.0,0.241666667,0,0,7.083333333,1,0.75,1
4,1,0,10,44,6,1,9,3,2.0,432,0.0,0,0.0,0.35714285700000004,0,0,107.0,11,3.5,2
13,1,0,17,13,78,15,3,13,2.0,13,0.0,0,0.0,0.487179487,0,0,0.0,1,1.0,0
8,1,0,5,17,20,4,1,8,0.5,121,1.0,1,0.0,0.34375,1,1,13.625,6,1.5,0
3,1,0,4,4,0,4,0,3,0.5,20,1.0,0,0.0,0.666666667,0,0,5.0,1,0.6667,0
4,1,0,14,4,6,14,0,4,2.0,4,0.0,0,0.0,1.0,0,0,0.0,1,1.0,1
2,1,0,7,21,1,4,4,2,2.0,88,0.0,0,0.0,0.625,0,0,43.0,1,0.5,1
5,1,0,6,11,0,4,2,5,0.375,41,1.0,1,0.0,0.466666667,0,0,6.8,1,0.8,0
2,1,0,10,2,1,10,1,2,2.0,2,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,0
1,1,0,4,1,0,4,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
16,4,0,8,43,86,0,8,16,0.857142857,226,1.0,0,0.765625,0.359375,2,4,12.6875,1,0.9375,3
2,1,0,5,5,1,2,3,2,2.0,9,0.0,0,0.0,0.666666667,0,0,3.5,1,0.5,1
6,1,0,19,81,15,3,17,5,2.0,681,0.0,0,0.0,0.28571428600000004,0,0,112.5,19,4.3333,3
3,2,0,4,19,0,1,3,3,0.0,57,1.0,0,0.7142857140000001,0.5,0,0,17.66666667,2,1.0,0
6,1,0,6,39,13,3,3,4,0.6,193,0.0,0,0.0,0.35,0,0,31.0,1,0.6667,7
18,6,0,8,49,77,1,8,14,0.794117647,340,0.666666667,0,0.826530612,0.240740741,2,2,17.55555556,9,1.7778,0
5,1,0,1,22,8,0,1,5,0.5,97,1.0,0,0.0,0.4,0,0,18.2,1,0.6,0
7,1,0,5,8,15,5,0,6,0.5,51,1.0,0,0.0,0.535714286,0,0,5.857142857,1,0.5714,0
8,2,0,8,39,24,2,7,5,0.857142857,193,1.0,2,0.695652174,0.375,0,0,22.875,1,0.875,1
22,4,0,12,64,149,0,12,18,0.863095238,464,1.0,0,0.7,0.345454545,2,3,19.72727273,1,0.9545,5
6,1,0,2,11,0,1,1,6,0.0,32,1.0,0,0.0,0.583333333,0,0,4.166666667,1,0.8333,0
82,1,0,72,318,3021,37,48,72,0.943883277,3982,0.954545455,4,0.0,0.087369421,0,0,47.29268293,13,2.1951,36
17,1,4,16,31,120,4,12,16,0.791666667,146,1.0,1,0.0,0.183823529,0,0,7.411764706,2,1.1176,3
11,2,0,7,31,45,2,6,6,0.5,166,1.0,1,0.64,0.363636364,0,0,13.90909091,2,0.9091,1
2,1,0,4,2,1,4,0,2,2.0,2,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,0
10,1,0,6,26,15,1,5,10,0.694444444,125,1.0,2,0.0,0.3,1,1,11.1,2,1.1,3
5,1,0,9,8,0,8,2,5,0.5,30,1.0,1,0.0,0.466666667,0,0,4.6,1,0.8,0
5,1,0,12,21,0,9,3,5,0.0,75,1.0,0,0.0,0.4,0,0,13.8,2,1.0,0
5,1,0,3,8,4,2,1,5,0.5,34,1.0,0,0.0,0.6,0,0,5.6,2,1.0,1
2,5,2,5,5,1,2,3,2,2.0,12,0.0,0,0.987654321,1.0,1,1,5.0,1,0.5,0
3,1,0,9,4,1,9,0,1,0.75,32,0.25,3,0.0,0.75,0,0,8.333333332999999,1,0.3333,0
38,1,0,13,86,519,3,10,38,0.866795367,593,1.0,2,0.0,0.12406015,0,0,14.23684211,3,1.2895,7
16,1,0,10,46,116,8,2,15,1.007407407,431,0.222222222,0,0.0,0.219047619,0,0,25.375,8,1.75,2
8,1,0,7,21,0,3,4,7,0.428571429,108,1.0,0,0.0,0.5625,0,0,11.875,2,1.25,1
9,2,0,8,18,6,4,4,9,0.770833333,114,1.0,2,0.272727273,0.444444444,1,4,11.0,2,1.0,0
6,1,3,6,7,7,3,3,6,0.7,28,1.0,1,0.0,0.444444444,0,0,3.333333333,1,0.8333,0
2,1,0,1,10,1,1,0,2,2.0,34,0.0,0,0.0,0.5,0,0,16.0,4,2.0,0
3,1,0,5,3,3,5,0,3,2.0,3,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,1
12,2,0,12,55,0,1,12,12,0.409090909,320,1.0,0,0.592592593,0.212962963,1,1,25.5,5,1.5833,6
2,1,0,9,2,1,9,0,2,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
3,1,0,10,4,0,10,1,3,0.5,20,1.0,1,0.0,0.5555555560000001,0,0,5.0,1,0.6667,0
4,1,0,5,18,4,3,2,2,0.833333333,109,0.5,0,0.0,0.4166666670000001,0,0,24.75,1,0.5,2
20,1,0,14,60,48,6,10,20,0.815789474,515,1.0,2,0.0,0.166666667,0,0,24.35,4,1.8,0
3,2,0,4,10,1,1,3,2,0.5,57,1.0,0,0.833333333,0.666666667,0,0,17.66666667,7,2.3333,0
10,1,0,7,17,27,3,4,10,0.75,69,1.0,2,0.0,0.28,1,1,5.5,2,1.0,1
7,4,0,7,26,0,0,7,7,0.611111111,138,1.0,0,0.8909090909999999,0.35714285700000004,0,0,18.28571429,1,0.8571,0
4,2,0,4,14,2,2,3,2,0.666666667,89,0.5,0,0.7142857140000001,0.444444444,0,0,20.75,7,2.0,1
5,1,0,3,17,6,3,0,4,0.95,136,0.8,0,0.0,0.375,0,0,25.2,2,1.0,1
17,1,2,7,34,72,3,4,9,0.604166667,217,1.0,1,0.0,0.202614379,0,0,11.58823529,3,1.0588,0
13,4,0,3,33,68,0,3,12,0.833333333,184,1.0,0,0.8032786890000001,0.487179487,0,0,12.76923077,3,1.0769,0
17,4,0,15,78,84,0,15,15,0.8515625,408,1.0,0,0.7538461540000001,0.254901961,1,1,22.52941176,6,1.2353,0
23,3,1,15,68,127,1,14,8,0.613636364,472,1.0,0,0.6764705879999999,0.18012422399999994,1,8,19.43478261,4,1.4783,2
67,1,0,30,173,1691,15,21,52,0.8818181820000001,2020,1.0,6,0.0,0.122201493,1,1,28.85074627,18,2.3881,25
1,1,0,6,1,0,5,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,1
6,1,0,9,11,9,5,4,5,0.6,46,1.0,1,0.0,0.2,0,0,6.5,1,0.6667,0
1,1,0,6,1,0,5,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
10,1,0,2,12,25,1,1,10,0.805555556,53,1.0,0,0.0,0.7,0,0,3.9,1,0.9,0
6,1,0,6,37,13,2,4,5,0.2,172,1.0,0,0.0,0.666666667,0,0,27.5,1,0.6667,2
14,4,0,4,30,55,0,4,14,0.833333333,170,1.0,0,0.790322581,0.35714285700000004,2,4,10.71428571,1,0.9286,4
9,1,0,13,13,12,11,2,9,0.75,47,1.0,2,0.0,0.333333333,0,0,3.888888889,1,0.8889,1
5,1,0,4,16,0,2,2,5,0.583333333,79,0.333333333,0,0.0,0.466666667,0,0,14.2,2,1.0,0
17,4,0,12,52,90,2,12,14,0.8125,288,1.0,0,0.7538461540000001,0.470588235,1,1,15.58823529,3,1.0588,2
6,1,3,6,7,7,3,3,6,0.7,28,1.0,1,0.0,0.444444444,0,0,3.333333333,1,0.8333,0
2,1,0,5,22,1,2,3,2,2.0,138,0.0,0,0.0,0.5,0,0,68.0,1,0.5,2
12,1,0,20,12,66,16,9,12,2.0,12,0.0,0,0.0,0.2,0,0,0.0,1,1.0,1
13,1,0,14,58,44,1,13,6,0.592592593,478,1.0,0,0.0,0.307692308,0,0,35.07692308,5,1.9231,4
25,4,0,14,65,234,2,13,20,0.904166667,402,1.0,0,0.671232877,0.37,1,2,14.68,1,0.96,4
1,1,0,4,2,0,1,3,0,2.0,4,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0
7,4,0,2,20,21,1,0,7,2.0,67,0.0,0,0.910447761,0.571428571,2,2,8.571428571,2,1.0,0
7,1,0,6,33,19,3,0,5,0.666666667,179,0.0,0,0.0,0.444444444,0,0,24.42857143,1,0.7143,1
27,6,0,14,67,273,1,0,20,0.7307692309999999,483,0.666666667,0,0.826666667,0.145061728,4,6,16.66666667,8,1.8519,0
1,3,0,5,2,0,1,4,1,2.0,9,0.0,0,1.0,1.0,0,0,7.0,0,0.0,0
5,1,0,8,9,8,4,4,3,0.75,29,1.0,1,0.0,0.5,0,0,4.6,2,0.8,0
18,2,0,25,85,133,2,0,6,0.781512605,568,1.0,1,0.272727273,0.31372549,1,3,30.16666667,11,2.0556,0
5,1,0,5,9,8,1,4,3,0.75,29,1.0,1,0.0,0.5,0,0,4.6,2,0.8,0
2,3,0,5,5,0,1,4,2,1.0,22,0.5,1,0.933333333,0.625,0,0,9.0,1,0.5,0
12,1,0,3,24,0,1,3,11,0.303030303,222,1.0,1,0.0,0.316666667,0,0,17.0,2,1.0,0
13,1,0,9,51,24,7,3,12,0.65,297,1.0,0,0.0,0.346153846,0,0,21.46153846,4,1.8462,0
1,1,0,4,1,0,2,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
20,2,0,19,84,88,1,0,14,0.7192982459999999,685,1.0,0,0.6724137929999999,0.166666667,1,3,33.1,5,1.75,0
3,1,3,4,4,1,3,1,2,0.0,16,1.0,0,0.0,0.666666667,0,0,4.0,1,0.6667,0
3,2,0,3,9,3,1,0,3,2.0,27,0.0,0,0.7777777779999999,0.833333333,1,1,8.0,1,0.6667,0
23,1,0,16,74,171,7,12,22,0.828282828,610,1.0,2,0.0,0.147826087,0,0,25.13043478,4,1.8261,0
20,1,5,14,44,112,7,7,10,0.614035088,255,1.0,1,0.0,0.177272727,0,0,11.6,3,1.2,1
13,4,0,3,34,68,0,3,12,0.833333333,191,1.0,0,0.835616438,0.487179487,0,0,13.30769231,3,1.0769,0
8,2,0,12,29,26,3,0,6,0.7142857140000001,99,1.0,1,0.14285714300000002,0.238095238,1,1,11.25,1,0.75,1
2,3,0,3,5,0,1,2,1,0.0,15,1.0,0,1.0,1.0,0,0,6.0,0,0.0,0
1,1,0,6,1,0,5,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
3,1,0,11,40,1,1,0,3,0.0,212,1.0,0,0.0,0.4166666670000001,0,0,69.33333333,4,1.6667,0
9,1,0,16,43,36,4,14,9,2.0,143,0.0,0,0.0,0.181818182,0,0,14.88888889,3,1.6667,0
5,2,0,5,14,10,1,0,5,2.0,43,0.0,0,0.636363636,0.666666667,2,2,7.6,2,1.2,0
7,2,0,5,18,0,1,0,7,0.0,125,1.0,0,0.538461538,0.464285714,1,1,16.71428571,3,1.8571,1
18,4,5,29,96,85,5,0,12,0.588235294,669,1.0,1,0.861788618,0.205882353,3,7,36.05555556,10,2.1111,1
35,4,0,11,78,439,2,10,35,0.909926471,564,1.0,0,0.6421052629999999,0.371428571,3,4,14.65714286,3,1.0286,1
2,4,0,4,4,0,2,2,2,0.0,14,1.0,1,0.944444444,0.75,0,0,5.5,1,0.5,0
2,1,0,4,2,1,4,1,2,2.0,4,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,0
3,2,3,7,8,1,3,4,2,0.5,28,1.0,1,0.857142857,0.583333333,0,0,8.0,1,0.6667,0
1,1,0,6,1,0,6,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
10,2,0,7,30,25,2,6,8,0.518518519,189,1.0,1,0.703703704,0.55,1,2,17.6,2,0.9,0
20,2,0,7,29,154,4,4,13,0.967418546,213,0.428571429,2,0.413793103,0.233333333,0,0,8.6,4,1.05,0
6,1,0,6,22,0,2,5,5,0.466666667,89,1.0,0,0.0,0.55,0,0,13.33333333,4,1.1667,0
6,1,0,2,9,9,1,0,6,0.4,40,1.0,0,0.0,0.666666667,0,0,5.5,2,1.0,0
3,1,0,10,4,1,10,0,1,0.75,32,0.25,3,0.0,0.75,0,0,8.333333332999999,1,0.3333,0
