wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
11,4,2,14,42,29,2,12,5,0.725,395,1.0,1,0.885057471,0.232323232,3,4,34.54545455,3,1.2727,0
3,2,0,1,9,0,0,1,1,0.0,58,1.0,1,0.7142857140000001,0.666666667,1,1,17.33333333,1,0.6667,0
12,3,0,12,37,32,0,12,12,0.8585858590000001,310,1.0,1,0.770833333,0.458333333,0,0,24.08333333,3,1.4167,0
6,3,0,4,21,1,0,4,6,0.7,136,1.0,0,0.880952381,0.4166666670000001,2,2,21.0,1,0.8333,0
5,1,0,3,15,0,2,1,4,0.5,137,1.0,0,0.0,0.9,0,0,25.2,4,1.8,0
4,4,0,6,32,6,0,6,1,2.0,325,0.0,0,0.963855422,0.75,3,5,80.25,11,5.25,0
17,3,0,10,55,76,5,6,11,0.59375,461,1.0,0,0.6521739129999999,0.28571428600000004,1,1,25.88235294,6,2.6471,1
9,3,0,9,29,0,0,9,9,0.583333333,168,1.0,1,0.8222222220000001,0.444444444,0,0,17.33333333,2,1.4444,0
3,3,0,3,14,1,0,3,3,0.5,84,1.0,0,0.948717949,0.666666667,1,1,26.66666667,1,0.6667,1
10,3,0,5,41,21,1,5,7,0.793650794,360,1.0,0,0.804347826,0.45,0,0,34.3,2,1.1,0
10,1,0,9,49,1,0,9,8,0.920634921,382,1.0,0,0.0,0.833333333,0,0,35.1,4,1.9,0
5,1,0,4,13,0,0,4,5,0.5,65,1.0,0,0.0,0.8,0,0,11.6,3,1.2,0
8,3,0,6,46,10,0,6,7,0.771428571,394,1.0,0,0.8409090909999999,0.375,1,1,47.625,2,1.0,0
2,1,0,4,2,1,3,2,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0
2,1,0,1,6,0,1,0,2,1.0,39,1.0,0,0.0,0.666666667,0,0,16.5,2,1.0,0
3,3,0,5,17,0,1,5,3,0.0,91,1.0,0,0.948717949,1.0,0,0,29.0,1,0.6667,0
3,1,0,8,16,3,1,7,1,2.0,125,0.0,0,0.0,0.444444444,0,0,40.66666667,1,0.6667,0
9,6,0,7,33,28,0,7,6,0.8125,163,1.0,0,0.950617284,0.4,4,6,16.88888889,2,1.0,0
7,3,0,7,22,0,0,7,7,0.625,147,1.0,0,0.860465116,0.342857143,1,1,19.42857143,5,1.4286,0
13,3,0,7,35,52,0,7,10,0.869047619,273,1.0,2,0.7551020409999999,0.353846154,1,1,19.46153846,6,1.6923,0
6,3,0,10,33,0,3,8,5,0.466666667,198,1.0,1,0.880952381,0.333333333,2,4,31.5,2,1.0,3
9,5,0,12,36,0,0,12,4,0.525,375,1.0,3,0.930434783,0.4,2,4,40.11111111,11,2.4444,0
5,3,0,4,18,0,0,4,5,0.666666667,107,1.0,0,0.902439024,0.8,1,1,19.8,1,0.8,0
3,1,0,3,9,3,1,2,2,2.0,43,0.0,0,0.0,0.666666667,0,0,13.33333333,1,0.6667,0
27,3,0,11,83,291,2,9,20,0.889423077,658,1.0,2,0.587301587,0.185185185,0,0,23.07407407,11,1.9259,2
10,3,0,9,70,1,1,8,8,0.703703704,440,0.666666667,1,0.804347826,0.466666667,1,1,42.4,6,1.9,0
6,2,0,3,11,13,2,1,6,0.8,68,1.0,0,0.924242424,0.444444444,1,5,10.16666667,3,1.5,0
2,1,0,5,29,0,0,5,0,0.0,176,1.0,2,0.0,0.6,0,0,85.5,10,5.0,0
5,1,0,10,5,10,10,0,5,2.0,5,0.0,0,0.0,0.533333333,0,0,0.0,1,1.0,0
12,3,11,18,37,0,12,6,11,0.454545455,164,1.0,1,0.770833333,0.4166666670000001,0,0,12.5,6,1.5833,0
2,2,0,8,17,1,1,7,2,2.0,97,1.0,0,0.958333333,1.0,0,0,47.0,1,0.5,0
18,4,0,8,49,19,0,8,16,0.773109244,579,1.0,0,0.821052632,0.296296296,2,3,30.77777778,14,2.1111,0
42,4,1,19,74,741,7,13,40,0.948350072,550,1.0,4,0.655462185,0.210884354,3,3,11.69047619,2,1.2143,0
5,1,0,4,20,0,0,4,4,0.333333333,144,1.0,1,0.0,0.9,0,0,27.2,5,2.2,0
3,3,0,2,6,1,0,2,3,0.5,29,1.0,0,0.948717949,0.666666667,0,0,8.333333332999999,1,0.6667,0
7,1,0,6,7,21,5,1,7,2.0,7,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
3,1,0,15,3,3,15,0,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
11,3,0,11,37,11,3,8,10,0.683333333,285,1.0,3,0.75,0.287878788,1,1,24.36363636,3,1.9091,0
5,1,0,51,10,8,51,0,3,0.3125,69,0.75,1,0.0,0.583333333,0,0,12.0,3,0.6,0
4,3,0,4,32,2,0,4,4,0.666666667,215,1.0,0,0.925,0.75,1,1,52.25,1,0.75,0
9,1,0,8,25,10,5,3,7,0.6875,114,1.0,0,0.0,0.25,0,0,11.22222222,1,0.8889,2
8,4,0,12,65,2,0,12,6,0.916666667,583,0.166666667,0,0.917647059,0.333333333,3,3,70.375,3,1.25,0
13,4,0,7,55,30,1,7,10,0.802083333,590,1.0,1,0.8666666670000001,0.5,2,2,43.76923077,1,0.9231,0
6,1,0,7,26,0,1,6,6,0.65,185,1.0,3,0.0,0.305555556,0,0,29.16666667,1,0.8333,0
4,1,0,5,4,6,4,1,4,2.0,4,0.0,0,0.0,0.875,0,0,0.0,1,1.0,0
21,1,0,25,77,162,10,16,14,0.7375,566,0.916666667,4,0.0,0.135,0,0,25.38095238,7,1.8095,1
4,3,0,3,17,4,0,3,3,0.666666667,152,1.0,0,0.925,0.75,1,1,36.75,1,0.75,0
8,1,0,6,25,0,5,1,7,0.6,169,1.0,0,0.0,0.4166666670000001,0,0,19.5,7,1.875,0
3,1,0,9,25,1,7,2,3,0.0,277,1.0,1,0.0,0.666666667,0,0,91.0,14,5.3333,0
9,5,0,10,20,4,3,7,9,0.6875,110,1.0,0,0.919191919,0.388888889,2,7,10.77777778,3,1.2222,0
3,1,1,5,9,0,3,2,3,0.0,47,1.0,0,0.0,0.666666667,0,0,14.33333333,1,0.6667,0
13,1,0,4,13,78,4,0,13,2.0,13,0.0,0,0.0,0.326923077,0,0,0.0,1,1.0,0
10,1,4,17,81,5,4,13,4,0.783625731,743,1.0,7,0.0,0.259259259,0,0,71.4,14,4.2,1
6,3,0,4,25,11,0,4,4,0.8,157,1.0,0,0.880952381,0.4,2,2,24.83333333,1,0.8333,0
8,3,0,7,32,8,3,4,5,0.738095238,300,0.833333333,0,0.860465116,0.35714285700000004,1,1,35.75,1,0.75,0
2,2,0,9,19,1,1,8,2,2.0,120,0.0,0,0.958333333,1.0,1,1,59.0,1,0.5,0
8,3,0,8,25,14,1,7,8,0.7142857140000001,157,1.0,1,0.8409090909999999,0.375,0,0,18.25,2,1.125,0
22,3,0,17,77,95,0,17,19,0.7428571429999999,439,1.0,1,0.637931034,0.172727273,1,1,18.72727273,2,1.0,0
19,4,0,8,69,91,2,8,13,0.7777777779999999,632,1.0,2,0.8125,0.368421053,1,1,31.89473684,5,1.2632,1
5,4,0,8,45,6,0,8,4,0.75,261,1.0,0,0.951219512,0.6,4,5,50.8,7,2.0,0
5,1,0,1,35,4,1,0,4,0.583333333,354,1.0,0,0.0,0.5,0,0,69.2,8,3.2,0
4,3,0,8,42,2,0,8,4,0.666666667,242,1.0,0,0.925,0.75,2,3,59.0,1,0.75,0
4,1,0,4,5,0,3,1,4,0.333333333,24,1.0,0,0.0,0.875,0,0,4.75,1,0.75,0
6,3,0,4,24,5,0,4,5,0.7333333329999999,153,1.0,0,0.880952381,0.5,0,0,24.0,1,0.8333,0
19,1,0,18,47,97,16,5,16,0.833333333,273,1.0,1,0.0,0.30526315800000003,0,0,13.0,3,1.4211,1
3,2,0,8,18,3,1,7,2,1.0,132,0.0,0,0.92,0.5,0,0,42.0,1,0.6667,0
7,4,0,11,32,0,0,11,6,0.666666667,189,1.0,1,0.928571429,0.342857143,1,1,25.42857143,3,1.1429,0
4,3,0,6,15,0,4,2,4,0.333333333,82,0.0,0,0.925,0.625,1,1,19.25,1,0.75,0
8,4,0,6,35,4,0,6,7,0.7142857140000001,265,1.0,0,0.917647059,0.46875,3,3,31.375,5,1.375,0
4,2,0,3,16,0,0,3,4,0.333333333,59,1.0,0,0.842105263,0.875,1,1,13.5,5,1.75,0
27,1,0,3,63,297,1,2,10,0.778846154,527,0.0,2,0.0,0.37962963,0,0,18.22222222,11,1.4444,0
14,3,0,8,41,33,1,8,10,0.7606837609999999,385,1.0,2,0.74,0.35714285700000004,1,1,25.85714286,4,1.5714,0
5,3,0,9,43,0,0,9,5,0.666666667,276,1.0,0,0.902439024,0.533333333,2,3,53.6,1,0.8,0
8,4,0,7,35,4,0,7,7,0.7142857140000001,265,1.0,0,0.917647059,0.46875,3,3,31.375,5,1.375,0
2,2,0,6,9,1,1,5,2,2.0,33,0.0,0,0.958333333,1.0,0,0,15.5,1,0.5,0
15,4,2,18,55,37,2,16,9,0.728571429,730,1.0,4,0.846153846,0.193333333,3,7,47.0,12,2.4667,1
7,3,0,8,22,0,0,8,7,0.625,147,1.0,0,0.860465116,0.342857143,1,1,19.42857143,5,1.4286,0
3,3,0,5,22,0,1,5,3,0.0,149,1.0,0,0.948717949,0.666666667,0,0,48.33333333,1,0.6667,0
6,4,0,8,34,0,0,8,6,0.6,493,1.0,0,0.939759036,0.5555555560000001,1,1,80.5,1,0.8333,2
2,2,0,10,9,1,6,4,2,2.0,31,0.0,0,0.923076923,0.666666667,0,0,14.5,1,0.5,0
3,3,0,3,10,0,0,3,3,0.0,32,1.0,0,0.948717949,0.666666667,0,0,9.333333332999999,1,0.6667,0
