wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
16,3,0,6,52,112,1,5,11,0.7777777779999999,509,1.0,0,0.74,0.344444444,2,8,30.625,1,0.8125,0
12,2,14,23,23,0,17,8,12,0.363636364,149,1.0,2,0.731707317,0.21875,1,7,11.25,5,1.5833,0
9,1,0,8,9,36,7,1,9,2.0,9,0.0,0,0.0,0.333333333,0,0,0.0,1,1.0,0
7,4,0,18,28,15,4,14,6,0.5,166,1.0,0,0.97309417,0.314285714,4,7,22.57142857,1,0.8571,1
7,3,0,19,28,0,1,18,7,0.0,143,1.0,1,0.934210526,0.28571428600000004,2,7,19.28571429,2,1.1429,1
4,8,0,9,15,2,2,7,3,0.333333333,97,1.0,1,0.978571429,0.4375,2,2,22.75,4,1.5,1
5,2,0,3,16,4,1,2,5,0.0,129,1.0,0,0.851851852,0.4,0,0,24.4,5,1.6,0
9,1,0,10,19,0,6,4,9,0.5,106,1.0,1,0.0,0.5555555560000001,0,0,10.55555556,3,1.1111,0
7,1,0,8,19,0,3,7,5,0.5,157,0.0,1,0.0,0.458333333,0,0,21.14285714,4,1.4286,2
7,1,0,7,18,0,3,6,5,0.5,155,0.0,1,0.0,0.458333333,0,0,20.85714286,4,1.4286,1
3,3,0,6,7,3,1,5,3,2.0,19,0.0,0,0.952380952,0.5555555560000001,1,1,5.333333333,1,0.6667,0
2,1,0,1,3,1,0,1,2,2.0,7,0.0,0,0.0,0.75,0,0,2.5,1,0.5,0
8,1,0,1,8,28,0,1,8,2.0,8,0.0,0,0.0,0.28125,0,0,0.0,1,1.0,0
8,3,0,4,22,28,1,3,7,2.0,177,0.0,0,0.860465116,0.375,2,4,21.125,1,0.75,0
1,1,0,0,2,0,0,0,1,2.0,4,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0
1,1,0,1,1,0,1,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
33,1,10,113,53,526,103,21,32,0.998046875,300,0.0,16,0.0,0.234375,0,0,7.606060606000002,2,1.0,0
6,1,2,7,7,15,3,4,6,2.0,12,0.0,0,0.0,0.361111111,0,0,1.0,1,0.8333,1
7,3,0,15,36,0,0,15,6,0.814814815,242,0.444444444,2,0.934210526,0.28571428600000004,2,8,32.28571429,3,1.1429,0
4,1,0,67,4,6,67,0,4,2.0,4,0.0,0,0.0,0.583333333,0,0,0.0,1,1.0,0
14,7,0,12,41,7,3,10,10,0.346153846,330,1.0,1,0.917241379,0.273809524,4,18,22.42857143,9,2.2857,1
1,1,0,0,2,0,0,0,1,2.0,4,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0
5,1,1,17,6,10,15,2,5,2.0,8,0.0,0,0.0,0.4,0,0,0.6,1,0.8,0
16,2,0,4,24,120,2,2,14,2.0,229,0.0,0,0.8214285709999999,0.3046875,1,7,13.3125,1,0.9375,0
5,5,0,13,23,4,1,13,3,0.75,251,1.0,2,0.968992248,0.44,1,5,48.4,10,3.0,1
10,2,0,1,16,0,1,0,9,0.537037037,703,1.0,0,0.590909091,0.36,1,2,68.7,1,0.9,1
14,1,0,15,36,39,3,12,14,0.826923077,343,0.75,0,0.0,0.196428571,0,0,22.64285714,2,1.0714,0
1,1,0,0,2,0,0,0,1,2.0,8,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0
10,1,0,12,59,0,7,5,7,0.305555556,596,0.75,1,0.0,0.44,0,0,58.2,1,0.7,0
4,5,0,5,12,0,1,4,2,0.636363636,179,1.0,0,0.989528796,0.55,1,1,41.0,1,0.5,0
16,1,0,2,16,120,1,1,16,1.066666667,19,0.0,0,0.0,0.35416666700000005,0,0,0.0,1,1.0,2
50,5,0,53,121,1069,45,24,34,0.939909297,987,0.944444444,11,0.853658537,0.079130435,3,6,18.38,10,1.6,3
3,3,0,6,7,3,1,5,3,2.0,40,0.0,0,0.953488372,0.5555555560000001,2,2,12.33333333,1,0.6667,0
5,4,0,19,22,4,1,19,5,0.5,225,1.0,0,0.96969697,0.4,2,4,43.8,13,3.0,0
6,1,0,4,17,0,3,1,6,0.7,183,0.0,0,0.0,0.7222222220000001,0,0,28.5,7,1.8333,0
5,5,0,5,15,8,0,5,3,2.0,81,0.0,0,0.983539095,0.7,2,3,15.2,3,1.2,2
15,5,0,26,71,0,4,25,15,0.535714286,499,1.0,1,0.954063604,0.193939394,0,0,32.13333333,2,0.9333,0
3,5,0,6,10,3,1,5,1,2.0,30,0.0,0,0.990697674,0.583333333,1,2,9.0,1,0.6667,0
9,5,0,14,43,0,2,12,8,0.583333333,426,1.0,1,0.946969697,0.27777777800000003,3,11,46.0,14,2.7778,1
5,1,0,6,34,10,2,4,5,2.0,198,0.0,0,0.0,0.3,0,0,38.6,1,0.8,1
2,5,0,6,8,1,1,5,0,2.0,19,0.0,0,0.995327103,0.666666667,1,1,8.5,1,0.5,0
3,1,0,5,12,0,2,3,3,0.5,46,1.0,0,0.0,0.5555555560000001,0,0,13.66666667,1,0.6667,1
4,3,0,69,7,0,68,1,3,0.833333333,40,1.0,0,0.818181818,0.5555555560000001,0,0,8.5,3,1.5,1
6,1,0,18,6,15,16,3,6,2.0,6,0.0,0,0.0,0.5,0,0,0.0,1,1.0,1
7,3,0,10,16,9,1,9,6,0.5,55,1.0,1,0.97029703,0.314285714,2,5,6.714285714,2,1.0,0
2,4,0,10,12,1,0,10,2,2.0,39,0.0,0,0.989690722,0.6,2,4,18.5,2,1.0,0
14,1,0,13,23,55,12,2,13,0.153846154,212,1.0,2,0.0,0.427350427,0,0,14.0,1,0.8571,0
7,3,0,15,25,0,3,13,6,0.5,118,1.0,1,0.903225806,0.28571428600000004,1,6,15.57142857,5,1.4286,0
12,1,0,5,44,64,3,2,0,0.981818182,586,1.0,0,0.0,0.318181818,0,0,47.41666667,8,1.8333,0
12,2,0,5,20,24,4,1,12,2.0,161,0.0,0,0.653846154,0.395833333,1,14,12.41666667,2,1.0,0
3,5,0,17,33,1,1,16,2,0.5,177,1.0,0,0.98245614,0.75,1,7,57.66666667,1,0.3333,0
12,3,0,21,39,14,2,19,11,0.818181818,195,0.5,2,0.946859903,0.194444444,2,10,14.91666667,3,1.1667,2
2,1,0,1,7,0,0,1,2,0.0,35,1.0,2,0.0,0.666666667,0,0,15.5,2,1.0,0
4,1,0,9,28,2,2,8,2,0.333333333,475,0.0,1,0.0,0.583333333,0,0,117.25,1,0.75,0
18,3,1,24,82,79,5,20,17,0.752941176,486,0.6,2,0.920187793,0.136752137,2,6,25.72222222,4,1.2778,2
11,3,0,18,43,0,0,18,10,0.6333333329999999,375,0.666666667,2,0.8875,0.257142857,2,9,32.54545455,8,2.4545,0
21,3,0,3,43,0,0,3,19,0.5,498,1.0,0,0.5,0.220238095,1,2,22.47619048,3,1.0476,0
5,1,0,4,21,6,4,0,3,0.958333333,135,1.0,1,0.0,0.5,0,0,24.8,2,0.8,2
9,1,0,20,9,36,16,4,9,2.0,9,0.0,0,0.0,0.296296296,0,0,0.0,1,1.0,0
47,2,0,59,111,1021,22,41,15,0.648550725,1185,0.666666667,1,0.323076923,0.17391304300000002,1,1,24.08510638,12,1.2128,4
1,1,0,4,1,0,2,2,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
14,2,0,30,39,71,6,25,13,0.538461538,167,1.0,0,0.7333333329999999,0.222222222,2,3,10.85714286,2,1.0,0
20,2,0,9,38,34,2,7,20,0.778947368,385,1.0,4,0.40625,0.242857143,1,7,18.0,11,2.55,1
5,3,0,9,17,8,1,8,5,0.5,92,1.0,0,0.904761905,0.4,1,6,17.2,8,2.4,0
4,4,0,8,24,6,0,8,4,2.0,121,0.0,0,0.985365854,0.625,2,4,29.25,1,0.75,0
4,2,0,7,24,0,1,6,2,0.444444444,146,0.0,2,0.727272727,0.5625,1,4,34.75,1,0.75,0
8,2,1,4,21,0,2,3,8,0.238095238,157,1.0,2,0.588235294,0.34375,1,5,18.25,3,1.5,0
8,2,1,4,21,0,2,3,8,0.333333333,158,1.0,2,0.65,0.34375,1,5,18.375,3,1.5,0
8,2,0,14,27,20,0,14,6,0.571428571,189,1.0,2,0.5,0.349206349,1,1,22.25,8,2.375,1
2,4,0,6,17,1,1,5,1,2.0,65,0.0,0,0.995260664,0.625,3,4,31.5,1,0.5,0
3,3,0,2,11,3,2,0,3,2.0,61,0.0,0,0.95,0.833333333,1,2,19.33333333,5,2.3333,0
6,3,0,9,26,15,0,9,6,2.0,160,0.0,0,0.975124378,0.444444444,2,6,25.66666667,4,1.3333,2
17,1,0,4,52,50,0,4,16,0.65625,569,1.0,0,0.0,0.19607843100000005,0,0,32.23529412,14,1.8824,0
2,1,0,2,2,1,2,0,2,2.0,2,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,0
5,1,0,5,15,4,1,5,5,0.25,77,1.0,0,0.0,0.4,0,0,14.2,2,0.8,1
1,1,0,0,2,0,0,0,1,2.0,5,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0
1,1,0,8,1,0,8,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
1,1,0,4,1,0,2,2,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
4,2,1,5,10,6,1,5,4,2.0,58,0.0,0,0.8235294120000001,0.5,1,4,13.5,5,1.75,0
2,1,0,2,2,1,1,1,2,2.0,2,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,0
7,3,0,21,48,17,0,21,5,0.8888888890000001,237,1.0,1,0.903225806,0.30952381,1,4,32.42857143,6,1.7143,1
17,1,0,4,55,50,0,4,16,0.65625,569,1.0,0,0.0,0.19607843100000005,0,0,32.23529412,14,1.8824,2
2,1,0,53,2,1,53,1,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0
3,3,0,7,7,3,2,5,3,2.0,25,0.0,0,0.953488372,0.5555555560000001,1,1,7.333333333,1,0.6667,0
4,4,0,32,45,0,0,32,3,0.083333333,524,1.0,4,0.96969697,0.458333333,3,7,129.0,8,2.5,1
3,4,0,11,27,3,0,11,2,2.0,169,0.0,0,0.96,0.476190476,1,7,55.33333333,8,3.0,0
3,5,0,6,10,3,1,5,1,2.0,30,0.0,0,0.990697674,0.583333333,1,2,9.0,1,0.6667,0
1,3,0,12,2,0,12,0,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,0
4,4,0,5,6,4,1,4,4,0.666666667,26,1.0,0,0.964285714,0.45,0,0,5.25,1,0.75,0
2,1,0,0,4,1,0,0,2,2.0,16,0.0,0,0.0,0.5,0,0,3.5,1,0.5,0
4,2,0,18,7,0,1,17,4,0.166666667,93,1.0,0,0.8,0.4,0,0,21.75,12,4.0,0
4,5,0,17,75,6,1,17,3,2.0,468,0.0,0,0.986111111,0.5,4,6,116.0,3,1.25,1
15,3,0,7,26,53,2,5,15,0.7857142859999999,164,1.0,5,0.933333333,0.29333333300000003,2,6,9.6,2,1.0,0
19,1,0,6,42,57,2,4,19,0.666666667,154,0.0,1,0.0,0.278195489,0,0,7.0,1,0.9474,0
2,5,0,6,8,1,1,5,0,2.0,19,0.0,0,0.995327103,0.666666667,1,1,8.5,1,0.5,0
4,6,0,10,16,6,0,10,3,2.0,113,0.0,0,0.955223881,0.5,2,8,27.25,1,0.75,0
7,4,0,25,49,21,4,22,5,2.0,452,0.0,0,0.923076923,0.339285714,2,7,63.57142857,14,5.1429,0
3,4,0,7,19,3,1,6,2,2.0,54,0.0,0,0.990566038,0.666666667,2,3,17.0,1,0.6667,0
14,3,0,10,42,27,1,9,14,0.666666667,290,1.0,2,0.937799043,0.25,3,4,19.5,2,1.0714,0
5,1,0,8,17,0,6,2,4,0.4375,115,1.0,2,0.0,0.45,0,0,21.2,4,1.6,2
7,1,0,19,7,21,17,3,7,2.0,7,0.0,0,0.0,0.476190476,0,0,0.0,1,1.0,0
5,1,0,6,36,0,3,5,5,0.65,330,1.0,2,0.0,0.466666667,0,0,64.0,3,1.6,1
3,1,0,6,23,3,2,4,3,2.0,141,0.0,0,0.0,0.333333333,0,0,46.0,1,0.6667,1
7,3,0,9,16,9,1,8,6,0.5,55,1.0,1,0.97029703,0.314285714,2,5,6.714285714,2,1.0,0
41,3,0,4,56,784,2,2,41,2.0,223,0.0,0,0.74,0.153846154,2,9,4.43902439,1,0.9512,2
34,1,0,15,34,561,3,13,34,2.0,34,0.0,0,0.0,0.119485294,0,0,0.0,1,1.0,0
11,1,0,2,18,19,0,2,9,0.75,138,1.0,0,0.0,0.424242424,0,0,11.0,3,1.2727,0
4,8,0,10,15,2,2,8,3,0.333333333,97,1.0,1,0.978571429,0.4375,2,2,22.75,4,1.5,0
3,3,0,6,7,3,1,5,3,2.0,19,0.0,0,0.952380952,0.5555555560000001,1,1,5.333333333,1,0.6667,0
12,1,0,12,20,46,11,2,12,0.0,176,1.0,1,0.0,0.489583333,0,0,13.58333333,1,0.9167,0
4,1,0,3,11,4,1,3,0,1.095238095,357,0.428571429,3,0.0,0.428571429,0,0,86.5,7,3.5,0
9,1,0,11,19,0,7,4,9,0.5,101,1.0,1,0.0,0.5555555560000001,0,0,10.0,2,1.0,0
29,1,0,14,75,114,2,13,29,0.854166667,490,1.0,3,0.0,0.237068966,0,0,15.48275862,2,1.0,0
1,1,0,0,2,0,0,0,1,2.0,9,0.0,0,0.0,1.0,0,0,3.0,0,0.0,1
4,1,0,2,6,0,2,0,4,0.4166666670000001,87,1.0,0,0.0,1.0,0,0,19.75,2,1.0,1
13,1,0,10,35,58,7,3,13,0.666666667,260,0.0,0,0.0,0.307692308,0,0,18.92307692,11,2.0,1
3,5,0,7,10,3,1,6,2,2.0,40,0.0,0,0.990697674,0.583333333,2,4,12.33333333,1,0.6667,0
11,2,0,4,21,23,1,4,11,0.64,135,1.0,2,0.565217391,0.363636364,1,6,10.81818182,4,1.3636,0
4,2,1,1,9,2,1,0,3,0.666666667,91,1.0,0,0.942857143,0.666666667,2,3,21.25,3,1.0,1
3,5,0,14,33,1,0,14,2,0.5,177,1.0,0,0.98245614,0.75,1,7,57.66666667,1,0.3333,0
4,4,0,20,20,0,1,20,4,0.333333333,149,1.0,0,0.979591837,0.45,2,4,36.0,10,2.75,0
12,7,0,16,35,6,3,14,8,0.409090909,230,1.0,1,0.93006993,0.291666667,4,13,18.0,5,1.6667,2
9,2,1,21,10,36,20,6,1,2.0,28,0.0,0,0.6,0.314814815,0,0,2.111111111,1,0.8889,0
4,4,0,6,6,2,2,4,3,0.666666667,29,1.0,0,0.975903614,0.466666667,0,0,5.75,1,0.5,0
1,1,0,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
6,4,0,35,47,3,11,28,5,2.0,281,0.0,0,0.938271605,0.4,2,13,45.83333333,8,3.6667,0
3,1,0,7,15,3,4,3,3,1.0,183,0.0,3,0.0,0.388888889,0,0,58.66666667,5,3.3333,0
3,4,0,10,34,3,1,9,1,2.0,169,0.0,0,0.990566038,0.666666667,1,1,55.33333333,1,0.6667,0
55,1,5,100,118,1101,75,45,10,0.912037037,1164,1.0,6,0.0,0.149691358,0,0,19.94545455,18,2.1636,1
3,7,0,20,26,0,1,19,2,0.0,171,0.75,3,0.985185185,0.444444444,3,4,54.66666667,6,3.0,0
2,4,1,9,14,1,2,7,1,2.0,50,0.0,0,0.995260664,0.625,2,2,24.0,1,0.5,0
2,4,0,13,13,1,0,13,2,2.0,43,0.0,0,0.989690722,0.6,2,4,20.5,2,1.0,1
4,2,0,6,25,0,1,5,2,0.444444444,152,0.0,2,0.727272727,0.5625,1,4,36.25,1,0.75,0
8,3,0,13,27,0,0,13,7,0.28571428600000004,117,1.0,1,0.965517241,0.270833333,2,5,13.5,2,1.0,2
6,5,0,16,27,15,1,15,4,2.0,193,0.0,0,0.97706422,0.533333333,2,4,31.16666667,6,1.6667,2
6,3,0,9,26,15,0,9,6,2.0,160,0.0,0,0.975124378,0.444444444,2,5,25.66666667,4,1.3333,0
46,1,0,3,53,1009,2,1,45,0.966666667,245,0.0,0,0.0,0.190217391,0,0,4.195652174,1,0.9783,0
2,4,0,8,14,1,0,8,2,2.0,72,0.0,0,0.979591837,0.75,2,7,35.0,1,0.5,0
3,3,0,7,7,3,2,5,3,2.0,25,0.0,0,0.953488372,0.5555555560000001,1,1,7.333333333,1,0.6667,0
12,1,0,15,62,66,2,13,9,0.909090909,477,0.0,0,0.0,0.25,0,0,38.58333333,5,2.0,1
4,2,1,6,19,0,1,6,4,0.333333333,164,1.0,1,0.8235294120000001,0.5,1,4,39.75,11,3.25,2
2,1,0,1,13,1,1,0,2,2.0,103,0.0,0,0.0,0.5,0,0,49.5,10,5.0,0
11,3,0,3,16,55,1,2,11,2.0,44,0.0,0,0.830188679,0.348484848,0,0,3.0,1,0.8182,0
9,1,0,19,59,16,1,18,9,0.7857142859999999,680,0.0,0,0.0,0.28571428600000004,0,0,73.77777778,10,2.3333,0
20,3,2,35,72,120,14,24,19,0.910931174,404,1.0,3,0.759493671,0.1875,1,4,18.55,7,1.8,1
15,3,0,7,26,53,2,5,15,0.7857142859999999,164,1.0,5,0.933333333,0.29333333300000003,2,5,9.6,2,1.0,0
14,3,0,10,41,27,1,9,14,0.666666667,290,1.0,2,0.937799043,0.25,3,4,19.5,2,1.0714,0
3,4,0,7,19,3,1,6,2,2.0,54,0.0,0,0.990566038,0.666666667,2,3,17.0,1,0.6667,0
7,4,0,16,22,0,0,16,5,0.625,153,1.0,4,0.926829268,0.30952381,2,4,20.28571429,6,1.7143,0
5,1,0,5,33,0,3,4,5,0.65,328,1.0,2,0.0,0.466666667,0,0,63.6,3,1.6,0
13,1,0,2,27,0,1,1,13,0.694444444,168,0.0,1,0.0,0.4,0,0,11.69230769,6,1.6923,1
