wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
4,2,0,6,8,6,2,5,4,2.0,26,0.0,0,0.896551724,0.5,0,0,5.5,1,0.75,0
6,3,0,21,33,15,1,21,2,2.0,176,0.0,0,0.8,0.5,2,2,28.33333333,1,0.6667,0
2,3,0,3,7,1,0,3,1,2.0,24,0.0,0,0.833333333,0.666666667,1,1,11.0,1,0.5,0
26,1,1,10,47,0,5,5,24,0.08,236,1.0,1,0.0,0.258241758,0,0,8.038461538,2,1.0,0
13,2,0,18,112,76,3,17,1,0.875,1000,1.0,1,0.4,0.272727273,1,1,75.76923077,10,5.2308,0
13,1,0,66,13,78,66,1,13,2.0,13,0.0,0,0.0,0.369230769,0,0,0.0,1,1.0,1
6,3,0,13,18,13,1,13,4,0.8,76,1.0,0,0.8,0.333333333,1,1,11.5,1,0.6667,0
7,2,0,7,25,0,1,6,5,0.166666667,153,1.0,1,0.538461538,0.35714285700000004,1,1,20.57142857,4,1.2857,0
3,5,0,2,6,3,1,1,3,2.0,16,0.0,0,1.0,0.7777777779999999,0,0,4.333333333,0,0.0,0
6,1,0,2,25,5,2,0,5,0.7,166,1.0,0,0.0,0.5,0,0,25.66666667,1,0.5,0
7,2,0,11,21,17,6,5,6,0.666666667,90,1.0,0,0.375,0.375,0,0,11.57142857,2,1.0,0
3,1,0,9,8,1,4,5,3,0.0,26,1.0,1,0.0,0.5,0,0,7.333333333,1,0.3333,0
0,1,0,27,0,0,26,1,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
12,3,0,8,19,60,1,8,9,0.363636364,101,1.0,0,0.52173913,0.35416666700000005,1,1,7.333333333,3,1.1667,0
14,3,0,6,29,35,1,6,13,0.153846154,132,1.0,0,0.636363636,0.339285714,2,8,8.357142857000001,2,1.1429,0
0,1,0,1,0,0,1,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
3,3,0,5,8,3,1,5,2,2.0,28,0.0,0,0.941176471,0.5,1,1,8.333333332999999,1,0.3333,0
13,3,0,8,29,36,1,8,11,0.5,158,1.0,0,0.65625,0.326923077,2,7,11.07692308,4,1.3077,0
4,1,0,5,5,0,5,0,4,0.666666667,28,1.0,0,0.0,0.4375,0,0,5.25,1,0.75,0
12,3,0,11,27,44,1,10,8,0.727272727,124,1.0,2,0.571428571,0.233766234,1,1,9.0,3,0.9167,0
3,1,0,4,6,0,2,2,2,0.5,33,1.0,1,0.0,0.666666667,0,0,9.0,2,1.0,0
16,2,0,8,19,114,4,6,12,0.8,90,1.0,1,0.65,0.2875,1,3,4.5625,1,0.875,0
1,1,0,5,1,0,4,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
3,1,0,5,8,3,1,4,3,2.0,23,0.0,0,0.0,0.5,0,0,6.666666667,1,0.6667,0
2,1,0,1,2,1,1,0,2,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
2,3,0,4,5,0,1,4,2,0.0,20,1.0,1,0.985915493,0.666666667,1,1,8.5,1,0.5,0
5,3,0,4,10,2,1,3,5,0.625,40,1.0,0,0.902439024,0.466666667,1,1,6.6,2,1.0,0
4,3,0,11,23,0,1,11,1,0.5,75,1.0,1,0.833333333,0.4375,1,1,17.25,1,0.75,0
4,1,0,4,10,0,1,3,4,0.0,35,1.0,0,0.0,0.583333333,0,0,7.5,1,0.75,0
7,3,0,5,24,3,0,5,5,0.5,141,1.0,2,0.5,0.267857143,2,2,18.57142857,3,1.2857,0
4,3,0,6,6,0,1,6,2,0.5,30,1.0,2,0.95890411,0.45,1,1,6.0,1,0.75,0
1,1,0,1,1,0,1,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
