wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
14,1,1,8,32,49,4,4,12,0.835164835,257,1.0,0,0.0,0.307692308,0,0,16.85714286,6,1.6429,2
3,2,0,1,9,0,0,1,1,0.0,58,1.0,1,0.7142857140000001,0.666666667,1,1,17.33333333,1,0.6667,0
6,3,0,4,21,1,0,4,6,0.7,136,1.0,0,0.880952381,0.4166666670000001,2,2,21.0,1,0.8333,0
5,1,0,3,15,0,2,1,4,0.5,137,1.0,0,0.0,0.9,0,0,25.2,4,1.8,0
16,3,0,3,40,84,1,2,16,0.658333333,604,1.0,2,0.580645161,0.291666667,2,7,36.25,1,0.8125,0
4,5,0,5,21,0,0,5,4,0.333333333,87,1.0,0,0.98089172,1.0,1,1,20.5,3,1.25,0
10,3,0,5,41,21,1,5,7,0.793650794,360,1.0,0,0.804347826,0.45,0,0,34.3,2,1.1,0
5,1,5,12,11,8,11,1,5,0.75,59,1.0,0,0.0,0.7,0,0,10.6,5,1.6,0
10,1,0,9,49,1,0,9,8,0.920634921,382,1.0,0,0.0,0.833333333,0,0,35.1,4,1.9,0
22,4,0,16,72,165,1,16,16,0.904761905,675,1.0,1,0.787878788,0.227272727,3,3,29.04545455,4,1.2273,1
4,1,0,2,7,6,1,1,4,2.0,20,0.0,0,0.0,0.875,0,0,4.0,1,0.75,0
4,1,0,3,4,6,2,1,4,2.0,4,0.0,0,0.0,0.5,0,0,0.0,1,1.0,0
9,1,4,8,15,18,5,3,5,0.708333333,98,1.0,1,0.0,0.288888889,0,0,9.555555556,2,1.0,0
8,3,0,6,46,10,0,6,7,0.771428571,394,1.0,0,0.8409090909999999,0.375,1,1,47.625,2,1.0,0
22,4,1,15,104,185,2,13,8,0.8392857140000001,1180,1.0,0,0.7959183670000001,0.180272109,3,3,52.27272727,3,1.0455,3
2,1,0,4,2,1,3,2,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0
23,1,1,22,51,181,20,2,14,0.731404959,1407,1.0,0,0.0,0.290909091,0,0,59.69565217,35,5.8696,0
4,1,0,2,5,6,1,1,4,2.0,16,0.0,0,0.0,0.875,0,0,3.0,1,0.75,0
0,1,0,0,0,0,0,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
7,3,0,7,22,0,0,7,7,0.625,147,1.0,0,0.860465116,0.342857143,1,1,19.42857143,5,1.4286,0
13,3,0,7,35,52,0,7,10,0.869047619,273,1.0,2,0.7551020409999999,0.353846154,1,1,19.46153846,6,1.6923,0
14,1,0,7,82,65,0,7,1,0.8165680470000001,1253,0.846153846,0,0.0,0.16964285699999998,0,0,87.57142857,4,2.1429,1
9,5,0,12,36,0,0,12,4,0.525,375,1.0,3,0.930434783,0.4,2,4,40.11111111,11,2.4444,0
3,1,0,3,9,3,1,2,2,2.0,43,0.0,0,0.0,0.666666667,0,0,13.33333333,1,0.6667,0
24,3,0,27,80,182,20,8,18,0.565217391,693,0.666666667,2,0.588235294,0.15415019800000002,2,5,27.75,13,2.2917,0
6,2,0,3,11,13,2,1,6,0.8,68,1.0,0,0.924242424,0.444444444,1,5,10.16666667,3,1.5,0
5,4,0,1,9,10,1,0,3,0.75,81,0.0,0,0.924528302,0.44,2,2,15.0,5,2.0,0
2,2,0,9,23,1,1,8,2,2.0,204,0.0,0,0.958333333,1.0,1,1,101.0,1,0.5,0
5,1,0,10,5,10,10,0,5,2.0,5,0.0,0,0.0,0.533333333,0,0,0.0,1,1.0,0
5,1,0,7,17,0,0,7,5,0.5,75,1.0,0,0.0,0.8,0,0,13.4,3,1.2,0
2,2,0,8,17,1,1,7,2,2.0,97,1.0,0,0.958333333,1.0,0,0,47.0,1,0.5,0
1,2,0,9,3,0,6,3,1,2.0,14,0.0,0,1.0,1.0,0,0,13.0,0,0.0,0
18,4,0,8,49,19,0,8,16,0.773109244,579,1.0,0,0.821052632,0.296296296,2,3,30.77777778,14,2.1111,0
42,4,1,19,74,741,7,13,40,0.948350072,550,1.0,4,0.655462185,0.210884354,3,3,11.69047619,2,1.2143,0
5,1,0,4,20,0,0,4,4,0.333333333,144,1.0,1,0.0,0.9,0,0,27.2,5,2.2,0
3,3,0,2,6,1,0,2,3,0.5,29,1.0,0,0.948717949,0.666666667,0,0,8.333333332999999,1,0.6667,0
7,1,0,6,7,21,5,1,7,2.0,7,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
3,1,0,15,3,3,15,0,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
4,3,0,4,32,2,0,4,4,0.666666667,215,1.0,0,0.925,0.75,1,1,52.25,1,0.75,0
11,2,0,7,15,13,5,3,11,0.75,97,1.0,3,0.2,0.22077922100000005,0,0,7.272727272999999,1,0.7273,0
5,1,0,16,12,4,14,2,5,0.25,55,1.0,0,0.0,0.533333333,0,0,9.8,1,0.6,0
8,4,0,12,65,2,0,12,6,0.916666667,583,0.166666667,0,0.917647059,0.333333333,3,3,70.375,3,1.25,0
13,4,0,7,55,30,1,7,10,0.802083333,590,1.0,1,0.8666666670000001,0.5,2,2,43.76923077,1,0.9231,0
6,1,0,7,26,0,1,6,6,0.65,185,1.0,3,0.0,0.305555556,0,0,29.16666667,1,0.8333,0
4,1,0,5,4,6,4,1,4,2.0,4,0.0,0,0.0,0.875,0,0,0.0,1,1.0,0
8,4,0,7,34,6,0,7,8,0.761904762,626,1.0,0,0.917647059,0.4375,2,2,76.5,3,1.625,3
5,3,0,7,20,2,0,7,5,0.625,76,1.0,1,0.902439024,0.6,2,2,13.8,2,1.0,0
71,1,0,103,186,2247,99,7,55,0.97244898,2193,0.571428571,0,0.0,0.127731092,0,0,29.49295775,18,1.5775,1
8,1,0,6,25,0,5,1,7,0.6,169,1.0,0,0.0,0.4166666670000001,0,0,19.5,7,1.875,0
3,1,0,9,25,1,7,2,3,0.0,277,1.0,1,0.0,0.666666667,0,0,91.0,14,5.3333,0
9,5,0,10,20,4,3,7,9,0.6875,110,1.0,0,0.919191919,0.388888889,2,7,10.77777778,3,1.2222,0
17,3,1,12,64,52,1,11,13,0.7932692309999999,642,1.0,1,0.698113208,0.242647059,1,1,36.0,11,2.0,0
0,1,0,1,0,0,1,0,0,2.0,24,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
31,1,0,6,65,243,4,2,30,0.726666667,747,1.0,0,0.0,0.182795699,1,1,22.61290323,4,1.1613,0
21,1,0,2,35,38,2,0,17,0.6318181820000001,617,0.818181818,0,0.0,0.293650794,0,0,27.85714286,3,0.8571,0
3,1,1,5,9,0,3,2,3,0.0,47,1.0,0,0.0,0.666666667,0,0,14.33333333,1,0.6667,0
15,3,0,3,37,41,1,2,14,0.6964285709999999,437,0.75,1,0.454545455,0.311111111,1,2,27.33333333,1,0.8,0
