,k<>ant-1.7--camel,m<>ant-1.7--camel,r<>ant-1.7--camel,k<>ant-1.7--jedit,m<>ant-1.7--jedit,r<>ant-1.7--jedit,k<>ant-1.7--synapse,m<>ant-1.7--synapse,r<>ant-1.7--synapse,k<>ant-1.7--ivy,m<>ant-1.7--ivy,r<>ant-1.7--ivy,k<>ant-1.7--xalan,m<>ant-1.7--xalan,r<>ant-1.7--xalan,k<>ant-1.7--xerces,m<>ant-1.7--xerces,r<>ant-1.7--xerces,k<>ant-1.6--camel,m<>ant-1.6--camel,r<>ant-1.6--camel,k<>ant-1.6--jedit,m<>ant-1.6--jedit,r<>ant-1.6--jedit,k<>ant-1.6--synapse,m<>ant-1.6--synapse,r<>ant-1.6--synapse,k<>ant-1.6--ivy,m<>ant-1.6--ivy,r<>ant-1.6--ivy,k<>ant-1.6--xalan,m<>ant-1.6--xalan,r<>ant-1.6--xalan,k<>ant-1.6--xerces,m<>ant-1.6--xerces,r<>ant-1.6--xerces,k<>ant-1.5--camel,m<>ant-1.5--camel,r<>ant-1.5--camel,k<>ant-1.5--jedit,m<>ant-1.5--jedit,r<>ant-1.5--jedit,k<>ant-1.5--synapse,m<>ant-1.5--synapse,r<>ant-1.5--synapse,k<>ant-1.5--ivy,m<>ant-1.5--ivy,r<>ant-1.5--ivy,k<>ant-1.5--xalan,m<>ant-1.5--xalan,r<>ant-1.5--xalan,k<>ant-1.5--xerces,m<>ant-1.5--xerces,r<>ant-1.5--xerces,k<>camel-1.6--ant,m<>camel-1.6--ant,r<>camel-1.6--ant,k<>camel-1.6--jedit,m<>camel-1.6--jedit,r<>camel-1.6--jedit,k<>camel-1.6--synapse,m<>camel-1.6--synapse,r<>camel-1.6--synapse,k<>camel-1.6--ivy,m<>camel-1.6--ivy,r<>camel-1.6--ivy,k<>camel-1.6--xalan,m<>camel-1.6--xalan,r<>camel-1.6--xalan,k<>camel-1.6--xerces,m<>camel-1.6--xerces,r<>camel-1.6--xerces,k<>camel-1.4--ant,m<>camel-1.4--ant,r<>camel-1.4--ant,k<>camel-1.4--jedit,m<>camel-1.4--jedit,r<>camel-1.4--jedit,k<>camel-1.4--synapse,m<>camel-1.4--synapse,r<>camel-1.4--synapse,k<>camel-1.4--ivy,m<>camel-1.4--ivy,r<>camel-1.4--ivy,k<>camel-1.4--xalan,m<>camel-1.4--xalan,r<>camel-1.4--xalan,k<>camel-1.4--xerces,m<>camel-1.4--xerces,r<>camel-1.4--xerces,k<>camel-1.2--ant,m<>camel-1.2--ant,r<>camel-1.2--ant,k<>camel-1.2--jedit,m<>camel-1.2--jedit,r<>camel-1.2--jedit,k<>camel-1.2--synapse,m<>camel-1.2--synapse,r<>camel-1.2--synapse,k<>camel-1.2--ivy,m<>camel-1.2--ivy,r<>camel-1.2--ivy,k<>camel-1.2--xalan,m<>camel-1.2--xalan,r<>camel-1.2--xalan,k<>camel-1.2--xerces,m<>camel-1.2--xerces,r<>camel-1.2--xerces,k<>ivy-2.0--ant,m<>ivy-2.0--ant,r<>ivy-2.0--ant,k<>ivy-2.0--camel,m<>ivy-2.0--camel,r<>ivy-2.0--camel,k<>ivy-2.0--jedit,m<>ivy-2.0--jedit,r<>ivy-2.0--jedit,k<>ivy-2.0--synapse,m<>ivy-2.0--synapse,r<>ivy-2.0--synapse,k<>ivy-2.0--xalan,m<>ivy-2.0--xalan,r<>ivy-2.0--xalan,k<>ivy-2.0--xerces,m<>ivy-2.0--xerces,r<>ivy-2.0--xerces,k<>jedit-4.2--ant,m<>jedit-4.2--ant,r<>jedit-4.2--ant,k<>jedit-4.2--camel,m<>jedit-4.2--camel,r<>jedit-4.2--camel,k<>jedit-4.2--synapse,m<>jedit-4.2--synapse,r<>jedit-4.2--synapse,k<>jedit-4.2--ivy,m<>jedit-4.2--ivy,r<>jedit-4.2--ivy,k<>jedit-4.2--xalan,m<>jedit-4.2--xalan,r<>jedit-4.2--xalan,k<>jedit-4.2--xerces,m<>jedit-4.2--xerces,r<>jedit-4.2--xerces,k<>jedit-4.1--ant,m<>jedit-4.1--ant,r<>jedit-4.1--ant,k<>jedit-4.1--camel,m<>jedit-4.1--camel,r<>jedit-4.1--camel,k<>jedit-4.1--synapse,m<>jedit-4.1--synapse,r<>jedit-4.1--synapse,k<>jedit-4.1--ivy,m<>jedit-4.1--ivy,r<>jedit-4.1--ivy,k<>jedit-4.1--xalan,m<>jedit-4.1--xalan,r<>jedit-4.1--xalan,k<>jedit-4.1--xerces,m<>jedit-4.1--xerces,r<>jedit-4.1--xerces,k<>jedit-4.0--ant,m<>jedit-4.0--ant,r<>jedit-4.0--ant,k<>jedit-4.0--camel,m<>jedit-4.0--camel,r<>jedit-4.0--camel,k<>jedit-4.0--synapse,m<>jedit-4.0--synapse,r<>jedit-4.0--synapse,k<>jedit-4.0--ivy,m<>jedit-4.0--ivy,r<>jedit-4.0--ivy,k<>jedit-4.0--xalan,m<>jedit-4.0--xalan,r<>jedit-4.0--xalan,k<>jedit-4.0--xerces,m<>jedit-4.0--xerces,r<>jedit-4.0--xerces,k<>synapse-1.1--ant,m<>synapse-1.1--ant,r<>synapse-1.1--ant,k<>synapse-1.1--camel,m<>synapse-1.1--camel,r<>synapse-1.1--camel,k<>synapse-1.1--jedit,m<>synapse-1.1--jedit,r<>synapse-1.1--jedit,k<>synapse-1.1--ivy,m<>synapse-1.1--ivy,r<>synapse-1.1--ivy,k<>synapse-1.1--xalan,m<>synapse-1.1--xalan,r<>synapse-1.1--xalan,k<>synapse-1.1--xerces,m<>synapse-1.1--xerces,r<>synapse-1.1--xerces,k<>synapse-1.2--ant,m<>synapse-1.2--ant,r<>synapse-1.2--ant,k<>synapse-1.2--camel,m<>synapse-1.2--camel,r<>synapse-1.2--camel,k<>synapse-1.2--jedit,m<>synapse-1.2--jedit,r<>synapse-1.2--jedit,k<>synapse-1.2--ivy,m<>synapse-1.2--ivy,r<>synapse-1.2--ivy,k<>synapse-1.2--xalan,m<>synapse-1.2--xalan,r<>synapse-1.2--xalan,k<>synapse-1.2--xerces,m<>synapse-1.2--xerces,r<>synapse-1.2--xerces,k<>xalan-2.5--ant,m<>xalan-2.5--ant,r<>xalan-2.5--ant,k<>xalan-2.5--camel,m<>xalan-2.5--camel,r<>xalan-2.5--camel,k<>xalan-2.5--jedit,m<>xalan-2.5--jedit,r<>xalan-2.5--jedit,k<>xalan-2.5--synapse,m<>xalan-2.5--synapse,r<>xalan-2.5--synapse,k<>xalan-2.5--ivy,m<>xalan-2.5--ivy,r<>xalan-2.5--ivy,k<>xalan-2.5--xerces,m<>xalan-2.5--xerces,r<>xalan-2.5--xerces,k<>xalan-2.6--ant,m<>xalan-2.6--ant,r<>xalan-2.6--ant,k<>xalan-2.6--camel,m<>xalan-2.6--camel,r<>xalan-2.6--camel,k<>xalan-2.6--jedit,m<>xalan-2.6--jedit,r<>xalan-2.6--jedit,k<>xalan-2.6--synapse,m<>xalan-2.6--synapse,r<>xalan-2.6--synapse,k<>xalan-2.6--ivy,m<>xalan-2.6--ivy,r<>xalan-2.6--ivy,k<>xalan-2.6--xerces,m<>xalan-2.6--xerces,r<>xalan-2.6--xerces,k<>xerces-1.3--ant,m<>xerces-1.3--ant,r<>xerces-1.3--ant,k<>xerces-1.3--camel,m<>xerces-1.3--camel,r<>xerces-1.3--camel,k<>xerces-1.3--jedit,m<>xerces-1.3--jedit,r<>xerces-1.3--jedit,k<>xerces-1.3--synapse,m<>xerces-1.3--synapse,r<>xerces-1.3--synapse,k<>xerces-1.3--ivy,m<>xerces-1.3--ivy,r<>xerces-1.3--ivy,k<>xerces-1.3--xalan,m<>xerces-1.3--xalan,r<>xerces-1.3--xalan
EALR,17,5,4.186740948,14,6,0.907893132,8,5,1.46638058,8,3,1.720560478,14,3,2.019609065,7,4,3.110522491,9,6,0.106859148,12,4,1.682686263,4,6,1.901206891,4,4,4.817183296,10,2,2.601594096,19,3,4.542940148,7,3,1.869042419,18,5,4.353905176,9,5,4.06295862,18,2,3.871176407,13,6,3.311538913,6,5,4.979239647,8,5,0.255733127,14,6,3.038735398,10,2,4.989708028,13,6,4.877033553,4,1,1.134224815,10,1,1.900610713,19,4,0.9556614,15,5,2.885049969,17,6,1.211091891,18,4,2.384997411,18,2,3.375572388,2,3,3.408034822,8,4,2.697251036,6,4,2.768020476,2,4,3.794854548,13,2,3.484249874,15,6,3.670908811,12,1,3.961656783,6,4,2.587177217,7,6,1.990578329,18,6,3.970020829,5,5,3.882807703,18,5,2.802284566,7,5,2.257051982,15,6,4.337008767,11,5,4.119844327,15,5,3.17784811,17,5,4.162282264,8,1,3.758902289,12,6,3.292395318,19,6,2.539951905,11,2,2.212997792,4,4,4.259940544,17,3,3.989172955,15,6,2.69191414,13,5,2.295322112,15,5,2.234261936,2,6,4.170167444,5,2,1.658003488,10,6,0.494526062,5,3,3.590005773,17,4,1.476611507,7,2,4.869384485,14,5,2.85283206,12,3,1.018809517,5,6,2.698022325,18,2,0.439878786,12,1,1.180840499,10,1,2.334789801,19,3,2.061739452,2,3,2.869760917,5,2,4.064111587,13,1,1.39907608,13,3,3.074814791,14,4,1.495868541,18,2,4.189894485,18,5,2.596463189,13,6,3.954982996,10,1,3.788215441,1,3,3.414166299,7,6,1.967358834,19,2,2.902311002,12,3,0.92612948,20,4,1.0507547,16,5,3.690491674,11,5,3.40212459,11,5,4.202375533,12,5,4.950214775,2,4,0.521270254,8,3,3.523173406,10,4,3.943573404,8,6,0.799037386
BRR,16,3,2.902899047,2,3,2.254308099,18,4,2.693751146,13,4,1.103148411,17,4,2.029472333,5,6,4.919841224,12,5,0.435784104,3,3,4.350449511,10,0,1.580910244,10,4,0.856026848,6,4,3.86744382,8,4,1.946316911,12,3,3.764736415,19,2,1.827389212,10,1,1.79623719,10,5,2.716894214,4,5,2.936048195,19,5,4.695720525,16,5,3.861482555,14,4,1.381678275,9,2,1.265293514,5,4,0.708091923,17,5,4.464632637,4,4,2.051754499,6,6,1.91141485,12,6,1.525218865,14,5,3.496057697,5,5,0.138456064,7,4,4.068893711,3,5,1.579214229,1,0,2.295216661,19,3,0.919560288,15,4,4.84341313,10,1,4.097181494,5,1,2.972095069,5,2,4.711487678,10,6,2.325877284,7,3,4.868221777,13,6,0.652390055,12,4,1.187967154,7,5,1.047317428,2,6,3.588150094,4,4,0.757082705,12,3,2.786305821,8,1,0.435538316,18,5,2.167108471,12,3,0.357227842,7,4,0.201808362,11,4,3.147681679,10,5,2.619201933,11,1,2.439775747,14,4,3.199125841,16,3,3.535547727,17,2,4.734709312,8,1,1.216690575,16,4,0.111080392,20,4,3.225922611,6,3,1.420141113,19,4,3.110287524,15,4,2.962767791,18,5,1.255482756,11,2,1.456499483,15,4,1.912104412,7,6,3.494811415,17,4,4.231704803,11,3,1.256052715,17,1,2.103004306,20,6,0.97153075,2,5,1.228807503,12,2,3.259895878,11,5,2.819856834,9,4,4.051142233,6,1,4.623065283,17,2,0.80841748,17,5,0.636153347,15,4,2.142419124,6,6,3.081055862,1,5,3.46486498,1,2,0.545727741,2,6,1.055417502,1,5,4.772036164,7,2,3.988416292,16,5,2.598392184,7,3,1.869842817,12,1,3.931762487,14,5,1.434432533,10,3,4.374263597,7,2,2.716559277,13,3,2.154161079,20,3,2.153327385
DTR,3,2,0.263450526,19,1,4.768112121,20,5,4.150131193,8,3,2.09810341,11,3,2.25783275,13,6,3.260689054,6,2,1.588478588,8,1,0.924439059,10,3,0.489804186,20,5,1.664766436,6,1,3.578542156,19,6,4.027806307,5,2,4.502003809,8,6,2.17745194,17,1,4.742240142,1,6,4.473959729,8,5,1.257753037,6,4,2.049276024,19,2,2.954978,4,5,1.634529125,20,5,1.391776025,18,4,3.776686207,8,4,0.159714444,4,0,3.204125228,20,3,2.909861629,5,5,2.204373905,9,5,2.311731569,5,4,0.417251045,12,3,1.333057671,1,2,2.253052356,13,2,4.604999568,6,5,4.263201104,10,0,4.391142435,18,5,2.417667507,7,4,3.209658269,11,0,4.25750307,5,6,2.079555116,9,2,0.138135974,4,3,2.916988344,5,5,1.456613592,14,5,3.078993311,19,5,3.021779284,20,4,3.344798838,3,2,3.042101988,8,3,1.371010071,14,3,4.369339377,12,6,2.94803841,13,6,0.285797805,7,4,4.307842931,13,3,3.753401421,14,4,3.052506578,15,2,4.772675445,10,6,0.342733679,13,5,1.254188806,11,3,2.150474235,10,3,2.12463523,20,3,2.864889877,8,6,2.648120646,6,4,3.297925253,13,4,3.328721905,6,2,4.126343023,5,4,2.687499874,13,2,1.379640425,16,0,1.600774482,9,5,1.588392815,13,4,2.084810467,20,1,3.548114079,14,6,3.59057788,1,1,4.251266287,18,4,2.866980479,1,2,1.594757873,6,5,4.779727408,19,1,1.965533427,3,2,1.425858554,11,4,1.534956016,13,2,1.59237126,14,5,0.63162116,13,5,0.105736382,13,1,4.956176659,15,2,3.259768616,15,3,2.268961169,17,6,0.997669005,2,5,3.670093368,12,3,1.412627911,20,2,3.143574808,15,4,3.242426926,9,1,3.797451359,18,2,0.324602531,4,6,3.411919189,16,3,2.258007749
NNR,9,6,4.392695182,15,6,2.856712741,14,1,4.688881963,20,5,1.493720856,16,2,4.535571544,15,4,4.139250789,4,6,0.316282294,15,5,0.978830012,15,5,2.092683773,9,5,4.080253976,2,1,0.166383459,19,3,0.15620444,17,5,0.756807087,9,5,2.409043031,11,4,0.21554769,9,5,3.383264206,6,6,3.314271927,10,2,0.748550732,16,6,4.32665088,19,2,0.544193576,16,4,1.083751695,15,5,0.432919741,18,6,0.50766018,13,5,0.23114214,13,3,4.932116225,20,5,4.824076744,8,4,3.317348167,16,4,3.221433877,20,4,4.49439924,11,0,3.91331814,18,4,1.996409479,11,5,3.762573492,9,1,1.13208381,12,6,1.341391611,20,1,3.236209992,18,2,4.24835807,17,4,1.150924361,20,3,4.67596665,9,1,0.679482968,14,0,2.148908702,20,4,2.523971784,13,5,1.311193336,16,4,2.459582014,4,6,0.28970049,13,6,2.652010094,3,1,4.708144023,15,5,0.721838623,12,6,4.598284343,19,6,2.946723929,17,5,0.789192381,17,6,2.568948371,12,6,4.160443904,4,2,2.576115238,1,4,0.126395375,17,6,2.738022365,16,4,2.551252932,10,5,1.869450247,6,6,1.932622427,6,2,0.948342448,20,2,2.769050341,3,1,0.366019301,2,6,1.97625504,10,4,2.634333658,18,3,3.905481654,5,6,2.86195973,14,5,0.561256836,12,4,0.418636986,10,4,4.100811567,16,5,2.07719403,6,6,3.86175814,15,4,4.62542676,11,4,2.21280387,12,6,3.743954084,18,5,1.315469913,18,4,0.25250325,11,3,2.234151263,5,4,1.918958386,19,3,3.093016602,19,3,4.491565649,13,3,0.598209436,12,6,1.120455688,8,3,4.111260902,17,4,0.127805033,19,3,3.442480594,15,5,1.765948969,12,5,3.372679146,11,3,1.910457277,4,0,4.231749184,14,5,3.607268002,7,5,0.60709494
GBR,3,2,4.394657782,4,3,2.24221127,1,2,2.481255286,11,6,2.606551897,9,5,2.985566613,1,3,0.520009951,13,3,4.696704401,2,4,1.282327036,9,0,2.750771426,9,4,2.62644724,14,2,2.245012432,4,6,4.797432236,20,1,2.585856173,5,5,3.569374371,7,3,2.629388618,19,4,4.290753847,3,2,4.082276229,3,4,3.259388544,20,5,1.16787453,1,0,0.803311113,5,3,3.436877971,3,2,1.700531983,14,1,2.22487103,8,0,4.667905809,19,4,1.311689989,20,2,2.148500856,13,2,4.241703198,19,0,3.237616975,15,6,4.887016852,17,4,0.390300145,7,4,3.858793369,4,4,4.81969901,16,4,0.806445002,14,6,4.963339777,8,1,0.426088102,15,5,2.598636837,17,1,4.147339731,11,4,1.946065133,8,3,1.438723029,3,3,1.711214838,13,5,1.174679253,13,0,4.28950138,4,6,4.989052012,13,5,3.720082814,16,0,3.180740367,14,4,2.00064788,18,6,0.85968413,8,3,4.186801039,17,6,3.618209075,11,5,3.149933372,2,5,4.748642589,11,6,4.096838985,16,6,2.597584069,14,5,1.625764778,9,1,0.272170737,6,2,1.10558593,17,3,3.210243039,2,4,2.786269632,4,4,3.564740432,11,1,0.721217968,11,6,3.801523347,13,0,1.228104081,2,0,4.359377565,9,3,2.022333032,19,5,2.163094246,20,2,3.754021174,14,2,1.30279293,10,4,2.411033302,20,5,2.72848772,10,6,2.637081464,3,1,4.421736819,5,2,4.493779208,5,1,3.529271293,15,5,0.553926556,16,2,1.02439145,2,5,2.766105355,19,4,0.486387685,17,6,3.075059607,19,0,4.127269863,13,3,4.90574429,15,4,0.894893995,19,5,4.335368754,19,2,0.618487669,19,2,1.619594623,14,5,2.13676143,5,5,3.302216948,19,6,1.837390736,8,6,4.105836409,14,6,3.578530736,1,4,2.935770759
RF,10,2,2.804689322,5,2,1.213815959,15,2,0.508820783,8,4,4.428735133,8,6,4.253710317,12,4,0.756046249,18,6,0.825715433,8,4,0.890075703,4,5,3.017293684,2,4,2.860274555,2,3,1.105749808,8,3,4.220394301,11,5,0.137519781,16,5,2.228179378,11,4,1.138092306,19,6,2.745475816,16,4,3.989766703,11,5,2.154930519,13,4,4.485283802,18,5,4.802097376,7,5,4.299768021,14,4,2.752721768,8,3,1.556217059,13,3,2.796681011,2,1,0.710717915,15,1,3.886267594,6,3,3.299548805,17,4,4.954963047,8,4,4.112368905,17,2,2.925369634,5,2,2.564242825,10,5,3.92321298,13,6,2.829760728,18,3,4.383100788,8,5,4.996312421,8,1,1.006975276,4,2,3.284078656,15,4,0.502916882,16,4,4.483699785,20,1,4.625092959,11,5,1.983887988,15,6,2.046783828,14,6,2.387504211,19,5,3.32825884,16,1,1.718151331,18,6,1.346609431,5,2,3.43542042,2,3,4.029520942,8,4,0.213163827,2,3,0.222693089,19,6,4.776148057,11,3,2.498617272,1,5,1.455983757,6,4,3.097207255,14,6,0.843448849,11,5,4.05489161,20,6,4.232538856,7,3,3.03853117,2,5,1.915617563,15,5,0.456831475,14,5,3.326552003,14,2,2.850199567,15,4,1.775889439,9,2,2.195729041,7,3,4.894059199,17,1,4.946078845,12,2,4.470889616,5,6,0.219817895,8,5,4.710256914,8,6,2.87026798,15,3,1.901103753,3,2,1.097043789,18,5,3.39402861,12,3,2.866634674,10,2,4.314957918,3,5,1.648591677,16,4,0.93414882,7,5,4.58767068,20,6,4.938847066,2,4,1.227612298,9,5,3.003589418,8,6,1.762360162,17,4,1.722014913,9,6,4.996607377,17,5,4.451202913,5,5,1.399352075,10,2,4.345845367,9,0,4.122061676,14,6,0.617446626,19,2,2.761562193
AdaBoostR2_LR,12,6,4.095793905,7,5,4.195163761,15,5,4.102972203,15,3,1.237601642,9,6,3.746687275,16,3,0.591742857,16,6,2.843744539,9,6,2.055881132,7,4,1.860531496,12,6,3.026621465,7,6,3.109730482,16,3,2.14247751,14,6,4.885809918,18,4,1.159977649,2,4,4.494259816,16,4,4.918759117,13,1,0.114179294,13,5,4.168107236,16,2,1.537825972,3,6,1.158347597,11,1,2.256594273,12,4,2.133090813,3,4,4.269119445,10,4,0.87920126,18,4,1.390287454,5,6,1.356771248,10,3,1.563472831,3,6,4.887526282,15,6,2.429931491,16,4,3.843886789,5,6,2.573973657,14,5,1.011591841,9,5,3.471551869,13,3,4.670479436,5,6,1.521081733,3,0,0.369680548,11,4,0.316642248,6,2,4.170303414,1,4,1.356882447,9,3,2.687774885,19,5,1.130000815,5,1,2.725543678,20,5,1.797459229,3,5,1.036957376,17,3,1.159397819,5,4,0.938496354,19,2,2.293660507,16,4,4.753099221,16,5,4.087835094,4,4,0.786333065,13,6,1.706377754,1,5,3.814757192,16,6,2.392332865,17,3,1.714581198,8,5,4.762657525,20,3,3.030134289,9,6,3.46260977,2,3,1.985987089,9,3,3.054095322,13,2,1.721315042,17,6,1.155288969,19,2,1.790646127,18,5,2.217249874,1,2,0.786917829,4,2,3.369344888,10,4,2.697090412,15,2,1.991161207,5,5,3.74332732,6,3,3.396316129,14,1,1.590492762,17,0,2.416114731,2,6,0.612225894,2,6,1.69610931,17,3,4.084845266,20,4,3.322245942,3,4,2.086426018,15,5,2.233699421,5,3,2.935059066,16,1,2.906497145,18,3,4.689856244,6,6,2.495089582,8,3,2.711872753,15,1,0.972004231,1,4,2.559837575,10,6,3.978346898,10,5,0.210095146,7,3,1.101057092,10,3,3.319230335,20,2,4.007374275,9,2,4.160030313
AdaBoostR2_DTR,10,4,2.181764592,18,5,2.476926244,9,1,2.917352951,19,4,2.194220772,11,5,3.799099452,8,6,2.03223129,19,5,3.143487251,3,3,0.713018102,6,6,1.374328878,16,6,2.502177711,5,5,2.226069384,5,5,2.217963079,13,5,4.903149405,18,6,0.688079353,4,3,2.446882284,11,6,2.281607034,2,5,2.907724123,2,6,4.089188937,9,4,2.463668409,18,4,3.875287449,19,6,0.743584829,14,6,3.513375213,12,5,2.810418526,15,2,0.915293428,14,6,3.053059151,20,5,1.732432519,16,1,1.76972499,5,5,4.896071869,13,3,3.574826128,4,6,3.157634643,15,4,3.253746706,10,6,4.777597775,14,4,3.787048664,15,3,3.549458371,20,5,4.420892563,3,4,0.889535275,15,3,3.090530533,9,4,1.759301499,19,5,2.040776675,20,6,3.744949454,9,5,1.958347248,8,3,1.891769479,19,5,2.135735242,4,6,1.813818521,18,1,3.746605337,4,6,3.341385561,13,2,2.465441907,12,1,0.494295848,5,5,1.045685158,19,4,4.092460739,7,5,1.822957087,14,5,0.406345408,20,3,1.441466319,14,5,4.373222552,19,2,2.859948471,2,6,2.29414962,18,2,1.458275715,17,3,0.202267328,10,3,3.548861487,20,4,3.738038051,6,6,3.645427636,19,5,3.741411612,10,6,4.415813705,8,3,4.740369401,14,3,4.302984025,4,3,1.176790363,11,5,2.996885797,12,5,3.436950768,20,6,0.361937261,10,5,1.419185487,16,6,0.221654735,17,2,0.448403972,9,4,4.408077746,7,4,2.887567543,15,5,4.176632306,17,4,1.237784496,12,2,4.099478916,9,4,4.061233003,18,5,3.581075232,19,6,3.651986164,16,6,4.242138614,15,1,3.099770088,14,4,3.339630247,12,4,1.135945772,4,5,1.084235962,12,2,4.723398632,13,5,1.448275965,6,5,1.747146782,9,3,1.137728659,16,4,2.395890578
AdaBoostR2_BRR,5,0,3.752992474,4,4,0.640550531,12,4,1.97034153,19,6,2.661435383,9,4,0.255685581,11,4,3.212094877,18,4,0.463665297,13,3,2.432234168,10,3,1.901198176,9,6,4.318800937,15,5,1.710973034,12,6,4.615904272,7,3,4.081261552,9,2,3.228093535,2,5,2.157131083,14,5,1.023360511,6,5,0.900517858,18,3,3.80211973,16,1,2.304257132,1,6,3.829047566,19,3,4.159498624,2,3,2.417874447,12,4,4.050660431,16,5,2.319878354,8,0,2.394914944,19,3,0.836796273,3,0,1.11509646,13,6,3.814056475,17,6,4.473399202,11,3,4.613801116,7,3,3.90052135,11,4,1.563717433,12,4,1.080288938,13,3,3.246827401,9,2,4.889463999,11,6,2.038790139,7,4,3.256150591,18,4,2.744478035,13,6,2.959354491,1,4,2.190395815,12,5,0.582924591,11,2,0.354029031,9,2,1.152892123,20,1,3.161738106,15,4,4.040069224,7,6,1.68641791,5,5,2.708039708,17,6,2.595787713,5,0,1.792485655,15,0,4.140525253,18,2,2.213400118,1,5,1.339003022,10,1,0.667387289,13,1,2.722953783,3,1,3.622731458,10,3,4.746802246,4,5,2.050616245,19,6,3.211157176,11,2,2.972536222,17,5,3.694260902,19,3,4.582306544,7,2,4.820066566,20,2,1.897219793,13,4,3.636488683,13,6,0.385716633,18,2,2.792005665,13,6,0.650996352,14,6,4.840896952,8,4,2.18301077,4,2,3.325038355,9,5,4.767298936,19,4,3.438050289,5,1,0.960771906,1,6,2.656386406,6,4,3.902342309,4,3,2.449123514,16,3,4.572577618,10,3,0.631113303,8,6,1.300842394,16,5,2.022421693,8,3,2.270618853,12,3,0.620979975,1,4,1.229860044,17,5,2.650038054,12,6,1.579251077,5,2,4.452867549,1,1,3.553067969,6,6,1.994669445,14,6,4.770910706,18,3,3.629091801
CBS_D,9,6,1.442061979,5,6,4.119931915,7,6,4.177931103,16,6,1.621903241,14,5,1.580070366,12,6,1.126048426,4,4,0.604408604,10,6,3.664188532,10,5,4.308996288,19,6,0.896961177,10,6,0.570343875,11,4,2.294577385,1,6,0.96472264,6,6,0.84316186,11,6,2.41813057,4,5,2.587561842,18,6,0.789952524,6,5,4.917100637,14,4,1.368265939,5,6,2.682459957,10,6,4.67340133,20,5,1.81440364,11,6,1.461703367,17,4,4.22612572,19,6,2.601634217,3,6,3.147257021,19,6,0.996727526,12,6,4.240114266,20,4,0.232710841,2,4,1.175374249,14,6,1.160299965,8,4,3.988253932,4,5,2.602540386,13,6,1.002730891,12,6,1.653585207,8,5,2.137969045,5,6,0.168066958,15,5,2.485030499,3,6,3.344708836,11,5,1.951786194,7,5,3.372101186,19,3,1.512239289,17,6,4.133051207,3,5,3.338983928,13,6,3.637470407,12,6,1.084967767,18,6,0.977427899,2,2,4.466890388,16,4,3.77635755,13,4,0.779318693,14,6,1.923591374,5,6,4.402485497,4,6,3.194166481,7,6,2.548800178,9,6,3.289821867,14,5,3.75874363,16,2,3.505743596,16,5,0.367559443,14,6,4.223059601,15,4,1.760076775,10,5,0.39883203,3,3,3.691189212,15,6,1.56083109,12,6,1.25602603,3,6,1.822721243,1,2,0.237922442,20,6,4.957311656,10,3,0.280163654,10,5,1.632800301,20,5,1.280775555,1,6,2.742840242,9,5,4.048549067,19,6,4.495714629,10,5,2.40221898,9,6,3.071768026,10,5,3.323790236,9,6,1.01749998,6,6,2.468563366,3,6,0.624912774,18,5,3.388610655,12,6,1.130352693,8,6,2.42045853,18,5,0.806875363,16,6,1.923323101,13,6,3.257611312,20,6,1.28275849,7,5,1.284538265,9,6,2.18556211,4,5,4.914146707,15,6,1.258053872
