,EALR+SMO,EALR+SMODE,BRR+SMO,BRR+SMODE,DTR+SMO,DTR+SMODE,NNR+SMO,NNR+SMODE,GBR+SMO,GBR+SMODE,RF+SMO,RF+SMODE,AdaBoostR2_LR+SMO,AdaBoostR2_LR+SMODE,AdaBoostR2_DTR+SMO,AdaBoostR2_DTR+SMODE,AdaBoostR2_BRR+SMO,AdaBoostR2_BRR+SMODE,OneWay_D,OneWay_A,CBS_D+SMO,CBS_D+SMODE,CBS_A+SMO,CBS_A+SMODE
ant-1.7--camel,0.803034034,0.807104563,0.811143322,0.815205909,0.681255709,0.686608951,0.765831381,0.77670863,0.7537707,0.784539931,0.747416703,0.764910051,0.703196855,0.713335451,0.72538819,0.725276995,0.689825662,0.747674834,0.788443668,0.776875422,0.804499424,0.806524761,0.540236686,0.661780708
ant-1.7--jedit,0.806222946,0.813506215,0.821563878,0.819272467,0.672205234,0.720336762,0.748592193,0.764576466,0.791612724,0.779988881,0.787585878,0.780151702,0.772554704,0.78924586,0.760299432,0.788475438,0.802410548,0.812294984,0.827409555,0.776875422,0.785894127,0.789241889,0.693340217,0.720773599
ant-1.7--synapse,0.812676224,0.808923395,0.821325603,0.823728208,0.685727334,0.695913586,0.75300822,0.769167229,0.783368413,0.775191613,0.760756126,0.778388467,0.780048449,0.785365951,0.744104682,0.784933084,0.781585322,0.80995989,0.82618641,0.776875422,0.777955601,0.78412295,0.684444621,0.700262102
ant-1.7--ivy,0.764465271,0.757551328,0.75711052,0.801314483,0.669250625,0.660486081,0.714812756,0.751995552,0.750180692,0.775263095,0.742543982,0.761288273,0.760065128,0.736734046,0.721686986,0.75373893,0.720304992,0.752543584,0.827409555,0.776875422,0.765736071,0.770076645,0.658758588,0.678074739
ant-1.7--xalan,0.807743934,0.807886899,0.810638974,0.81676661,0.690131448,0.688511179,0.721683015,0.723966483,0.817481434,0.820249394,0.792748501,0.79242683,0.802434375,0.809332433,0.782562249,0.75838529,0.804427942,0.805063341,0.82618641,0.776875422,0.803478813,0.795722966,0.642790199,0.715722171
ant-1.7--xerces,0.678829276,0.724494659,0.765489853,0.775211469,0.650867718,0.620737858,0.551475319,0.597601366,0.679671181,0.69834399,0.681525754,0.679369366,0.599976173,0.71380803,0.657499702,0.691942337,0.73331083,0.753365633,0.565751956,0.488856678,0.756836504,0.747841627,0.426551765,0.6459116
ant-1.6--camel,0.798758206,0.800445931,0.79793757,0.802489781,0.615616871,0.662455097,0.757896693,0.78321256,0.749210331,0.764121145,0.735336926,0.762805029,0.740338164,0.77378298,0.686160659,0.737334324,0.702325653,0.788616376,0.79451567,0.76873529,0.772853958,0.776817788,0.547225319,0.691765762
ant-1.6--jedit,0.813405797,0.815697386,0.821194104,0.82280441,0.681809736,0.741963954,0.754056732,0.789421529,0.793524712,0.78988604,0.782686114,0.806623932,0.781308064,0.782748049,0.784311904,0.777251332,0.799934968,0.789204757,0.825312771,0.76873529,0.810030348,0.811361947,0.693453487,0.740229778
ant-1.6--synapse,0.806840704,0.811919361,0.812089682,0.814799331,0.655518395,0.681531029,0.779341633,0.784698997,0.738093026,0.751285148,0.754583178,0.769695281,0.771398489,0.787362195,0.750495479,0.771506875,0.805602007,0.787129939,0.819785086,0.76873529,0.784637062,0.799826582,0.681964573,0.721107395
ant-1.6--ivy,0.80315558,0.809643255,0.811733556,0.805648458,0.630450266,0.695265081,0.706119163,0.728694413,0.791062802,0.793818903,0.763765019,0.774185557,0.770825591,0.782825468,0.752012882,0.761024402,0.763254057,0.77336492,0.825312771,0.76873529,0.786789298,0.799408522,0.706335935,0.718738387
