,EALR+SMO,EALR+SMODE,BRR+SMO,BRR+SMODE,DTR+SMO,DTR+SMODE,NNR+SMO,NNR+SMODE,GBR+SMO,GBR+SMODE,RF+SMO,RF+SMODE,AdaBoostR2_LR+SMO,AdaBoostR2_LR+SMODE,AdaBoostR2_DTR+SMO,AdaBoostR2_DTR+SMODE,AdaBoostR2_BRR+SMO,AdaBoostR2_BRR+SMODE,OneWay_D,OneWay_A,CBS_D+SMO,CBS_D+SMODE,CBS_A+SMO,CBS_A+SMODE
ant-1.7--camel,0.223540449,0.227105434,0.230497222,0.232294147,0.121238363,0.114130043,0.173720863,0.191433932,0.192141156,0.212387241,0.18925092,0.204477881,0.165432633,0.174446128,0.15837122,0.164804792,0.156837699,0.182391571,0.180630728,0.1944685,0.223154362,0.210160929,0.058262972,0.11308364
ant-1.7--jedit,0.229688966,0.235260157,0.235952948,0.236147795,0.10319694,0.132001876,0.19528758,0.204315508,0.207223786,0.209471747,0.216847081,0.201594862,0.217399148,0.221996103,0.183279209,0.188857617,0.233160136,0.229992062,0.245114383,0.1944685,0.193046836,0.149087104,0.12915494,0.134004474
ant-1.7--synapse,0.219174424,0.217947608,0.236689038,0.238774627,0.100350004,0.1043552,0.177062135,0.184231796,0.208591326,0.194129321,0.186930793,0.186382334,0.187522552,0.186880277,0.191058671,0.193757668,0.185768925,0.22145486,0.24480407,0.1944685,0.165079021,0.18361478,0.113144981,0.133748286
ant-1.7--ivy,0.142736523,0.176344086,0.179324529,0.187039042,0.096056145,0.120545573,0.171007433,0.193992206,0.18744317,0.186645739,0.183333333,0.209554738,0.143277766,0.172151259,0.150956195,0.162614563,0.143234466,0.155942845,0.245114383,0.1944685,0.184451902,0.189813813,0.12429458,0.122299199
ant-1.7--xalan,0.220502273,0.222104352,0.22520026,0.228765245,0.111615068,0.161297539,0.147986577,0.163516634,0.238778235,0.240073609,0.186472541,0.21283106,0.218214621,0.220725987,0.151327849,0.190311756,0.219282673,0.22515696,0.24480407,0.1944685,0.20978206,0.207079454,0.111705275,0.136652955
ant-1.7--xerces,0.101796926,0.156325323,0.129248755,0.190762791,0.08750451,0.074752833,0.022854875,0.034015299,0.12791369,0.138958649,0.149105145,0.134794689,0.039063289,0.077606986,0.0932056,0.138327199,0.048784008,0.118351736,0.169538861,0.006040268,0.187085949,0.183474056,-0.04985206,0.112066104
ant-1.6--camel,0.240911681,0.250582011,0.248791209,0.254261294,0.105315425,0.150687831,0.20976801,0.222189662,0.170500611,0.194643875,0.214033374,0.211135531,0.115685796,0.225282865,0.133137973,0.139161579,0.199365079,0.181098901,0.222938543,0.242669923,0.218803419,0.219308099,0.075490435,0.13040293
ant-1.6--jedit,0.271550672,0.269141229,0.288286528,0.28958893,0.137908018,0.166512007,0.257614978,0.266357346,0.247342287,0.274643875,0.234497354,0.264306064,0.211575092,0.24029304,0.217175417,0.245307285,0.191062271,0.264745625,0.291786732,0.242669923,0.241465201,0.251037851,0.175384615,0.176752137
ant-1.6--synapse,0.273764754,0.278062678,0.279332519,0.280569801,0.15998372,0.107089947,0.229059829,0.243402523,0.19000407,0.203321123,0.206446886,0.233553114,0.225282865,0.243288563,0.190818071,0.206072446,0.235669516,0.255563696,0.288172568,0.242669923,0.226422466,0.240407,0.151159951,0.1802849
ant-1.6--ivy,0.239153439,0.254033374,0.248954009,0.263150183,0.101538462,0.141684982,0.155197395,0.20026048,0.254326414,0.260626781,0.208026048,0.262564103,0.187838828,0.255075295,0.212877493,0.21033781,0.216784697,0.23006919,0.291786732,0.242669923,0.204102564,0.236418396,0.1599186,0.171949532
ant-1.6--xalan,0.275913716,0.278909239,0.287016687,0.287212047,0.135856736,0.165567766,0.194269434,0.22049654,0.261636142,0.277606838,0.233064713,0.236288156,0.257842898,0.272299552,0.19995116,0.217533578,0.269010989,0.275750916,0.288172568,0.242669923,0.214163614,0.210761091,0.122490842,0.156564917
ant-1.6--xerces,0.126528287,0.181684982,0.163679284,0.217468457,0.052226292,0.092503053,0.020952381,0.062661783,0.10971103,0.123679284,0.107789988,0.107529508,0.110573871,0.097614978,0.097826618,0.123093203,0.013772894,0.122360602,0.18982499,-0.0203663,0.186780627,0.211216931,-0.035685796,0.063606024
ant-1.5--camel,0.09703586,0.101570901,0.094978727,0.100448829,0.006405162,0.054771144,0.079152836,0.11120202,0.078615176,0.091893029,0.058932161,0.088106036,0.098251438,0.101991678,0.041890691,0.048810136,0.086516434,0.09937351,0.097713778,0.096708589,0.093763149,0.092360559,0.030880359,0.04878676
ant-1.5--jedit,0.116485109,0.118355229,0.120131843,0.122937024,0.071532096,0.083220347,0.084996961,0.102692973,0.102950115,0.120272102,0.099046239,0.116274721,0.104189069,0.120926645,0.108139698,0.096474824,0.095352751,0.121674693,0.129318809,0.096708589,0.108724111,0.117677311,0.08941512,0.082635934
ant-1.5--synapse,0.106059189,0.105544906,0.117887699,0.120131843,0.010846697,0.087638506,0.089625508,0.104679976,0.087264482,0.08614241,0.104189069,0.126046098,0.10124363,0.111529291,0.079877507,0.098718968,0.10979943,0.115035766,0.113796811,0.096708589,0.10979943,0.106059189,0.061363318,0.084482678
ant-1.5--ivy,0.100542335,0.116298097,0.085534621,0.116298097,0.067581467,0.068913928,0.05727243,0.084716443,0.109028005,0.058745149,0.079082706,0.091238487,0.089835897,0.093856655,0.063443826,0.072163261,0.092500818,0.103487774,0.129318809,0.096708589,0.105965683,0.110921502,0.078194399,0.092080041
ant-1.5--xalan,0.129295432,0.127285053,0.129342185,0.127846089,0.044321848,0.054981533,0.072981439,0.082308663,0.113118893,0.124807144,0.106620225,0.117724064,0.125274674,0.126724017,0.095399504,0.099396886,0.124292861,0.125414933,0.113796811,0.096708589,0.109822806,0.113633176,0.073939876,0.097339754
ant-1.5--xerces,0.111950068,0.121955211,0.123357801,0.119243536,0.052807518,0.054443873,0.027116742,0.04303614,0.036303708,0.087778765,0.093412502,0.086376175,0.049441302,0.051451681,0.076628173,0.057926972,0.085254103,0.086890458,0.015405115,-0.007129833,0.117887699,0.121768199,0.006849315,0.082986582
camel-1.6--ant,0.070296476,0.069986885,0.094547761,0.094341367,0.031019285,0.040057618,0.060282072,0.072229269,0.073190291,0.072502311,0.072706555,0.068529228,0.01389074,0.042149507,0.041429278,0.058052587,0.046255885,0.020301851,0.094891751,0.072231419,0.042091458,0.041631372,0.028585557,0.029340184
camel-1.6--jedit,0.037045557,0.067553157,0.061455937,0.059482295,0.022675381,0.060099327,0.04541311,0.069926687,0.046083891,0.072584009,0.047846839,0.052510051,0.037694838,0.050671855,0.048395072,0.04203986,0.052043515,0.046389182,0.094891751,0.072231419,0.042011911,0.048945456,0.038498914,0.041515275
camel-1.6--synapse,0.06066476,0.049089502,0.085358932,0.098176854,0.045327113,0.056773375,0.077911552,0.079900243,0.063906865,0.079558403,0.064661492,0.089731903,0.02000086,0.038378518,0.050327865,0.066493238,0.091051964,0.067002773,0.085649173,0.072231419,0.023337562,0.039490035,0.018917292,0.029413282
camel-1.6--ivy,0.010141251,0.078608131,0.049575388,0.083793778,0.015649388,0.053765614,0.047575947,0.061047449,0.048919657,0.053471073,0.051437233,0.064300303,0.063700471,0.092900909,0.055627459,0.047038462,0.051690925,0.099256122,0.094891751,0.072231419,0.055614559,0.054184852,0.030103412,0.032517791
camel-1.6--xalan,0.080392578,0.085526627,0.084283964,0.088360243,0.036815514,0.066822179,0.047062112,0.062530905,0.066151399,0.075095135,0.077447165,0.076875282,0.052838991,0.062260013,0.042332251,0.075460624,0.07423086,0.083075699,0.085649173,0.072231419,0.044899275,0.048620816,0.044834777,0.045821598
camel-1.6--xerces,-0.032453293,-0.02306237,-0.035084815,-0.00407843,0.031503021,0.010693785,-0.000872874,-0.002298282,-0.027076301,-0.00337325,0.009743513,0.016851203,0.014518522,0.030135661,0.006213317,0.00374089,0.000139746,0.001593103,0.066899576,0.034439834,-0.002399329,0.008111711,-0.056900221,-0.013312407
camel-1.4--ant,0.095324366,0.096598869,0.098368426,0.105362391,0.020102382,0.061787042,0.064367647,0.073010038,0.102423662,0.10040921,0.097681143,0.102360463,0.063846259,0.071251014,0.050361285,0.059022109,0.071319479,0.054229558,0.10718988,0.099669261,0.061792309,0.07031357,0.042456209,0.045908425
camel-1.4--jedit,0.083743246,0.092527834,0.099221605,0.106600027,0.022869948,0.066055573,0.081289038,0.08245031,0.066590126,0.095184803,0.083582616,0.09641454,0.086497646,0.088088141,0.073381329,0.081125775,0.074611066,0.097041258,0.121322639,0.099669261,0.050922171,0.055448762,0.050287553,0.039609644
camel-1.4--synapse,0.040278495,0.043448951,0.088862322,0.090589747,0.037410864,0.069315561,0.041821591,0.042403543,0.092475168,0.110626297,0.096061682,0.101891741,0.025890309,0.029850746,0.078521472,0.076915177,0.023946955,0.066553261,0.10718988,0.099669261,0.03910669,0.037692624,0.034530067,0.030767124
camel-1.4--ivy,0.045002581,0.066337332,0.028807971,0.088620061,0.032979071,0.051859615,0.043130326,0.0676645,0.084714922,0.089491674,0.084625391,0.096369774,0.043138226,0.064525643,0.042872265,0.050677277,0.050564046,0.070813891,0.121322639,0.099669261,0.065860711,0.063419669,0.034300972,0.046824803
camel-1.4--xalan,0.118655136,0.118591938,0.117080441,0.119803242,0.02056057,0.057197253,0.042967063,0.057376315,0.102742287,0.123732081,0.083693214,0.092456735,0.113025206,0.116316793,0.059274903,0.082073753,0.112382688,0.11974531,0.10718988,0.099669261,0.064733671,0.063993722,0.060149148,0.047604251
