,OneWay_D,OneWay_A
ant-1.7--camel,npm_D,cam_A
ant-1.7--jedit,rfc_D,cam_A
ant-1.7--synapse,loc_D,cam_A
ant-1.7--ivy,rfc_D,cam_A
ant-1.7--xalan,loc_D,cam_A
ant-1.7--xerces,amc_D,lcom3_A
ant-1.6--camel,npm_D,cam_A
ant-1.6--jedit,rfc_D,cam_A
ant-1.6--synapse,loc_D,cam_A
ant-1.6--ivy,rfc_D,cam_A
ant-1.6--xalan,loc_D,cam_A
ant-1.6--xerces,amc_D,lcom3_A
ant-1.5--camel,npm_D,cam_A
ant-1.5--jedit,rfc_D,cam_A
ant-1.5--synapse,loc_D,cam_A
ant-1.5--ivy,rfc_D,cam_A
ant-1.5--xalan,loc_D,cam_A
ant-1.5--xerces,noc_D,lcom3_A
camel-1.6--ant,rfc_D,cam_A
camel-1.6--jedit,rfc_D,cam_A
camel-1.6--synapse,loc_D,cam_A
camel-1.6--ivy,rfc_D,cam_A
camel-1.6--xalan,loc_D,cam_A
camel-1.6--xerces,amc_D,lcom3_A
camel-1.4--ant,loc_D,cam_A
camel-1.4--jedit,rfc_D,cam_A
camel-1.4--synapse,loc_D,cam_A
camel-1.4--ivy,rfc_D,cam_A
camel-1.4--xalan,loc_D,cam_A
camel-1.4--xerces,amc_D,lcom3_A
camel-1.2--ant,rfc_D,cam_A
camel-1.2--jedit,rfc_D,cam_A
camel-1.2--synapse,loc_D,cam_A
camel-1.2--ivy,rfc_D,cam_A
camel-1.2--xalan,loc_D,cam_A
camel-1.2--xerces,amc_D,lcom3_A
ivy-2.0--ant,rfc_D,cam_A
ivy-2.0--camel,npm_D,cam_A
ivy-2.0--jedit,rfc_D,cam_A
ivy-2.0--synapse,loc_D,cam_A
ivy-2.0--xalan,loc_D,cam_A
ivy-2.0--xerces,amc_D,lcom3_A
jedit-4.2--ant,rfc_D,cam_A
jedit-4.2--camel,max_cc_D,cam_A
jedit-4.2--synapse,loc_D,cam_A
jedit-4.2--ivy,rfc_D,cam_A
jedit-4.2--xalan,loc_D,cam_A
jedit-4.2--xerces,rfc_D,lcom3_A
jedit-4.1--ant,rfc_D,cam_A
jedit-4.1--camel,max_cc_D,cam_A
jedit-4.1--synapse,loc_D,cam_A
jedit-4.1--ivy,rfc_D,cam_A
jedit-4.1--xalan,loc_D,cam_A
jedit-4.1--xerces,rfc_D,lcom3_A
jedit-4.0--ant,rfc_D,cam_A
jedit-4.0--camel,max_cc_D,cam_A
jedit-4.0--synapse,loc_D,cam_A
jedit-4.0--ivy,rfc_D,cam_A
jedit-4.0--xalan,loc_D,cam_A
jedit-4.0--xerces,rfc_D,lcom3_A
synapse-1.1--ant,rfc_D,cam_A
synapse-1.1--camel,npm_D,cam_A
synapse-1.1--jedit,rfc_D,cam_A
synapse-1.1--ivy,rfc_D,cam_A
synapse-1.1--xalan,loc_D,cam_A
synapse-1.1--xerces,amc_D,lcom3_A
synapse-1.2--ant,rfc_D,cam_A
synapse-1.2--camel,npm_D,cam_A
synapse-1.2--jedit,rfc_D,cam_A
synapse-1.2--ivy,rfc_D,cam_A
synapse-1.2--xalan,loc_D,cam_A
synapse-1.2--xerces,noc_D,lcom3_A
xalan-2.5--ant,rfc_D,cam_A
xalan-2.5--camel,npm_D,cam_A
xalan-2.5--jedit,rfc_D,cam_A
xalan-2.5--synapse,loc_D,cam_A
xalan-2.5--ivy,rfc_D,cam_A
xalan-2.5--xerces,amc_D,lcom3_A
xalan-2.6--ant,rfc_D,cam_A
xalan-2.6--camel,npm_D,cam_A
xalan-2.6--jedit,rfc_D,cam_A
xalan-2.6--synapse,loc_D,cam_A
xalan-2.6--ivy,rfc_D,cam_A
xalan-2.6--xerces,amc_D,lcom3_A
xerces-1.3--ant,rfc_D,cam_A
xerces-1.3--camel,max_cc_D,cam_A
xerces-1.3--jedit,rfc_D,cam_A
xerces-1.3--synapse,loc_D,cam_A
xerces-1.3--ivy,rfc_D,cam_A
xerces-1.3--xalan,loc_D,cam_A
