,k<>ant-1.7,m<>ant-1.7,r<>ant-1.7,k<>ant-1.6,m<>ant-1.6,r<>ant-1.6,k<>ant-1.5,m<>ant-1.5,r<>ant-1.5,k<>camel-1.6,m<>camel-1.6,r<>camel-1.6,k<>camel-1.4,m<>camel-1.4,r<>camel-1.4,k<>camel-1.2,m<>camel-1.2,r<>camel-1.2,k<>ivy-2.0,m<>ivy-2.0,r<>ivy-2.0,k<>jedit-4.2,m<>jedit-4.2,r<>jedit-4.2,k<>jedit-4.1,m<>jedit-4.1,r<>jedit-4.1,k<>jedit-4.0,m<>jedit-4.0,r<>jedit-4.0,k<>synapse-1.1,m<>synapse-1.1,r<>synapse-1.1,k<>synapse-1.2,m<>synapse-1.2,r<>synapse-1.2,k<>xalan-2.5,m<>xalan-2.5,r<>xalan-2.5,k<>xalan-2.6,m<>xalan-2.6,r<>xalan-2.6,k<>xerces-1.3,m<>xerces-1.3,r<>xerces-1.3
EALR,14,4,2.847764565,18,3,2.030515076,14,4,3.306450916,11,6,0.304901731,5,6,3.565797377,8,4,2.849596786,6,6,2.360285843,20,6,2.384415808,19,6,3.097610165,11,2,0.878676297,15,6,3.93845959,6,1,3.764715618,11,2,0.206872353,13,2,2.675700681,8,4,1.344239302
BRR,7,4,4.905861258,10,2,3.338675219,8,2,3.672973533,17,6,4.213216679,12,2,1.25022902,13,1,1.949007587,8,3,3.605522603,1,6,4.299605714,11,1,3.170754562,14,6,1.508086979,4,2,4.681588578,10,5,1.861572139,8,3,3.772116916,2,2,0.677239121,7,3,2.991960079
DTR,18,3,2.961828736,9,4,4.379733358,18,5,0.943143248,9,4,0.450500178,8,4,1.261411425,9,2,3.541744667,7,6,0.830039032,15,4,4.949837622,17,1,3.036611225,16,0,1.044615864,17,2,3.841914415,12,4,0.97373423,16,6,0.944888207,19,3,1.862972362,11,0,1.478418294
NNR,13,3,2.628717602,15,2,2.032060604,19,3,1.65131863,16,5,0.168543379,10,2,1.945595399,8,3,3.076057347,13,5,3.15414255,15,5,1.448246545,7,5,1.607537883,15,6,1.794660079,19,5,2.969845805,8,6,0.102761568,6,5,4.821694623,15,1,3.351912666,8,5,4.026041947
GBR,2,2,1.314056714,7,2,2.299498473,9,6,3.951072746,2,3,0.585132957,9,1,4.738614657,6,4,0.703618585,10,5,2.911193813,16,4,3.030655234,10,4,3.911848779,9,3,0.835421836,20,0,4.28527054,19,2,2.479955042,2,6,1.975020801,11,5,4.00413505,15,4,1.960785812
RF,5,6,0.134017597,3,3,1.256076347,4,4,3.476197579,7,6,2.96735368,1,0,1.02110504,19,3,3.136689679,17,3,0.438211038,18,2,2.214474308,20,4,4.073296177,9,6,4.445150377,6,5,1.655475912,18,4,1.901848073,8,5,3.280869657,3,2,3.211438429,9,6,2.982034179
AdaBoostR2_LR,12,4,0.28990788,8,2,1.984611356,6,6,1.999099757,17,3,3.617270172,7,4,4.002365554,20,4,2.471233495,12,3,2.388636861,15,6,4.374685616,14,0,3.192269675,2,6,3.074940426,19,4,0.340148739,4,5,2.576624842,14,3,0.648175082,13,3,4.524573478,2,3,4.957793369
AdaBoostR2_DTR,17,6,3.015882934,6,6,3.59095376,6,0,2.521689906,19,6,1.91738831,2,2,1.308749577,8,2,3.519022128,13,4,4.283574677,10,5,1.030107005,5,6,2.439683023,15,5,2.135959182,14,2,1.189853115,9,5,0.183811856,8,6,3.963177044,9,6,1.785133122,3,5,3.147273487
AdaBoostR2_BRR,5,4,2.111073359,18,2,1.0640255,14,1,3.871405098,5,2,1.46376514,15,4,1.644871375,6,4,2.492321503,8,5,3.453959357,2,6,0.416655726,13,0,1.006572559,8,3,3.747656051,16,6,4.799525432,1,0,4.248970586,11,5,1.607218464,12,3,3.241951291,6,1,4.812112902
CBS_D,8,6,3.677932446,14,5,4.039732288,19,6,3.956593698,2,4,0.558531194,3,6,3.273998722,13,5,1.739441339,3,5,1.227882927,16,4,2.577293369,14,6,1.500120085,6,6,2.055598761,15,6,3.218443547,14,5,2.933284219,12,6,4.944979185,7,4,1.34157228,14,5,4.098161973
CBS_A,10,3,3.908888838,1,4,3.626449076,8,1,4.70830177,3,4,3.885047178,2,1,3.125887473,8,5,1.451959173,14,3,1.825962551,12,0,2.717974034,10,0,2.598465796,8,0,2.855589096,19,1,4.313693069,8,1,2.603051904,9,3,1.381334806,3,1,3.84866703,4,3,1.193895622
