,EALR+SMO,EALR+SMODE,BRR+SMO,BRR+SMODE,DTR+SMO,DTR+SMODE,NNR+SMO,NNR+SMODE,GBR+SMO,GBR+SMODE,RF+SMO,RF+SMODE,AdaBoostR2_LR+SMO,AdaBoostR2_LR+SMODE,AdaBoostR2_DTR+SMO,AdaBoostR2_DTR+SMODE,AdaBoostR2_BRR+SMO,AdaBoostR2_BRR+SMODE,OneWay_D,OneWay_A,CBS_D+SMO,CBS_D+SMODE,CBS_A+SMO,CBS_A+SMODE
ant-1.7,0.82255669,0.821758469,0.824883841,0.827238791,0.693570549,0.729287955,0.758520313,0.777209007,0.805873476,0.80362575,0.785632024,0.805087169,0.801755292,0.786156229,0.748798697,0.764068147,0.760970573,0.789809777,0.827409555,0.776875422,0.774818315,0.77464358,0.677133553,0.716663357
ant-1.6,0.747615508,0.761659234,0.767140468,0.778474545,0.669918246,0.665087328,0.688638053,0.714511334,0.73756658,0.733788554,0.739858169,0.771150749,0.748993559,0.748683885,0.658181593,0.692152855,0.732038895,0.75642574,0.757710888,0.76873529,0.762820513,0.76760498,0.667580206,0.69371671
ant-1.5,0.783325207,0.792784008,0.817259873,0.821257923,0.588200878,0.596587031,0.56938079,0.578644564,0.611701609,0.631789371,0.637347635,0.669137006,0.749975622,0.783325207,0.513700634,0.577766943,0.813066797,0.807118479,0.767528035,0.735251097,0.736323745,0.740516821,0.594344222,0.704241833
camel-1.6,0.743823834,0.743115026,0.745001036,0.745459067,0.679531606,0.694441451,0.689102591,0.739867358,0.771910881,0.781119171,0.769015544,0.777166839,0.724710881,0.729235233,0.723875648,0.736932642,0.729059067,0.738431088,0.738041451,0.711376166,0.679660104,0.67521658,0.617786528,0.627434197
camel-1.4,0.711704094,0.713367794,0.711930029,0.700030809,0.681973162,0.685875668,0.716777352,0.723178831,0.773312337,0.783938108,0.769916473,0.77429481,0.65081131,0.675006847,0.719800082,0.722747501,0.636943722,0.6624264,0.672117623,0.742458579,0.705764754,0.679477612,0.591578803,0.597032042
camel-1.2,0.569419238,0.595769686,0.589631856,0.610131201,0.496556135,0.519358742,0.580214005,0.586301422,0.613067781,0.598271451,0.573159281,0.614933076,0.564466122,0.590942604,0.484614464,0.509997605,0.558375555,0.568946612,0.655651341,0.646400484,0.56848659,0.550873412,0.535002647,0.546887603
ivy-2.0,0.756899351,0.745180601,0.823153409,0.828277192,0.663200081,0.644734172,0.758674919,0.803419237,0.755275974,0.74802151,0.769937094,0.814174107,0.704545455,0.745738636,0.711546266,0.764762581,0.77242289,0.79200487,0.827059659,0.781199269,0.730671672,0.720221185,0.570566153,0.662439123
jedit-4.2,0.878438127,0.882216853,0.879569174,0.882782376,0.783892859,0.816436173,0.848773842,0.854197728,0.883039432,0.885121588,0.86967251,0.874453756,0.86404298,0.871394787,0.782607578,0.806153925,0.860649838,0.872525834,0.863965863,0.847488561,0.870777852,0.879157884,0.68865354,0.770885816
jedit-4.1,0.810779274,0.817219071,0.830778093,0.829803261,0.789835165,0.797161172,0.831531372,0.8338946,0.820896845,0.835164835,0.832269881,0.853479853,0.797943991,0.806717476,0.778388278,0.794665012,0.805890346,0.814250266,0.821605814,0.795167198,0.818252984,0.819227815,0.651231833,0.712498523
jedit-4.0,0.839854821,0.83971022,0.832899531,0.838857077,0.741266123,0.813016947,0.830889583,0.841416508,0.865984152,0.863815143,0.851017988,0.856454971,0.806972642,0.830528081,0.830773902,0.841416508,0.826551565,0.831627046,0.839811441,0.814723234,0.812771126,0.83018104,0.61797964,0.657079646
synapse-1.1,0.727272727,0.718127218,0.714396214,0.720584221,0.562608063,0.591409591,0.657657658,0.663072163,0.605287105,0.674629175,0.631813632,0.649331149,0.673992174,0.704932205,0.600691601,0.587041587,0.722813723,0.730821731,0.710528711,0.702975703,0.684093184,0.704386204,0.64027664,0.647374647
synapse-1.2,0.681115302,0.679606681,0.677155172,0.694692888,0.62887931,0.645016164,0.660614224,0.682192888,0.706411638,0.699488147,0.704040948,0.714924569,0.654929957,0.662796336,0.648841595,0.659779095,0.667241379,0.697171336,0.650377155,0.667429957,0.661610991,0.656546336,0.589385776,0.641163793
xalan-2.5,0.628734524,0.632109345,0.63879332,0.643458031,0.562966559,0.56445345,0.620598837,0.625111106,0.643645651,0.640620273,0.615882531,0.621811334,0.617704793,0.630985968,0.568581098,0.567842343,0.637831766,0.642198629,0.633265555,0.582645588,0.595441295,0.595929108,0.574821819,0.572919818
xalan-2.6,0.659827345,0.669251977,0.667648362,0.669532203,0.654663955,0.649889266,0.653279096,0.662504859,0.697339661,0.69528226,0.677714802,0.683729718,0.640947345,0.641636158,0.657346893,0.65611209,0.633596384,0.635577853,0.694345763,0.635615819,0.622611525,0.609941695,0.566448814,0.587896045
xerces-1.3,0.654531105,0.683068547,0.643813838,0.697091354,0.647485388,0.663406879,0.707511238,0.704960597,0.658740235,0.668645415,0.701472052,0.717668051,0.629630901,0.704205698,0.64592984,0.647920027,0.636264855,0.67868785,0.501092315,0.488659369,0.728648389,0.701655057,0.531517002,0.602649007
