,EALR+SMO,EALR+SMODE,BRR+SMO,BRR+SMODE,DTR+SMO,DTR+SMODE,NNR+SMO,NNR+SMODE,GBR+SMO,GBR+SMODE,RF+SMO,RF+SMODE,AdaBoostR2_LR+SMO,AdaBoostR2_LR+SMODE,AdaBoostR2_DTR+SMO,AdaBoostR2_DTR+SMODE,AdaBoostR2_BRR+SMO,AdaBoostR2_BRR+SMODE,OneWay_D,OneWay_A,CBS_D+SMO,CBS_D+SMODE,CBS_A+SMO,CBS_A+SMODE
ant-1.7,0.237374612,0.236140579,0.241625171,0.241610738,0.114000144,0.156300065,0.177560078,0.185776142,0.211972288,0.210121238,0.196398932,0.210067114,0.194529841,0.199336076,0.169369272,0.158764523,0.192076207,0.212997041,0.245114383,0.1944685,0.191495273,0.197863896,0.138294725,0.152262394
ant-1.6,0.221050061,0.242376882,0.243907204,0.262564103,0.067578348,0.120537241,0.162279202,0.185999186,0.192169312,0.215970696,0.191241351,0.226048026,0.210663411,0.242214082,0.101440781,0.115181115,0.208188848,0.247228327,0.222564103,0.242669923,0.195164835,0.199413919,0.14989011,0.145136345
ant-1.5,0.122469494,0.128313619,0.132708402,0.13392398,0.024405068,0.048155594,0.04023096,0.04303614,0.045327037,0.066926925,0.05586984,0.062462013,0.117233157,0.131773341,0.032633597,0.031043995,0.133970733,0.129856468,0.111248773,0.096708589,0.109495535,0.112347468,0.053204918,0.087498247
camel-1.6,0.085518027,0.093851181,0.085303034,0.091636747,0.086077011,0.094756305,0.102472427,0.100653581,0.121778858,0.118790446,0.120574893,0.129989465,0.077546062,0.070188979,0.105572636,0.107299035,0.067600456,0.075542322,0.08101606,0.072231419,0.083681981,0.087100381,0.055375916,0.055711307
camel-1.4,0.082252815,0.082890066,0.086645109,0.093955066,0.077992184,0.110423535,0.107210946,0.116659118,0.141148527,0.148179357,0.149377495,0.142860152,0.061486849,0.08440683,0.125643834,0.130115127,0.045655632,0.072314855,0.126802473,0.099669261,0.0897708,0.094155194,0.051375093,0.060199181
camel-1.2,0.074275991,0.098272349,0.084973554,0.121347438,0.009142244,0.03378891,0.053997225,0.070054409,0.093996575,0.089384809,0.063339981,0.088382251,0.075663314,0.082231423,0.020831527,0.032314879,0.058571057,0.084615885,0.115781887,0.081976719,0.075544091,0.070699298,0.031496575,0.053525752
ivy-2.0,0.113344988,0.092171717,0.111920487,0.127395752,0.054357679,0.066190754,0.107841233,0.128642191,0.093919969,0.104215229,0.124643875,0.122150997,0.068278943,0.101754727,0.095668221,0.083090521,0.098096348,0.115902616,0.133838384,0.109832297,0.080257705,0.089209402,0.032812095,0.046102046
jedit-4.2,0.170083828,0.172257709,0.17002427,0.17332976,0.120605709,0.148836378,0.146186031,0.152826789,0.175980108,0.179404714,0.161001176,0.166763449,0.16490225,0.164008874,0.153749944,0.147019848,0.157844582,0.167195247,0.161477643,0.149223508,0.162103006,0.163755751,0.103765578,0.124983249
jedit-4.1,0.267313876,0.269869734,0.27052931,0.270364416,0.187731882,0.222977987,0.269787287,0.278196884,0.273827191,0.278897683,0.285926292,0.300251463,0.267684887,0.262861736,0.214774507,0.227780526,0.281577212,0.280340506,0.269148322,0.2191442,0.248248001,0.2503504,0.126061505,0.156010388
jedit-4.0,0.227043823,0.224129433,0.21937212,0.224129433,0.220615022,0.236794171,0.228286725,0.232422587,0.277574199,0.275174113,0.250851816,0.260045002,0.210200364,0.212729026,0.238572806,0.24911604,0.221515054,0.220315011,0.228972463,0.178463517,0.21032894,0.216050573,0.114818386,0.13311904
synapse-1.1,0.146386205,0.1825853,0.186417186,0.196445314,0.022135257,0.051893522,0.124577066,0.133586075,0.10374628,0.11344829,0.080958787,0.15123721,0.19546696,0.170763524,0.070441482,0.087970323,0.191472015,0.195385431,0.162284456,0.169499817,0.163466634,0.14883209,0.106640577,0.122049651
synapse-1.2,0.178829657,0.206280637,0.21026348,0.219270833,0.106403186,0.131219363,0.198988971,0.216115196,0.201409314,0.199080882,0.228186275,0.227941176,0.159466912,0.175704657,0.163572304,0.169515931,0.187101716,0.197457108,0.15971201,0.18247549,0.174448529,0.173498775,0.084160539,0.141053922
xalan-2.5,0.160809061,0.18200141,0.192156595,0.202771403,0.073850244,0.087961913,0.172259265,0.178973488,0.198898768,0.192954724,0.150849526,0.163225187,0.159380503,0.175523209,0.089058176,0.094797253,0.184951693,0.20192669,0.184451698,0.066418636,0.121685202,0.124340456,0.09762642,0.120769061
xalan-2.6,0.222488943,0.237244676,0.228322724,0.238395071,0.221213283,0.236968581,0.257049365,0.25531099,0.292215661,0.315872894,0.283738528,0.291351586,0.170368382,0.189285988,0.247288903,0.24969195,0.172873687,0.1840453,0.314221438,0.177715571,0.158457959,0.202362144,0.107349746,0.117641946
xerces-1.3,0.024204419,0.023403466,0.005723886,0.022993221,0.025845396,0.030113892,0.063539042,0.061898064,0.037332239,0.045605501,0.048897224,0.052140108,0.007443005,0.029225029,0.019681963,0.023188576,0.026529137,0.072242083,0.046250171,-0.110961339,0.076207779,0.0480572,0.009240266,0.032028365
