,LocRfc_A,LocRfc_D,amc_A,amc_D,avg_cc_A,avg_cc_D,ca_A,ca_D,cam_A,cam_D,cbm_A,cbm_D,cbo_A,cbo_D,ce_A,ce_D,dam_A,dam_D,dit_A,dit_D,ic_A,ic_D,lcom3_A,lcom3_D,lcom_A,lcom_D,loc_A,loc_D,max_cc_A,max_cc_D,mfa_A,mfa_D,moa_A,moa_D,noc_A,noc_D,npm_A,npm_D,rfc_A,rfc_D,wmc_A,wmc_D
ant-1.7,0.174587983,0.826786069,0.269524642,0.731698503,0.30540884,0.696600612,0.409892379,0.594059013,0.776875422,0.225642349,0.444446209,0.58056074,0.251789047,0.749164052,0.239692625,0.761641714,0.433334657,0.572010643,0.477062071,0.534176562,0.439343156,0.581243795,0.488856678,0.512890672,0.221945117,0.78326516,0.175171756,0.82618641,0.252468131,0.752162345,0.565847266,0.444354871,0.313188515,0.693864422,0.4767404,0.565751956,0.257241571,0.746900441,0.173948612,0.827409555,0.213954966,0.788443668
ant-1.6,0.183001982,0.819877988,0.304425245,0.69851666,0.330252075,0.674780131,0.387913415,0.620788431,0.76873529,0.234764028,0.431980057,0.599436393,0.253808993,0.752090301,0.25083612,0.757710888,0.453208225,0.558992939,0.503019324,0.523380404,0.443561873,0.599002849,0.461894587,0.541790536,0.226108634,0.781989347,0.183094884,0.819785086,0.279868079,0.718614518,0.585624923,0.430927165,0.348027375,0.664483463,0.504165118,0.56817478,0.22525703,0.780533878,0.178929766,0.825312771,0.209664932,0.79451567
ant-1.5,0.227401268,0.776401755,0.321501706,0.681911263,0.415602145,0.585568016,0.544027304,0.477035592,0.735251097,0.267186738,0.411409069,0.630424183,0.296440761,0.705997075,0.236665041,0.767528035,0.427596294,0.586055583,0.40858118,0.631789371,0.388883471,0.658605558,0.475767918,0.528620185,0.272549976,0.739541687,0.229254022,0.774451487,0.38196002,0.626816187,0.491760117,0.527450024,0.356313993,0.642613359,0.492637738,0.570258411,0.262408581,0.737981472,0.195611897,0.808678693,0.236372501,0.766650414
camel-1.6,0.289388601,0.711374093,0.393148187,0.603716062,0.308735751,0.688588601,0.286619689,0.699316062,0.711376166,0.289989637,0.472972021,0.496814508,0.25398342,0.746219689,0.314395855,0.684022798,0.437419689,0.511726425,0.482580311,0.490594819,0.461170984,0.498534715,0.507691192,0.492561658,0.297473575,0.69865285,0.298926425,0.701958549,0.296696373,0.674194819,0.54308601,0.440884974,0.371954404,0.623442487,0.404453886,0.539763731,0.278766839,0.719210363,0.262002073,0.738041451,0.260826943,0.739023834
camel-1.4,0.25980419,0.741486375,0.393540326,0.609947967,0.363624538,0.640254005,0.311252225,0.689832945,0.742458579,0.259858962,0.412775572,0.583595783,0.284622758,0.715661372,0.303149391,0.697836506,0.43562577,0.567027249,0.433366425,0.569300288,0.421265233,0.584177735,0.521905381,0.485790086,0.267879639,0.734807613,0.265938655,0.735300561,0.31960838,0.672117623,0.476971792,0.517362728,0.352180611,0.644101739,0.445792825,0.57569492,0.237049843,0.765938655,0.239117486,0.762809804,0.233979187,0.769995207
camel-1.2,0.33347197,0.667832476,0.403549733,0.597657038,0.368956695,0.626981876,0.38580422,0.604078443,0.646400484,0.354900812,0.45222071,0.541392544,0.342924481,0.655651341,0.347143451,0.651687588,0.468756302,0.492740472,0.502665608,0.481624319,0.454760284,0.527929018,0.492715265,0.510350499,0.337249824,0.659385083,0.336235254,0.665012477,0.364989791,0.632048422,0.509909382,0.491574662,0.382662835,0.611268653,0.436932849,0.524614338,0.329533424,0.668103448,0.325802833,0.675725323,0.334130495,0.666600499
ivy-2.0,0.177150974,0.825943588,0.257000812,0.74507914,0.260196834,0.740868506,0.431057224,0.568587662,0.781199269,0.221996753,0.495332792,0.573863636,0.221590909,0.781503653,0.280894886,0.719105114,0.42091112,0.615513393,0.568486201,0.503500406,0.497818588,0.568841315,0.48828125,0.513545049,0.243557224,0.763392857,0.177455357,0.825436282,0.240107549,0.756239854,0.599178166,0.485288149,0.300375406,0.653510552,0.500152192,0.489042208,0.267349838,0.732345779,0.175273945,0.827059659,0.201095779,0.802150974
jedit-4.2,0.143565884,0.859107501,0.340779394,0.662151046,0.228831423,0.771502751,0.174952445,0.825458845,0.847488561,0.155107707,0.413603414,0.523083646,0.156932806,0.841524857,0.16230528,0.836589378,0.415891214,0.560356794,0.491414323,0.481543365,0.424271246,0.512929926,0.453087245,0.550023135,0.160737237,0.842013264,0.146187857,0.856305588,0.178808287,0.819495142,0.55087142,0.425350882,0.203948383,0.787183178,0.449796926,0.435119017,0.188576423,0.806822271,0.138116292,0.863965863,0.157652563,0.843170017
jedit-4.1,0.199308756,0.803792981,0.370436016,0.632872504,0.259689235,0.745554177,0.288121824,0.722675174,0.795167198,0.208584426,0.470252865,0.604646697,0.244712277,0.759083658,0.225186104,0.780781047,0.472084367,0.536127851,0.520825948,0.517679901,0.471139076,0.598664776,0.46059317,0.547574737,0.224418055,0.781814959,0.201996928,0.801282051,0.208495805,0.798475718,0.580704242,0.456900626,0.298106463,0.741374217,0.568607468,0.525581945,0.260427744,0.746336996,0.182101501,0.821605814,0.206590453,0.797929221
jedit-4.0,0.167057088,0.836109665,0.367039736,0.636112557,0.252718492,0.750274741,0.223017526,0.769202961,0.814723234,0.187214414,0.419934641,0.49521372,0.200011568,0.798903927,0.190771589,0.806770201,0.360069987,0.613048759,0.47634334,0.448753543,0.417982532,0.480609058,0.505509283,0.496312684,0.199115044,0.803632367,0.169052577,0.834200937,0.195355428,0.8066979,0.535759732,0.397579386,0.19816068,0.795881775,0.410188559,0.363670542,0.206301695,0.795635953,0.162372028,0.839811441,0.172942333,0.828416912
synapse-1.1,0.290608791,0.713577214,0.387478387,0.614933115,0.4001729,0.602466102,0.487851488,0.507962508,0.702975703,0.299481299,0.503640004,0.482800983,0.293338793,0.711575212,0.274592775,0.728182728,0.409227409,0.602193102,0.582673583,0.416188916,0.504049504,0.481936482,0.55974156,0.438347438,0.369278369,0.642096642,0.292883793,0.710528711,0.342842843,0.651560652,0.595686596,0.400764401,0.448948949,0.589362089,0.50987351,0.461870962,0.441668942,0.564519065,0.287423787,0.716443716,0.351260351,0.649467649
synapse-1.2,0.291729526,0.71169181,0.379175647,0.623868534,0.406115302,0.59609375,0.381169181,0.608270474,0.667429957,0.341002155,0.484644397,0.501293103,0.329094828,0.676023707,0.354445043,0.650377155,0.415517241,0.560533405,0.510290948,0.472306034,0.484940733,0.498491379,0.581734914,0.434779095,0.390193966,0.619315733,0.292106681,0.71169181,0.371174569,0.629121767,0.52731681,0.473356681,0.407462284,0.595016164,0.480307112,0.497171336,0.40390625,0.599057112,0.298141164,0.706923491,0.345474138,0.662068966
xalan-2.5,0.367857821,0.633293699,0.405651594,0.595324032,0.426299212,0.573555382,0.436956048,0.558799042,0.582645588,0.418013429,0.448103041,0.542227476,0.417792975,0.582877768,0.41368878,0.587237595,0.464721513,0.53548487,0.477589923,0.514182925,0.458117277,0.530864719,0.511987767,0.487128072,0.383411548,0.615453349,0.368007918,0.633265555,0.407103306,0.596928186,0.504447775,0.488148258,0.426444618,0.563097893,0.478769586,0.502531702,0.40290061,0.599017808,0.369970895,0.631619187,0.396533245,0.606119237
xalan-2.6,0.305880226,0.69520452,0.36459209,0.636648136,0.435973785,0.566349379,0.451104181,0.546635932,0.635615819,0.36604565,0.483425989,0.52676339,0.430324068,0.570652203,0.440612881,0.561327006,0.472316384,0.517640678,0.486318644,0.520318192,0.487963842,0.522030282,0.544954576,0.452655367,0.389002486,0.611359096,0.306720904,0.694345763,0.39479322,0.612555932,0.50900791,0.499525424,0.424983503,0.576741243,0.462349379,0.540299209,0.365689492,0.633091977,0.364015367,0.636720452,0.372883164,0.627283164
xerces-1.3,0.21021629,0.792105594,0.203776779,0.799597388,0.324274554,0.67820746,0.28504272,0.706333139,0.716512828,0.28616363,0.394102643,0.551899255,0.239291311,0.756202175,0.226263597,0.770087728,0.27918654,0.726932711,0.488659369,0.450880143,0.391071612,0.553797939,0.726063434,0.279197978,0.375790642,0.627583525,0.207928719,0.793924213,0.240801107,0.764471743,0.474933946,0.470255865,0.309199465,0.681696005,0.424676023,0.501092315,0.427604113,0.573219412,0.234693294,0.769264203,0.321518032,0.683125736
