,k<>ant-1.7,m<>ant-1.7,r<>ant-1.7,k<>ant-1.6,m<>ant-1.6,r<>ant-1.6,k<>ant-1.5,m<>ant-1.5,r<>ant-1.5,k<>camel-1.6,m<>camel-1.6,r<>camel-1.6,k<>camel-1.4,m<>camel-1.4,r<>camel-1.4,k<>camel-1.2,m<>camel-1.2,r<>camel-1.2,k<>ivy-2.0,m<>ivy-2.0,r<>ivy-2.0,k<>jedit-4.2,m<>jedit-4.2,r<>jedit-4.2,k<>jedit-4.1,m<>jedit-4.1,r<>jedit-4.1,k<>jedit-4.0,m<>jedit-4.0,r<>jedit-4.0,k<>synapse-1.1,m<>synapse-1.1,r<>synapse-1.1,k<>synapse-1.2,m<>synapse-1.2,r<>synapse-1.2,k<>xalan-2.5,m<>xalan-2.5,r<>xalan-2.5,k<>xalan-2.6,m<>xalan-2.6,r<>xalan-2.6,k<>xerces-1.3,m<>xerces-1.3,r<>xerces-1.3
EALR,18,4,1.453029534,12,4,0.226499907,5,4,3.120488986,1,1,0.601320056,8,4,1.249589364,3,0,2.488317483,15,1,0.439315973,9,3,1.828144906,4,5,2.949162594,8,4,0.650230711,14,5,0.495120307,16,4,1.585135827,17,5,1.685131887,13,1,4.555026368,10,2,2.334754193
EALR,20,1,2.376324004,5,5,2.223918616,7,3,0.624995613,1,4,3.521586774,7,6,3.433592475,11,2,1.289813104,19,5,3.994827592,19,0,3.227387975,8,6,4.085199313,14,4,2.453753442,9,4,1.8830871,6,3,2.552863719,10,5,2.631231022,9,6,4.842325392,6,6,4.832887037
EALR,15,5,1.309610704,11,5,1.614711422,7,5,1.406677122,12,0,3.763471539,15,3,1.367174054,12,4,3.859572273,6,1,1.057749211,5,3,3.337985552,2,5,0.311252737,15,5,2.819987602,20,1,1.572566301,3,4,4.296705195,15,2,2.292214352,4,6,3.032973333,9,5,4.592299584
EALR,16,5,3.292247581,18,2,4.383879394,4,2,1.519085557,11,4,3.929721774,8,6,3.696548046,15,2,1.0730455,17,5,2.518912576,2,4,2.377001781,12,3,1.428583496,9,2,1.610385984,9,5,3.304581713,1,4,4.763859552,15,1,3.505439571,15,6,2.243755865,11,6,2.389989105
EALR,16,5,3.994552064,16,0,4.898895821,15,5,0.983710748,10,0,4.816889518,7,2,0.561615224,10,5,4.95684378,1,1,3.761672573,7,4,3.280566963,6,1,2.227692141,20,6,1.644226986,6,1,2.864210469,3,3,0.460446053,16,6,0.895682116,6,6,1.694256638,9,3,3.44028141
EALR,19,3,3.577639202,15,4,4.085369062,18,4,0.984018794,8,4,1.433579027,12,2,0.457752618,15,4,3.456247554,15,0,4.368849515,11,3,3.162433155,2,3,3.210947136,5,6,2.841057045,9,1,3.012475794,2,3,1.608465699,6,0,3.701031233,3,4,4.514888617,18,6,3.961949723
EALR,4,5,4.21937808,13,6,2.950330368,6,2,2.664312424,13,1,0.274988867,11,4,2.992092949,12,5,2.073365083,8,4,3.932905954,6,3,4.188401802,8,5,0.222076654,7,1,0.77918346,14,4,1.085868681,13,4,2.268937962,9,6,0.18620122,12,3,4.793547714,13,5,3.988508782
EALR,8,6,3.772751201,4,5,2.299251831,10,5,1.032492873,11,2,1.946622105,18,6,3.985153211,19,3,3.844789406,12,6,2.901439063,3,1,2.896278259,1,1,1.202272894,7,4,4.44323104,17,3,3.618985573,14,4,2.295298505,13,1,3.310237012,6,5,3.267857186,10,1,1.060438027
EALR,15,6,0.518269383,12,6,1.97130936,2,6,3.479028703,11,5,2.604497417,6,5,2.657648064,2,3,2.769333081,8,3,2.033808203,13,4,2.26666505,4,1,4.311348032,3,5,4.644792868,11,1,4.941472302,5,3,2.018204292,16,2,3.342284104,2,3,2.091788985,11,6,2.834569487
EALR,14,4,0.735236735,8,2,4.910235844,14,4,3.14617176,12,2,3.901315875,18,6,3.779846899,6,5,1.28906201,19,3,4.695730842,17,3,2.683797177,20,4,4.982708725,6,4,1.196251525,12,4,3.203785998,4,4,1.626854792,3,3,1.711097203,11,6,1.884293829,20,5,3.98362763
