,EALR+SMO,EALR+SMODE,BRR+SMO,BRR+SMODE,DTR+SMO,DTR+SMODE,NNR+SMO,NNR+SMODE,GBR+SMO,GBR+SMODE,RF+SMO,RF+SMODE,AdaBoostR2_LR+SMO,AdaBoostR2_LR+SMODE,AdaBoostR2_DTR+SMO,AdaBoostR2_DTR+SMODE,AdaBoostR2_BRR+SMO,AdaBoostR2_BRR+SMODE,OneWay_D,OneWay_A,CBS_D+SMO,CBS_D+SMODE,CBS_A+SMO,CBS_A+SMODE
ant-1.7,0.817047619,0.832,0.834190476,0.838095238,0.617809524,0.754285714,0.805904762,0.824285714,0.817714286,0.827142857,0.81152381,0.825238095,0.754380952,0.807333333,0.825047619,0.830095238,0.738380952,0.766190476,0.831619048,0.738952381,0.823714286,0.827238095,0.716761905,0.805142857
ant-1.7,0.792816306,0.800521999,0.794432016,0.804374845,0.665796669,0.706437982,0.766592095,0.793934874,0.80636341,0.815809098,0.791324882,0.813696247,0.775540641,0.774049217,0.770444942,0.773676361,0.766840666,0.780636341,0.807606264,0.754039274,0.76112354,0.763857818,0.662192394,0.699353716
ant-1.7,0.872261966,0.879047127,0.894903754,0.896231285,0.756914227,0.819750719,0.8715982,0.871081938,0.8694594,0.882144701,0.889224869,0.877498341,0.850210192,0.844457556,0.86525555,0.878235858,0.819308209,0.838188657,0.88966738,0.862084225,0.795928903,0.81303931,0.659119404,0.737001254
ant-1.7,0.774284705,0.779229954,0.778170258,0.781231602,0.686094431,0.660073001,0.665960203,0.689391263,0.759095726,0.785823619,0.739079242,0.767337808,0.74166961,0.741905098,0.70917226,0.722006358,0.727775815,0.743435771,0.776639586,0.701636642,0.758389262,0.765218415,0.691746144,0.63428706
ant-1.7,0.779791155,0.787264537,0.786343161,0.787674038,0.656122031,0.741093366,0.736486486,0.769041769,0.791154791,0.808046683,0.756756757,0.783476658,0.752661753,0.779176904,0.720208845,0.741502867,0.746416871,0.779279279,0.790028665,0.783783784,0.762080262,0.76463964,0.736691237,0.755528256
ant-1.7,0.843495935,0.849349593,0.847073171,0.853170732,0.694065041,0.744715447,0.809268293,0.82504065,0.804878049,0.837886179,0.836341463,0.840162602,0.76902439,0.782520325,0.767073171,0.804146341,0.767804878,0.786829268,0.845853659,0.803170732,0.704878049,0.731138211,0.601219512,0.644878049
ant-1.7,0.83391766,0.839226685,0.843233497,0.845136732,0.763497947,0.748873084,0.815786838,0.831112892,0.834719022,0.853250526,0.823800461,0.844535711,0.848342182,0.848542522,0.790143244,0.835420214,0.841630772,0.836622258,0.846639287,0.793749374,0.83031153,0.83381749,0.726034258,0.797054993
ant-1.7,0.687688035,0.704119417,0.721939366,0.725989354,0.642559593,0.723675075,0.736172182,0.737213608,0.71650081,0.730733626,0.739296459,0.74693358,0.67114094,0.69544087,0.741495024,0.746470724,0.690118028,0.690580884,0.731196482,0.689655172,0.692085165,0.703309419,0.635616755,0.671488081
ant-1.7,0.85825904,0.860663127,0.862566363,0.860663127,0.723630171,0.81999399,0.828708805,0.85815887,0.848141841,0.850946609,0.848242011,0.849243714,0.789742562,0.844936392,0.794250225,0.831613743,0.762195733,0.766002204,0.850846439,0.826004207,0.825303015,0.84413503,0.733246519,0.753380747
ant-1.7,0.816934122,0.830025338,0.825380068,0.829919764,0.704391892,0.779877534,0.775443412,0.797297297,0.78515625,0.788429054,0.798880912,0.817250845,0.775865709,0.773859797,0.742715372,0.781566723,0.778927365,0.780088682,0.834248311,0.762352196,0.81323902,0.812077703,0.796241554,0.802681588
ant-1.7,0.848812261,0.856091954,0.860076628,0.861149425,0.682528736,0.701455939,0.833180077,0.842298851,0.846206897,0.843524904,0.817547893,0.842758621,0.850727969,0.839310345,0.783984674,0.822528736,0.838007663,0.851034483,0.855095785,0.780766284,0.835938697,0.835172414,0.705747126,0.78743295
ant-1.7,0.823363486,0.823460753,0.811886003,0.82598969,0.779301624,0.786985702,0.83542457,0.821515417,0.824336154,0.810621535,0.824725221,0.83843984,0.818305612,0.828324093,0.789709172,0.805758195,0.805174594,0.819472814,0.823947087,0.811788737,0.796712382,0.799241319,0.702266317,0.706156989
ant-1.7,0.814765101,0.81409396,0.819239374,0.818344519,0.714876957,0.737583893,0.781431767,0.795525727,0.803131991,0.819910515,0.782214765,0.816442953,0.812304251,0.80917226,0.734451902,0.765436242,0.799888143,0.815548098,0.816107383,0.776733781,0.763534676,0.769239374,0.701118568,0.746308725
ant-1.7,0.793378076,0.803131991,0.825950783,0.826129754,0.740134228,0.74246085,0.771185682,0.787203579,0.801342282,0.80966443,0.810022371,0.820044743,0.746040268,0.764832215,0.803579418,0.794451902,0.757583893,0.731722595,0.82344519,0.776196868,0.804116331,0.826040268,0.697181208,0.747919463
ant-1.7,0.780621047,0.777027027,0.780333525,0.790971823,0.705577918,0.725416906,0.757044278,0.768832662,0.812823462,0.806210466,0.760063255,0.785221392,0.749568718,0.753881541,0.750431282,0.779039678,0.755319149,0.727429557,0.790253019,0.737492812,0.74453709,0.776739505,0.667625072,0.705577918
ant-1.7,0.843235294,0.85,0.854019608,0.856372549,0.644901961,0.69127451,0.787843137,0.825196078,0.848039216,0.844509804,0.817352941,0.823333333,0.808039216,0.831960784,0.814509804,0.79627451,0.847058824,0.834803922,0.845294118,0.798921569,0.749117647,0.758431373,0.685588235,0.713431373
ant-1.7,0.793776693,0.81604637,0.814012609,0.819198698,0.641549725,0.794081757,0.808623144,0.817978442,0.805064063,0.815232866,0.802928615,0.814826113,0.731340248,0.779438682,0.801403295,0.780658938,0.798962782,0.812283913,0.803945495,0.756457189,0.782997763,0.793268253,0.675513525,0.686597519
