,k<>ant-1.7,m<>ant-1.7,r<>ant-1.7,k<>ant-1.6,m<>ant-1.6,r<>ant-1.6,k<>ant-1.5,m<>ant-1.5,r<>ant-1.5,k<>camel-1.6,m<>camel-1.6,r<>camel-1.6,k<>camel-1.4,m<>camel-1.4,r<>camel-1.4,k<>camel-1.2,m<>camel-1.2,r<>camel-1.2,k<>ivy-2.0,m<>ivy-2.0,r<>ivy-2.0,k<>jedit-4.2,m<>jedit-4.2,r<>jedit-4.2,k<>jedit-4.1,m<>jedit-4.1,r<>jedit-4.1,k<>jedit-4.0,m<>jedit-4.0,r<>jedit-4.0,k<>synapse-1.1,m<>synapse-1.1,r<>synapse-1.1,k<>synapse-1.2,m<>synapse-1.2,r<>synapse-1.2,k<>xalan-2.5,m<>xalan-2.5,r<>xalan-2.5,k<>xalan-2.6,m<>xalan-2.6,r<>xalan-2.6,k<>xerces-1.3,m<>xerces-1.3,r<>xerces-1.3
EALR,11,4,2.362817053,13,1,0.235200384,3,6,4.895034486,3,4,3.353526739,6,2,0.212444392,5,3,3.777594886,11,3,0.768376819,5,6,1.417722579,13,3,0.932024816,15,5,2.614057256,4,1,0.906298481,15,4,0.64985202,8,0,2.518873578,17,3,3.26637736,18,4,1.097011312
EALR,12,1,3.260738127,14,2,2.173417458,17,3,4.795713032,11,0,1.405063524,7,1,2.212828972,9,3,4.91232203,19,2,0.771776736,5,2,3.113227478,2,5,1.938833395,7,6,0.99719184,4,5,2.204693169,9,0,3.693435387,17,3,0.362885499,14,5,1.750443323,18,6,3.458125773
EALR,13,3,3.160864045,9,3,3.501168236,9,4,4.312049912,14,4,2.889544672,4,5,3.422345411,9,2,2.536326538,15,1,0.310220347,9,3,4.310205264,12,4,4.443196816,9,3,0.961998911,13,6,4.953560162,20,5,4.085961248,6,5,3.6695655,8,5,3.817023153,12,4,0.471558871
EALR,16,3,4.429025902,15,6,2.822466676,7,1,2.745867211,19,2,4.322066344,11,5,3.818560121,8,1,3.454940735,20,2,3.42723709,7,0,3.763239755,18,1,0.248457666,10,3,1.900695301,2,3,0.851229024,14,3,4.40722897,17,2,1.441271924,19,3,2.264199573,13,3,2.77873594
EALR,17,2,2.311913733,17,0,4.345331545,18,5,3.333642783,17,0,0.928608171,3,6,4.235400755,1,4,0.264934136,12,1,4.154351422,15,5,2.956715253,10,6,1.635629767,8,6,4.694489123,14,3,4.718927882,4,2,0.509908808,16,2,2.509309054,20,5,1.950952039,7,6,1.085845317
EALR,13,4,1.632332643,17,6,1.249569585,13,4,1.926640098,20,4,1.418816544,8,4,2.524025856,5,2,2.207750847,11,1,1.613794443,3,4,4.637941451,7,1,0.352012318,19,4,0.108745724,11,2,2.772098302,20,4,3.763899031,2,2,1.90148823,15,6,0.576321069,7,6,0.535657014
EALR,20,3,3.437460894,5,2,3.85015345,15,5,3.73893981,4,4,1.090391088,2,4,1.620986463,9,6,0.728817277,6,1,3.675612791,5,1,3.878120395,2,6,0.903885993,10,6,1.216245636,14,5,0.637125459,1,3,0.86149756,2,4,4.708633748,13,5,4.26765231,18,4,3.006048034
EALR,19,4,4.119728461,20,5,1.244386348,12,6,4.197668572,5,2,0.231950711,13,4,2.779439252,2,5,3.943021444,16,6,4.409184333,15,1,1.909368237,1,1,1.496035042,19,3,3.872333489,6,2,3.714781165,9,5,3.842706141,6,3,2.096731977,3,5,1.646883876,13,6,2.490283653
EALR,8,5,2.5338636,11,6,1.915981357,4,4,3.664774083,11,6,0.552344648,6,6,3.776338165,6,4,3.224261613,1,6,2.209800757,10,4,1.321251308,20,1,2.621505603,9,2,1.736143626,12,5,0.277974299,18,2,3.284231611,10,4,4.379237921,10,4,3.023318587,14,6,2.996089625
EALR,6,3,0.603376532,15,5,4.049361849,7,1,4.760608614,8,1,2.476916618,19,2,2.929722594,9,2,0.555321694,15,2,0.105685357,5,1,4.86370622,17,6,4.343191992,20,1,3.314499107,17,6,4.220024678,6,3,4.449508753,6,5,2.807439603,10,2,3.965037503,11,4,1.097632779
