,EALR+SMO,EALR+SMODE,BRR+SMO,BRR+SMODE,DTR+SMO,DTR+SMODE,NNR+SMO,NNR+SMODE,GBR+SMO,GBR+SMODE,RF+SMO,RF+SMODE,AdaBoostR2_LR+SMO,AdaBoostR2_LR+SMODE,AdaBoostR2_DTR+SMO,AdaBoostR2_DTR+SMODE,AdaBoostR2_BRR+SMO,AdaBoostR2_BRR+SMODE,OneWay_D,OneWay_A,CBS_D+SMO,CBS_D+SMODE,CBS_A+SMO,CBS_A+SMODE
ant-1.7,0.25163311,0.262013423,0.26541387,0.26738255,0.212080537,0.182818792,0.239910515,0.24295302,0.234809843,0.255480984,0.22738255,0.250469799,0.173064877,0.215123043,0.216912752,0.222102908,0.173959732,0.198478747,0.262281879,0.185324385,0.235525727,0.237673378,0.167337808,0.205637584
ant-1.7,0.20034464,0.208325775,0.198712135,0.215762743,0.13694903,0.156811174,0.170324687,0.173861781,0.191275168,0.227915835,0.2164883,0.230636677,0.201070198,0.192363504,0.15155088,0.179756938,0.181117359,0.209051333,0.219118447,0.171866497,0.189461273,0.179847633,0.14347905,0.135316525
ant-1.7,0.290132414,0.292853256,0.311354979,0.310085253,0.197805188,0.241157265,0.272991112,0.285597678,0.292853256,0.306820243,0.29639035,0.298022855,0.198530746,0.244240885,0.269000544,0.284146563,0.198349356,0.224832215,0.309087611,0.270814439,0.252947578,0.253582442,0.138672229,0.176310539
ant-1.7,0.187465989,0.183112643,0.180573191,0.196535462,0.103301288,0.11717758,0.101396699,0.12524941,0.184382369,0.208688554,0.172410666,0.20342826,0.154271721,0.150281154,0.155813532,0.168873572,0.13522583,0.171503718,0.198893524,0.137583893,0.137130419,0.150009069,0.113368402,0.131235262
ant-1.7,0.216583931,0.220444935,0.221180364,0.222283508,0.153153153,0.159772017,0.197095054,0.190200404,0.220444935,0.23037323,0.193417908,0.241312741,0.202794631,0.199852914,0.160415518,0.173193602,0.180731752,0.189740761,0.219709505,0.199117485,0.188545689,0.189924618,0.154899798,0.178893179
ant-1.7,0.275436242,0.280626398,0.285458613,0.285458613,0.148903803,0.203221477,0.243221477,0.258791946,0.239642058,0.265950783,0.255480984,0.277315436,0.223713647,0.232304251,0.221744966,0.224161074,0.182371365,0.2301566,0.278478747,0.241342282,0.219418345,0.231767338,0.133959732,0.170559284
ant-1.7,0.237257392,0.239978233,0.247052422,0.251768547,0.126337747,0.16769454,0.22628333,0.24605478,0.251224379,0.257028841,0.234355161,0.265826229,0.24415019,0.237620171,0.235896971,0.233629603,0.193542536,0.245601306,0.256666062,0.20669327,0.217848721,0.218120805,0.166424814,0.188191547
ant-1.7,0.094141121,0.118810085,0.127516779,0.140576818,0.115000907,0.095955015,0.158625068,0.165155088,0.156901868,0.176129149,0.180573191,0.187647379,0.085253038,0.084346091,0.15481589,0.11717758,0.098131689,0.092327227,0.142662797,0.077634682,0.097134047,0.112189371,0.072011609,0.095864321
ant-1.7,0.273988754,0.268184292,0.27199347,0.272356249,0.152820606,0.210683838,0.250952295,0.262289135,0.250952295,0.269998186,0.236985307,0.267730818,0.230092509,0.243333938,0.207237439,0.2199347,0.203246871,0.24278977,0.265191366,0.234717939,0.226192636,0.21839289,0.183838201,0.163885362
ant-1.7,0.24894282,0.246736532,0.256664828,0.255745541,0.100845744,0.155727156,0.18983269,0.208678066,0.219341791,0.23451002,0.179720537,0.260525832,0.19672734,0.218238647,0.182018753,0.192866336,0.194888766,0.230740945,0.252711896,0.198565913,0.202334988,0.204541276,0.188269903,0.194796838
ant-1.7,0.249932886,0.253333333,0.269261745,0.266935123,0.171454139,0.166621924,0.242237136,0.256286353,0.246174497,0.242416107,0.248590604,0.261923937,0.217181208,0.256375839,0.195704698,0.228635347,0.257449664,0.248143177,0.259955257,0.174944072,0.224608501,0.238389262,0.168232662,0.176375839
ant-1.7,0.246326864,0.248503537,0.248684927,0.2508616,0.168692182,0.191275168,0.255577725,0.258661346,0.227462362,0.252312715,0.206149102,0.245964085,0.230364593,0.240341012,0.215581353,0.236350444,0.229457646,0.246871032,0.248140758,0.239615454,0.210411754,0.206421186,0.155813532,0.16941774
ant-1.7,0.241520044,0.239161981,0.236985307,0.24931979,0.119535643,0.178487212,0.22800653,0.236803918,0.22301832,0.237710865,0.226374025,0.231906403,0.236622529,0.236622529,0.204607292,0.214039543,0.250408126,0.239161981,0.248503537,0.214402322,0.201977145,0.213313985,0.163613278,0.188917105
ant-1.7,0.202884092,0.211228007,0.236622529,0.24278977,0.160076184,0.136586251,0.192726283,0.201795755,0.211953564,0.222927626,0.215853437,0.225194994,0.135407219,0.143932523,0.19535643,0.214311627,0.111826592,0.132686378,0.230818066,0.157990205,0.190821694,0.203246871,0.127607473,0.154181027
ant-1.7,0.212079426,0.212079426,0.21594043,0.225868726,0.163541092,0.175124104,0.194521052,0.203530061,0.254182754,0.232855304,0.233774591,0.251241037,0.178433536,0.158393087,0.217043574,0.196359625,0.164092664,0.158393087,0.225684869,0.192682478,0.188086045,0.177790035,0.119139548,0.14441993
ant-1.7,0.248948546,0.259149888,0.268814318,0.269888143,0.121163311,0.134228188,0.22442953,0.237136465,0.256286353,0.272572707,0.243847875,0.247069351,0.20689038,0.236241611,0.221208054,0.220850112,0.245548098,0.264876957,0.252885906,0.20885906,0.219149888,0.237404922,0.140402685,0.196420582
ant-1.7,0.24106657,0.242336296,0.243787412,0.249047705,0.121893706,0.124886632,0.226555414,0.243152549,0.23127154,0.231090151,0.209414112,0.237529476,0.192998367,0.164701614,0.188645021,0.207600218,0.173589697,0.156176311,0.226192636,0.166334119,0.16923635,0.19535643,0.123616905,0.114547433
ant-1.7,0.234990024,0.241882822,0.241520044,0.24587339,0.07491384,0.168692182,0.213586069,0.228550698,0.20669327,0.226827499,0.222292763,0.242064212,0.199800472,0.233176129,0.18093597,0.199800472,0.237892255,0.244966443,0.245419917,0.207962997,0.219662616,0.222564847,0.160711047,0.181389443
ant-1.7,0.197714493,0.203518955,0.193905315,0.204788681,0.161255215,0.149374206,0.183384727,0.202884092,0.175403592,0.211137312,0.205967713,0.2199347,0.166515509,0.177761654,0.175403592,0.173952476,0.19535643,0.190640305,0.211953564,0.192726283,0.162071467,0.171594413,0.126609831,0.120170506
ant-1.7,0.243243243,0.245265674,0.256480971,0.257584115,0.110865968,0.202978489,0.208678066,0.238738739,0.24618496,0.277072991,0.26824784,0.272200772,0.197830484,0.199669057,0.242323957,0.256664828,0.210148924,0.202610774,0.253539254,0.195256481,0.23386652,0.246552675,0.137249494,0.168597169
