,OneWay_D,OneWay_A
ant-1.7,rfc_D,cam_A
ant-1.7,rfc_D,cam_A
ant-1.7,rfc_D,cam_A
ant-1.7,loc_D,cam_A
ant-1.7,loc_D,cam_A
ant-1.7,loc_D,cam_A
ant-1.7,rfc_D,cam_A
ant-1.7,rfc_D,cam_A
ant-1.7,rfc_D,cam_A
ant-1.7,rfc_D,cam_A
ant-1.7,rfc_D,cam_A
ant-1.7,loc_D,cam_A
ant-1.7,loc_D,cam_A
ant-1.7,rfc_D,cam_A
ant-1.7,rfc_D,cam_A
ant-1.7,loc_D,cam_A
ant-1.7,rfc_D,cam_A
ant-1.7,loc_D,cam_A
ant-1.7,rfc_D,cam_A
ant-1.7,loc_D,cam_A
ant-1.7,rfc_D,cam_A
ant-1.7,rfc_D,cam_A
ant-1.7,rfc_D,cam_A
ant-1.7,loc_D,cam_A
ant-1.7,rfc_D,cam_A
ant-1.6,loc_D,cam_A
ant-1.6,rfc_D,cam_A
ant-1.6,rfc_D,cam_A
ant-1.6,rfc_D,cam_A
ant-1.6,rfc_D,cam_A
ant-1.6,rfc_D,cam_A
ant-1.6,rfc_D,cam_A
ant-1.6,rfc_D,cam_A
ant-1.6,rfc_D,cam_A
ant-1.6,rfc_D,cam_A
ant-1.6,rfc_D,cam_A
ant-1.6,rfc_D,cam_A
ant-1.6,rfc_D,cam_A
ant-1.6,rfc_D,cam_A
ant-1.6,loc_D,cam_A
ant-1.6,rfc_D,cam_A
ant-1.6,rfc_D,cam_A
ant-1.6,rfc_D,cam_A
ant-1.6,loc_D,cam_A
ant-1.6,rfc_D,cam_A
ant-1.6,rfc_D,cam_A
ant-1.6,rfc_D,cam_A
ant-1.6,rfc_D,cam_A
ant-1.6,rfc_D,cam_A
ant-1.6,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
ant-1.5,rfc_D,cam_A
camel-1.6,rfc_D,cam_A
camel-1.6,cbo_D,cam_A
camel-1.6,cbo_D,cam_A
camel-1.6,cbo_D,cam_A
camel-1.6,cbo_D,cam_A
camel-1.6,rfc_D,cam_A
camel-1.6,cbo_D,cam_A
camel-1.6,cbo_D,cam_A
camel-1.6,cbo_D,cam_A
camel-1.6,cbo_D,cam_A
camel-1.6,cbo_D,cam_A
camel-1.6,cbo_D,cam_A
camel-1.6,cbo_D,cam_A
camel-1.6,rfc_D,cam_A
camel-1.6,cbo_D,cam_A
camel-1.6,cbo_D,cam_A
camel-1.6,wmc_D,cam_A
camel-1.6,cbo_D,cam_A
camel-1.6,cbo_D,cam_A
camel-1.6,cbo_D,cam_A
camel-1.6,cbo_D,cam_A
camel-1.6,cbo_D,cam_A
camel-1.6,cbo_D,cam_A
camel-1.6,cbo_D,cam_A
camel-1.6,rfc_D,cam_A
camel-1.4,wmc_D,cam_A
camel-1.4,wmc_D,cam_A
camel-1.4,wmc_D,cam_A
camel-1.4,wmc_D,cam_A
camel-1.4,wmc_D,cam_A
camel-1.4,wmc_D,cam_A
camel-1.4,npm_D,cam_A
camel-1.4,wmc_D,cam_A
camel-1.4,wmc_D,cam_A
camel-1.4,wmc_D,cam_A
camel-1.4,wmc_D,cam_A
camel-1.4,wmc_D,cam_A
camel-1.4,wmc_D,cam_A
camel-1.4,wmc_D,cam_A
camel-1.4,wmc_D,cam_A
camel-1.4,wmc_D,cam_A
camel-1.4,wmc_D,cam_A
camel-1.4,rfc_D,cam_A
camel-1.4,wmc_D,cam_A
camel-1.4,npm_D,cam_A
camel-1.4,wmc_D,cam_A
camel-1.4,wmc_D,cam_A
camel-1.4,wmc_D,cam_A
camel-1.4,wmc_D,cam_A
camel-1.4,wmc_D,cam_A
camel-1.2,rfc_D,cam_A
camel-1.2,npm_D,cam_A
camel-1.2,rfc_D,cam_A
camel-1.2,npm_D,cam_A
camel-1.2,rfc_D,cam_A
camel-1.2,rfc_D,cam_A
camel-1.2,npm_D,cam_A
camel-1.2,rfc_D,cam_A
camel-1.2,rfc_D,cam_A
camel-1.2,rfc_D,cam_A
camel-1.2,rfc_D,cam_A
camel-1.2,rfc_D,cam_A
camel-1.2,rfc_D,cam_A
camel-1.2,rfc_D,cam_A
camel-1.2,rfc_D,cam_A
camel-1.2,npm_D,cam_A
camel-1.2,rfc_D,cam_A
camel-1.2,rfc_D,cam_A
camel-1.2,npm_D,cam_A
camel-1.2,rfc_D,cam_A
camel-1.2,npm_D,cam_A
camel-1.2,rfc_D,cam_A
camel-1.2,rfc_D,cam_A
camel-1.2,npm_D,cam_A
camel-1.2,rfc_D,cam_A
ivy-2.0,rfc_D,cam_A
ivy-2.0,rfc_D,cam_A
ivy-2.0,rfc_D,cam_A
ivy-2.0,rfc_D,cam_A
ivy-2.0,rfc_D,cam_A
ivy-2.0,rfc_D,cam_A
ivy-2.0,loc_D,cam_A
ivy-2.0,rfc_D,cam_A
ivy-2.0,rfc_D,cam_A
ivy-2.0,wmc_D,cam_A
ivy-2.0,rfc_D,cam_A
ivy-2.0,loc_D,cam_A
ivy-2.0,loc_D,cam_A
ivy-2.0,rfc_D,cam_A
ivy-2.0,loc_D,cam_A
ivy-2.0,loc_D,cam_A
ivy-2.0,rfc_D,cam_A
ivy-2.0,loc_D,cam_A
ivy-2.0,rfc_D,cam_A
ivy-2.0,rfc_D,cam_A
ivy-2.0,rfc_D,cam_A
ivy-2.0,rfc_D,cam_A
ivy-2.0,rfc_D,cam_A
ivy-2.0,rfc_D,cam_A
ivy-2.0,wmc_D,cam_A
jedit-4.2,rfc_D,cam_A
jedit-4.2,rfc_D,cam_A
jedit-4.2,rfc_D,cam_A
jedit-4.2,rfc_D,cam_A
jedit-4.2,rfc_D,cam_A
jedit-4.2,rfc_D,cam_A
jedit-4.2,loc_D,cam_A
jedit-4.2,rfc_D,cam_A
jedit-4.2,rfc_D,cam_A
jedit-4.2,rfc_D,cam_A
jedit-4.2,rfc_D,cam_A
jedit-4.2,rfc_D,cam_A
jedit-4.2,rfc_D,cam_A
jedit-4.2,rfc_D,cam_A
jedit-4.2,rfc_D,cam_A
jedit-4.2,rfc_D,cam_A
jedit-4.2,rfc_D,cam_A
jedit-4.2,loc_D,cam_A
jedit-4.2,lcom_D,cam_A
jedit-4.2,rfc_D,cam_A
jedit-4.2,rfc_D,cam_A
jedit-4.2,rfc_D,cam_A
jedit-4.2,rfc_D,cam_A
jedit-4.2,rfc_D,cam_A
jedit-4.2,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.1,rfc_D,cam_A
jedit-4.0,rfc_D,cam_A
jedit-4.0,rfc_D,cam_A
jedit-4.0,rfc_D,cam_A
jedit-4.0,rfc_D,cam_A
jedit-4.0,rfc_D,cam_A
jedit-4.0,rfc_D,cam_A
jedit-4.0,rfc_D,cam_A
jedit-4.0,rfc_D,cam_A
jedit-4.0,rfc_D,cam_A
jedit-4.0,rfc_D,cam_A
jedit-4.0,rfc_D,cam_A
jedit-4.0,loc_D,cam_A
jedit-4.0,rfc_D,cam_A
jedit-4.0,rfc_D,cam_A
jedit-4.0,rfc_D,cam_A
jedit-4.0,rfc_D,cam_A
jedit-4.0,rfc_D,cam_A
jedit-4.0,rfc_D,cam_A
jedit-4.0,rfc_D,cam_A
jedit-4.0,loc_D,cam_A
jedit-4.0,rfc_D,cam_A
jedit-4.0,rfc_D,cam_A
jedit-4.0,rfc_D,cam_A
jedit-4.0,rfc_D,cam_A
jedit-4.0,rfc_D,cam_A
synapse-1.1,ce_D,cam_A
synapse-1.1,ce_D,cam_A
synapse-1.1,ce_D,cam_A
synapse-1.1,rfc_D,cam_A
synapse-1.1,ce_D,cam_A
synapse-1.1,ce_D,cam_A
synapse-1.1,ce_D,cam_A
synapse-1.1,ce_D,cam_A
synapse-1.1,cbo_D,cam_A
synapse-1.1,ce_D,cam_A
synapse-1.1,ce_D,cam_A
synapse-1.1,ce_D,cam_A
synapse-1.1,ce_D,cam_A
synapse-1.1,ce_D,cam_A
synapse-1.1,ce_D,cam_A
synapse-1.1,ce_D,cam_A
synapse-1.1,cbo_D,cam_A
synapse-1.1,ce_D,cam_A
synapse-1.1,ce_D,cam_A
synapse-1.1,rfc_D,cam_A
synapse-1.1,cbo_D,cam_A
synapse-1.1,ce_D,cam_A
synapse-1.1,ce_D,cam_A
synapse-1.1,ce_D,cam_A
synapse-1.1,ce_D,cam_A
synapse-1.2,loc_D,cam_A
synapse-1.2,loc_D,cam_A
synapse-1.2,rfc_D,cam_A
synapse-1.2,loc_D,cam_A
synapse-1.2,loc_D,cam_A
synapse-1.2,rfc_D,cam_A
synapse-1.2,loc_D,cam_A
synapse-1.2,loc_D,cam_A
synapse-1.2,loc_D,cam_A
synapse-1.2,loc_D,cam_A
synapse-1.2,rfc_D,cam_A
synapse-1.2,loc_D,cam_A
synapse-1.2,loc_D,cam_A
synapse-1.2,loc_D,cam_A
synapse-1.2,loc_D,cam_A
synapse-1.2,loc_D,cam_A
synapse-1.2,loc_D,cam_A
synapse-1.2,rfc_D,cam_A
synapse-1.2,rfc_D,cam_A
synapse-1.2,loc_D,cam_A
synapse-1.2,loc_D,cam_A
synapse-1.2,rfc_D,cam_A
synapse-1.2,rfc_D,cam_A
synapse-1.2,loc_D,cam_A
synapse-1.2,loc_D,cam_A
xalan-2.5,loc_D,cam_A
xalan-2.5,loc_D,cam_A
xalan-2.5,loc_D,cam_A
xalan-2.5,rfc_D,cam_A
xalan-2.5,loc_D,cam_A
xalan-2.5,rfc_D,cam_A
xalan-2.5,loc_D,cam_A
xalan-2.5,loc_D,cam_A
xalan-2.5,loc_D,cam_A
xalan-2.5,loc_D,cam_A
xalan-2.5,loc_D,cam_A
xalan-2.5,loc_D,cam_A
xalan-2.5,rfc_D,cam_A
xalan-2.5,loc_D,cam_A
xalan-2.5,rfc_D,cam_A
xalan-2.5,loc_D,cam_A
xalan-2.5,loc_D,cam_A
