,LocRfc_A,LocRfc_D,amc_A,amc_D,avg_cc_A,avg_cc_D,ca_A,ca_D,cam_A,cam_D,cbm_A,cbm_D,cbo_A,cbo_D,ce_A,ce_D,dam_A,dam_D,dit_A,dit_D,ic_A,ic_D,lcom3_A,lcom3_D,lcom_A,lcom_D,loc_A,loc_D,max_cc_A,max_cc_D,mfa_A,mfa_D,moa_A,moa_D,noc_A,noc_D,npm_A,npm_D,rfc_A,rfc_D,wmc_A,wmc_D
ant-1.7,0.17352381,0.833047619,0.21247619,0.794190476,0.256190476,0.755142857,0.441809524,0.554666667,0.738952381,0.271238095,0.517238095,0.545142857,0.251142857,0.756095238,0.206761905,0.79952381,0.417714286,0.574,0.501333333,0.517047619,0.503238095,0.551333333,0.502095238,0.501428571,0.234857143,0.77247619,0.174857143,0.831904762,0.187428571,0.831333333,0.546,0.484,0.311714286,0.654380952,0.478095238,0.536666667,0.295238095,0.713428571,0.174190476,0.831619048,0.247238095,0.761904762
ant-1.7,0.194506587,0.812204822,0.296917723,0.709917972,0.332214765,0.673999503,0.458985831,0.540268456,0.754039274,0.256773552,0.468431519,0.52411136,0.271812081,0.736639324,0.256649267,0.748943574,0.446805866,0.504349988,0.417971663,0.60390256,0.463335819,0.529331345,0.447054437,0.568356948,0.237509321,0.768953517,0.195625155,0.811707681,0.256773552,0.748446433,0.546109868,0.47564007,0.336689038,0.713025106,0.46035297,0.632985334,0.262614964,0.740865026,0.198483719,0.807606264,0.225080785,0.782624907
ant-1.7,0.110111365,0.896673796,0.269267645,0.737443764,0.293310716,0.713105686,0.368685006,0.638763921,0.862084225,0.14654473,0.374658898,0.66568331,0.216977653,0.785234899,0.195589645,0.813998082,0.454015783,0.579467512,0.424662586,0.602183052,0.370012538,0.667969614,0.470536175,0.536027731,0.152592374,0.85515156,0.110996386,0.895272513,0.232096762,0.780146028,0.559112029,0.447894387,0.207242422,0.800796519,0.48336898,0.556309462,0.173537872,0.837746146,0.115421491,0.88966738,0.135039457,0.871966959
ant-1.7,0.22936536,0.777699282,0.310844225,0.695631697,0.348286824,0.66266337,0.410573413,0.597315436,0.701636642,0.306369952,0.391852114,0.594136348,0.297892382,0.706935123,0.321323443,0.681620158,0.416813847,0.577416696,0.519957612,0.457788767,0.401860356,0.554456611,0.51783822,0.494878135,0.308136112,0.715530437,0.229600848,0.776639586,0.329212292,0.668432827,0.559872836,0.440127164,0.388319793,0.593429883,0.413046038,0.546920994,0.337572118,0.669257035,0.226539503,0.781231602,0.293300365,0.713764276
ant-1.7,0.217444717,0.789619165,0.295864046,0.70986896,0.332104832,0.672194922,0.424447174,0.612100737,0.783783784,0.220413595,0.504299754,0.5748362,0.272829648,0.733517609,0.267506143,0.741809992,0.446764947,0.61455774,0.559377559,0.486486486,0.501842752,0.574119574,0.529176904,0.46990172,0.232800983,0.776822277,0.216011466,0.790028665,0.311527437,0.70546683,0.628583129,0.411547912,0.395577396,0.666052416,0.54535217,0.579033579,0.281736282,0.736691237,0.205671581,0.798832924,0.229217854,0.775389025
ant-1.7,0.158292683,0.848699187,0.276097561,0.730731707,0.317479675,0.688536585,0.353333333,0.640650407,0.803170732,0.203414634,0.433333333,0.545934959,0.198130081,0.806585366,0.183495935,0.821788618,0.426747967,0.529756098,0.458211382,0.53097561,0.419593496,0.54902439,0.451707317,0.553658537,0.209430894,0.792520325,0.160406504,0.845853659,0.270243902,0.727154472,0.552682927,0.460243902,0.24495935,0.724308943,0.388617886,0.56097561,0.271463415,0.729837398,0.149186992,0.858211382,0.206666667,0.79699187
ant-1.7,0.163277572,0.843233497,0.249424021,0.757087048,0.308925173,0.699288791,0.501352299,0.500450766,0.793749374,0.21436442,0.378243013,0.68506461,0.233296604,0.772413102,0.215265952,0.792647501,0.38765902,0.641690874,0.395772814,0.617349494,0.375638586,0.656516077,0.479515176,0.527897426,0.202343985,0.809175599,0.162075528,0.844635881,0.247620956,0.756486026,0.535610538,0.484724031,0.286286687,0.694280276,0.501552639,0.496243614,0.208254032,0.799659421,0.159771612,0.846639287,0.195131724,0.812881899
ant-1.7,0.270539227,0.73640361,0.332099051,0.673570933,0.354084703,0.649849572,0.486808609,0.528002777,0.689655172,0.319254802,0.43415876,0.567461236,0.354084703,0.656792409,0.332677621,0.679703772,0.495718584,0.489585744,0.487850035,0.50439713,0.422124508,0.579611201,0.479055774,0.52163851,0.302939134,0.711640824,0.270307799,0.736519324,0.297500579,0.709095117,0.572668364,0.441911595,0.428488776,0.625318213,0.452788706,0.628673918,0.333371905,0.68109234,0.275630641,0.731196482,0.305831983,0.701110854
ant-1.7,0.146248623,0.860562957,0.223279575,0.783532004,0.217069017,0.789842733,0.407993589,0.624361414,0.826004207,0.181909246,0.438846038,0.614444556,0.266252629,0.737553842,0.245317039,0.765902033,0.4672944,0.57447661,0.472503256,0.585996194,0.442652509,0.628668737,0.516678353,0.49814685,0.193428829,0.815386156,0.146348793,0.860663127,0.188520485,0.82700591,0.529099469,0.48081739,0.233496945,0.786236602,0.559751578,0.607632976,0.230792347,0.777221276,0.156465992,0.850846439,0.186416909,0.823299609
ant-1.7,0.185071791,0.821473818,0.283467061,0.723711993,0.339738176,0.673775338,0.327702703,0.691195101,0.762352196,0.247994088,0.553842905,0.494721284,0.232685811,0.776288007,0.279771959,0.730152027,0.409100507,0.610430743,0.5859375,0.448268581,0.549197635,0.495988176,0.54296875,0.465266047,0.231841216,0.790118243,0.186338682,0.820734797,0.288745777,0.740709459,0.643264358,0.377744932,0.429898649,0.63207348,0.517947635,0.565033784,0.255067568,0.75855152,0.172297297,0.834248311,0.218644426,0.792757601
ant-1.7,0.152337165,0.854176245,0.209195402,0.797777778,0.272490421,0.735172414,0.38137931,0.642298851,0.780766284,0.226590038,0.440996169,0.611034483,0.249808429,0.757011494,0.257777778,0.745517241,0.417547893,0.625517241,0.535249042,0.489578544,0.437701149,0.603295019,0.502835249,0.50743295,0.202528736,0.80183908,0.15302682,0.853869732,0.237088123,0.777471264,0.60743295,0.414942529,0.323908046,0.706360153,0.490038314,0.583065134,0.263601533,0.74789272,0.150881226,0.855095785,0.207662835,0.799616858
ant-1.7,0.181888921,0.824627954,0.323898453,0.68300749,0.371850987,0.634179555,0.39305515,0.60966832,0.811788737,0.196770742,0.488084817,0.503452972,0.244820543,0.765587005,0.217294038,0.799435853,0.442563953,0.534772882,0.495185293,0.496255228,0.483902344,0.505884642,0.497130629,0.508705379,0.21204163,0.801381189,0.182277989,0.823947087,0.291314075,0.720747009,0.576889408,0.423207859,0.328761794,0.669779204,0.494212625,0.531660344,0.22604805,0.778134423,0.177609182,0.82871316,0.202509484,0.803326525
