,LocRfc_A,LocRfc_D,amc_A,amc_D,avg_cc_A,avg_cc_D,ca_A,ca_D,cam_A,cam_D,cbm_A,cbm_D,cbo_A,cbo_D,ce_A,ce_D,dam_A,dam_D,dit_A,dit_D,ic_A,ic_D,lcom3_A,lcom3_D,lcom_A,lcom_D,loc_A,loc_D,max_cc_A,max_cc_D,mfa_A,mfa_D,moa_A,moa_D,noc_A,noc_D,npm_A,npm_D,rfc_A,rfc_D,wmc_A,wmc_D
ant-1.7,-0.265324385,0.265324385,-0.23409396,0.23409396,-0.177270694,0.177270694,-0.03310962,0.03310962,0.185324385,-0.185324385,0.005458613,-0.005458613,-0.193288591,0.193288591,-0.22147651,0.22147651,-0.08393736,0.08393736,-0.027024609,0.027024609,-0.000447427,0.000447427,0.011275168,-0.011275168,-0.212259508,0.212259508,-0.264161074,0.264161074,-0.243489933,0.243489933,-0.001073826,0.001073826,-0.149619687,0.149619687,-0.045816555,0.045816555,-0.160536913,0.160536913,-0.262281879,0.262281879,-0.200268456,0.200268456
ant-1.7,-0.228278614,0.228278614,-0.14347905,0.14347905,-0.109015055,0.109015055,-0.055686559,0.055686559,0.171866497,-0.171866497,-0.035824415,0.035824415,-0.136042082,0.136042082,-0.140486124,0.140486124,-0.016869218,0.016869218,-0.026301469,0.026301469,-0.032559405,0.032559405,-0.023127154,0.023127154,-0.169689824,0.169689824,-0.227371667,0.227371667,-0.153727553,0.153727553,0.038545257,-0.038545257,-0.108289498,0.108289498,-0.02439688,0.02439688,-0.15481589,0.15481589,-0.219118447,0.219118447,-0.196081988,0.196081988
ant-1.7,-0.310720116,0.310720116,-0.18401959,0.18401959,-0.174859423,0.174859423,-0.068293125,0.068293125,0.270814439,-0.270814439,-0.147197533,0.147197533,-0.209232723,0.209232723,-0.235987666,0.235987666,-0.077634682,0.077634682,-0.093415563,0.093415563,-0.139579176,0.139579176,0.003809178,-0.003809178,-0.268274986,0.268274986,-0.309087611,0.309087611,-0.214220932,0.214220932,0.017776165,-0.017776165,-0.196081988,0.196081988,-0.025213133,0.025213133,-0.252947578,0.252947578,-0.309178306,0.309178306,-0.282151279,0.282151279
ant-1.7,-0.203972429,0.203972429,-0.133139851,0.133139851,-0.110284781,0.110284781,-0.061581716,0.061581716,0.137583893,-0.137583893,-0.073462724,0.073462724,-0.131144567,0.131144567,-0.114184654,0.114184654,-0.083711228,0.083711228,0.023308543,-0.023308543,-0.066297841,0.066297841,0.021857428,-0.021857428,-0.14656267,0.14656267,-0.203700345,0.203700345,-0.126337747,0.126337747,0.050607655,-0.050607655,-0.09296209,0.09296209,-0.038001088,0.038001088,-0.138400145,0.138400145,-0.198893524,0.198893524,-0.169145656,0.169145656
ant-1.7,-0.218422504,0.218422504,-0.150854937,0.150854937,-0.161242876,0.161242876,-0.056076485,0.056076485,0.199117485,-0.199117485,-0.040540541,0.040540541,-0.186523258,0.186523258,-0.191395477,0.191395477,-0.057915058,0.057915058,0.012686156,-0.012686156,-0.03576025,0.03576025,0.023533738,-0.023533738,-0.204173561,0.204173561,-0.219709505,0.219709505,-0.1719066,0.1719066,0.069314212,-0.069314212,-0.150579151,0.150579151,-0.020592021,0.020592021,-0.190660048,0.190660048,-0.233682662,0.233682662,-0.210332782,0.210332782
ant-1.7,-0.280715884,0.280715884,-0.206174497,0.206174497,-0.162416107,0.162416107,-0.094765101,0.094765101,0.241342282,-0.241342282,-0.058970917,0.058970917,-0.238836689,0.238836689,-0.253333333,0.253333333,-0.070782998,0.070782998,-0.039284116,0.039284116,-0.061744966,0.061744966,-0.020313199,0.020313199,-0.222192394,0.222192394,-0.278478747,0.278478747,-0.196241611,0.196241611,0.037136465,-0.037136465,-0.200715884,0.200715884,-0.067114094,0.067114094,-0.178791946,0.178791946,-0.287964206,0.287964206,-0.234720358,0.234720358
ant-1.7,-0.254670778,0.254670778,-0.185833484,0.185833484,-0.153999637,0.153999637,-0.034101215,0.034101215,0.20669327,-0.20669327,-0.096408489,0.096408489,-0.187738074,0.187738074,-0.171775803,0.171775803,-0.087429712,0.087429712,-0.05205877,0.05205877,-0.083801923,0.083801923,-0.023852712,0.023852712,-0.23934337,0.23934337,-0.256847451,0.256847451,-0.192544894,0.192544894,0.020769091,-0.020769091,-0.144295302,0.144295302,-0.000634863,0.000634863,-0.204879376,0.204879376,-0.256666062,0.256666062,-0.225739162,0.225739162
ant-1.7,-0.151097406,0.151097406,-0.090422637,0.090422637,-0.084618175,0.084618175,-0.038726646,0.038726646,0.077634682,-0.077634682,-0.030654816,0.030654816,-0.066388536,0.066388536,-0.064574642,0.064574642,0.000362779,-0.000362779,0.029838563,-0.029838563,-0.034463994,0.034463994,0.010701977,-0.010701977,-0.125158716,0.125158716,-0.151822964,0.151822964,-0.114819518,0.114819518,0.053237802,-0.053237802,-0.048884455,0.048884455,-0.045982224,0.045982224,-0.11717758,0.11717758,-0.142662797,0.142662797,-0.134863051,0.134863051
ant-1.7,-0.27045166,0.27045166,-0.212588427,0.212588427,-0.201614366,0.201614366,-0.033284963,0.033284963,0.234717939,-0.234717939,-0.080355523,0.080355523,-0.160348268,0.160348268,-0.195265736,0.195265736,-0.06666062,0.06666062,-0.055686559,0.055686559,-0.08144386,0.08144386,0.015236713,-0.015236713,-0.211318701,0.211318701,-0.270633049,0.270633049,-0.222383457,0.222383457,-0.010067114,0.010067114,-0.193723925,0.193723925,-0.026482859,0.026482859,-0.185017232,0.185017232,-0.265191366,0.265191366,-0.2199347,0.2199347
ant-1.7,-0.253723111,0.253723111,-0.156554514,0.156554514,-0.146166575,0.146166575,-0.089814304,0.089814304,0.198565913,-0.198565913,-0.016271373,0.016271373,-0.215113072,0.215113072,-0.206747564,0.206747564,-0.091285163,0.091285163,0.002022431,-0.002022431,-0.016271373,0.016271373,0.047251333,-0.047251333,-0.208769994,0.208769994,-0.252711896,0.252711896,-0.184960471,0.184960471,0.071060857,-0.071060857,-0.110498253,0.110498253,-0.020224306,0.020224306,-0.216951646,0.216951646,-0.264570693,0.264570693,-0.236164736,0.236164736
ant-1.7,-0.260850112,0.260850112,-0.210559284,0.210559284,-0.199105145,0.199105145,-0.082147651,0.082147651,0.174944072,-0.174944072,-0.072214765,0.072214765,-0.193467562,0.193467562,-0.178702461,0.178702461,-0.092796421,0.092796421,-0.007248322,0.007248322,-0.073378076,0.073378076,0.010290828,-0.010290828,-0.214228188,0.214228188,-0.259955257,0.259955257,-0.21852349,0.21852349,0.028098434,-0.028098434,-0.153914989,0.153914989,-0.039910515,0.039910515,-0.178434004,0.178434004,-0.262013423,0.262013423,-0.208680089,0.208680089
