,amc_A,amc_D,avg_cc_A,avg_cc_D,ca_A,ca_D,cam_A,cam_D,cbm_A,cbm_D,cbo_A,cbo_D,ce_A,ce_D,dam_A,dam_D,dit_A,dit_D,ic_A,ic_D,lcom3_A,lcom3_D,lcom_A,lcom_D,loc_A,loc_D,max_cc_A,max_cc_D,mfa_A,mfa_D,moa_A,moa_D,noc_A,noc_D,npm_A,npm_D,rfc_A,rfc_D,wmc_A,wmc_D
ant-1.7,0.038461538461538464,0.46745562130177515,0.038461538461538464,0.4230769230769231,0.10946745562130178,0.28106508875739644,0.6242603550295858,0.047337278106508875,0.14201183431952663,0.2692307692307692,0.023668639053254437,0.514792899408284,0.05621301775147929,0.6035502958579881,0.038461538461538464,0.2485207100591716,0.16568047337278108,0.23076923076923078,0.14201183431952663,0.2988165680473373,0.05029585798816568,0.038461538461538464,0.03254437869822485,0.6035502958579881,0.01775147928994083,0.7071005917159763,0.038461538461538464,0.5473372781065089,0.16568047337278108,0.05917159763313609,0.09763313609467456,0.4822485207100592,0.11242603550295859,0.2603550295857988,0.05029585798816568,0.5207100591715976,0.01775147928994083,0.7218934911242604,0.023668639053254437,0.6272189349112426
ant-1.6,0.010869565217391304,0.3532608695652174,0.043478260869565216,0.27717391304347827,0.11413043478260869,0.40217391304347827,0.47282608695652173,0.021739130434782608,0.10326086956521739,0.34782608695652173,0.06521739130434782,0.5434782608695652,0.021739130434782608,0.5,0.03260869565217391,0.17391304347826086,0.16304347826086957,0.17391304347826086,0.10326086956521739,0.32065217391304346,0.08152173913043478,0.043478260869565216,0.043478260869565216,0.6304347826086957,0.010869565217391304,0.657608695652174,0.05434782608695652,0.44021739130434784,0.16304347826086957,0.05434782608695652,0.10326086956521739,0.41304347826086957,0.15217391304347827,0.2554347826086957,0.059782608695652176,0.6358695652173914,0.005434782608695652,0.6739130434782609,0.04891304347826087,0.6358695652173914
ant-1.5,0.02857142857142857,0.37142857142857144,0.08571428571428572,0.22857142857142856,0.17142857142857143,0.17142857142857143,0.5142857142857142,0.05714285714285714,0.08571428571428572,0.4,0.05714285714285714,0.4,0.05714285714285714,0.6285714285714286,0.0,0.17142857142857143,0.05714285714285714,0.2857142857142857,0.08571428571428572,0.42857142857142855,0.11428571428571428,0.0,0.05714285714285714,0.5428571428571428,0.02857142857142857,0.6285714285714286,0.08571428571428572,0.34285714285714286,0.05714285714285714,0.14285714285714285,0.14285714285714285,0.45714285714285713,0.14285714285714285,0.2571428571428571,0.0,0.45714285714285713,0.02857142857142857,0.6571428571428571,0.02857142857142857,0.5714285714285714
camel-1.6,0.132,0.308,0.072,0.454,0.056,0.446,0.492,0.042,0.194,0.174,0.032,0.554,0.04,0.474,0.148,0.28,0.156,0.15,0.194,0.274,0.152,0.092,0.134,0.546,0.048,0.494,0.076,0.494,0.198,0.064,0.14,0.45,0.176,0.312,0.05,0.516,0.05,0.538,0.066,0.566
camel-1.4,0.07462686567164178,0.24776119402985075,0.07761194029850746,0.3850746268656716,0.041791044776119404,0.408955223880597,0.5134328358208955,0.041791044776119404,0.1373134328358209,0.3074626865671642,0.03582089552238806,0.48059701492537316,0.03880597014925373,0.4059701492537313,0.08059701492537313,0.2537313432835821,0.14328358208955225,0.21791044776119403,0.1373134328358209,0.2626865671641791,0.11343283582089553,0.08059701492537313,0.07462686567164178,0.5791044776119403,0.03283582089552239,0.5582089552238806,0.11044776119402985,0.41194029850746267,0.1582089552238806,0.1582089552238806,0.14029850746268657,0.4298507462686567,0.208955223880597,0.33432835820895523,0.01791044776119403,0.5880597014925373,0.029850746268656716,0.5552238805970149,0.029850746268656716,0.6119402985074627
camel-1.2,0.12260536398467432,0.2777777777777778,0.1111111111111111,0.3314176245210728,0.12835249042145594,0.3505747126436782,0.3773946360153257,0.08812260536398467,0.15708812260536398,0.3103448275862069,0.06321839080459771,0.3735632183908046,0.07279693486590039,0.3793103448275862,0.1417624521072797,0.25287356321839083,0.1685823754789272,0.16091954022988506,0.15708812260536398,0.25862068965517243,0.1475095785440613,0.1417624521072797,0.09961685823754789,0.3946360153256705,0.1053639846743295,0.41379310344827586,0.11302681992337164,0.3793103448275862,0.18199233716475097,0.20689655172413793,0.13409961685823754,0.3850574712643678,0.21455938697318008,0.30268199233716475,0.06896551724137931,0.4118773946360153,0.08812260536398467,0.4061302681992337,0.07854406130268199,0.41954022988505746
ivy-2.0,0.05357142857142857,0.5714285714285714,0.017857142857142856,0.5357142857142857,0.16071428571428573,0.30357142857142855,0.5535714285714286,0.05357142857142857,0.16071428571428573,0.26785714285714285,0.03571428571428571,0.6071428571428571,0.19642857142857142,0.6785714285714286,0.05357142857142857,0.19642857142857142,0.17857142857142858,0.16071428571428573,0.16071428571428573,0.25,0.017857142857142856,0.05357142857142857,0.07142857142857142,0.5714285714285714,0.05357142857142857,0.6964285714285714,0.07142857142857142,0.5892857142857143,0.17857142857142858,0.10714285714285714,0.125,0.5357142857142857,0.2857142857142857,0.23214285714285715,0.017857142857142856,0.5535714285714286,0.017857142857142856,0.6785714285714286,0.0,0.6071428571428571
jedit-4.2,0.009433962264150943,0.18867924528301888,0.009433962264150943,0.6132075471698113,0.009433962264150943,0.6226415094339622,0.6792452830188679,0.009433962264150943,0.29245283018867924,0.3584905660377358,0.0,0.6981132075471698,0.018867924528301886,0.6792452830188679,0.018867924528301886,0.22641509433962265,0.29245283018867924,0.22641509433962265,0.29245283018867924,0.3490566037735849,0.009433962264150943,0.0,0.018867924528301886,0.7075471698113207,0.009433962264150943,0.7264150943396226,0.009433962264150943,0.6226415094339622,0.29245283018867924,0.07547169811320754,0.0660377358490566,0.6981132075471698,0.18867924528301888,0.18867924528301888,0.018867924528301886,0.6981132075471698,0.009433962264150943,0.7358490566037735,0.018867924528301886,0.6981132075471698
jedit-4.1,0.041474654377880185,0.1889400921658986,0.013824884792626729,0.5023041474654378,0.07834101382488479,0.511520737327189,0.6682027649769585,0.03225806451612903,0.12903225806451613,0.4147465437788018,0.041474654377880185,0.5529953917050692,0.05069124423963134,0.576036866359447,0.06912442396313365,0.12442396313364056,0.17511520737327188,0.17972350230414746,0.12903225806451613,0.391705069124424,0.059907834101382486,0.018433179723502304,0.05069124423963134,0.6589861751152074,0.018433179723502304,0.6912442396313364,0.009216589861751152,0.6267281105990783,0.17511520737327188,0.06912442396313365,0.055299539170506916,0.6036866359447005,0.20276497695852536,0.15207373271889402,0.07834101382488479,0.576036866359447,0.02304147465437788,0.728110599078341,0.05069124423963134,0.6728110599078341
jedit-4.0,0.04424778761061947,0.17699115044247787,0.035398230088495575,0.5265486725663717,0.0752212389380531,0.584070796460177,0.7168141592920354,0.02654867256637168,0.26548672566371684,0.3141592920353982,0.022123893805309734,0.6371681415929203,0.04424778761061947,0.668141592920354,0.02654867256637168,0.26548672566371684,0.415929203539823,0.168141592920354,0.26548672566371684,0.35398230088495575,0.09292035398230089,0.017699115044247787,0.061946902654867256,0.7123893805309734,0.017699115044247787,0.7477876106194691,0.03982300884955752,0.6902654867256637,0.415929203539823,0.06637168141592921,0.061946902654867256,0.7123893805309734,0.3938053097345133,0.3584070796460177,0.048672566371681415,0.6460176991150443,0.017699115044247787,0.7123893805309734,0.02654867256637168,0.7079646017699115
